epsilon_relative,row_count,finite_rate,nonzero_fd_norm_rate,median_cosine,median_relative_l2,median_symmetric_norm_ratio,eligible
0.01,48,1.0,1.0,0.9999999478327382,0.0004079856114141097,0.9999027039256816,True
0.003,48,1.0,1.0,0.9999999678801009,0.0002549734953547876,0.9999836780567131,True
0.001,48,1.0,1.0,0.9999997403072811,0.0007231359096464574,0.9999619233598986,True
0.0003,48,1.0,1.0,0.9999972035996794,0.0023952873984226988,0.9998960917200226,True
0.0001,48,1.0,1.0,0.999975543238248,0.0070780550061290935,0.9995405493222542,True
3e-05,48,1.0,1.0,0.9997029992317066,0.02578329499264051,0.9991925464724817,True
1e-05,48,1.0,1.0,0.9975285023677269,0.07144501597318986,0.9951023624477731,False
3e-06,48,1.0,1.0,0.9747851942018952,0.22568597714669192,0.9831281036349553,False
1e-06,48,1.0,1.0,0.8245448863634395,0.5822110085494702,0.9244186543274338,False
