task,median_delta_fisher_local,median_delta_fisher_direct,positive_fisher_local,positive_fisher_direct
gov_report,0.11904761904761912,0.11309523809523819,1.0,1.0
niah_single_1,0.10119047619047616,0.07142857142857145,1.0,1.0
