sample_id,task,stage,target_anchor,history_start_anchor,history_length,teacher_forcing,future_token_as_feature,future_attention_as_feature,baseline_repeat_max_abs_error,no_op_exact_kl,prequery_clone_isolated,query_position,expected_query_position,token_id,expected_token_id,position_maps_shared,candidate_count,finite_candidate_count,exact_kl_range,candidate_replay_max_abs_error,identity_stable_relative_l2_tau_1e8_max,identity_absolute_l2_max,readout_reconstruction_max_abs_error,multi_reconstruction_max_abs_error,candidate_cache_length_min,candidate_cache_length_max,dedup_event_count,wall_seconds,trace_json
gov_report:118,gov_report,recovery_formal,64,32,32,True,False,False,0.0,0.0,True,970,970,39780,39780,True,8,8,0.003140931064687285,0.0,2.2562445949108366e-07,3.6822621887940735e-15,0.0,0.0,128,128,3,17.988021875,"[{""query_index"":32,""token"":12,""position"":938,""cache_length"":128},{""query_index"":33,""token"":21,""position"":939,""cache_length"":128},{""query_index"":34,""token"":19,""position"":940,""cache_length"":128},{""query_index"":35,""token"":1352,""position"":941,""cache_length"":128},{""query_index"":36,""token"":11,""position"":942,""cache_length"":128},{""query_index"":37,""token"":448,""position"":943,""cache_length"":128},{""query_index"":38,""token"":32974,""position"":944,""cache_length"":128},{""query_index"":39,""token"":369,""position"":945,""cache_length"":128},{""query_index"":40,""token"":705,""position"":946,""cache_length"":128},{""query_index"":41,""token"":311,""position"":947,""cache_length"":128},{""query_index"":42,""token"":220,""position"":948,""cache_length"":128},{""query_index"":43,""token"":17,""position"":949,""cache_length"":128},{""query_index"":44,""token"":1635,""position"":950,""cache_length"":128},{""query_index"":45,""token"":1283,""position"":951,""cache_length"":128},{""query_index"":46,""token"":279,""position"":952,""cache_length"":128},{""query_index"":47,""token"":44326,""position"":953,""cache_length"":128},{""query_index"":48,""token"":624,""position"":954,""cache_length"":128},{""query_index"":49,""token"":12,""position"":955,""cache_length"":128},{""query_index"":50,""token"":1374,""position"":956,""cache_length"":128},{""query_index"":51,""token"":3740,""position"":957,""cache_length"":128},{""query_index"":52,""token"":41104,""position"":958,""cache_length"":128},{""query_index"":53,""token"":525,""position"":959,""cache_length"":128},{""query_index"":54,""token"":4961,""position"":960,""cache_length"":128},{""query_index"":55,""token"":518,""position"":961,""cache_length"":128},{""query_index"":56,""token"":279,""position"":962,""cache_length"":128},{""query_index"":57,""token"":23192,""position"":963,""cache_length"":128},{""query_index"":58,""token"":2188,""position"":964,""cache_length"":128},{""query_index"":59,""token"":11,""position"":965,""cache_length"":128},{""query_index"":60,""token"":537,""position"":966,""cache_length"":128},{""query_index"":61,""token"":3842,""position"":967,""cache_length"":128},{""query_index"":62,""token"":1506,""position"":968,""cache_length"":128},{""query_index"":63,""token"":11,""position"":969,""cache_length"":128}]"
gov_report:119,gov_report,recovery_formal,64,32,32,True,False,False,0.0,0.0,True,1077,1077,24668,24668,True,8,8,1.598566336557123e-05,0.0,1.5562880363896393e-07,3.940121830370787e-15,0.0,0.0,128,128,2,18.076056124999994,"[{""query_index"":32,""token"":278,""position"":1045,""cache_length"":128},{""query_index"":33,""token"":92291,""position"":1046,""cache_length"":128},{""query_index"":34,""token"":451,""position"":1047,""cache_length"":128},{""query_index"":35,""token"":33758,""position"":1048,""cache_length"":128},{""query_index"":36,""token"":11,""position"":1049,""cache_length"":128},{""query_index"":37,""token"":1527,""position"":1050,""cache_length"":128},{""query_index"":38,""token"":11455,""position"":1051,""cache_length"":128},{""query_index"":39,""token"":30681,""position"":1052,""cache_length"":128},{""query_index"":40,""token"":266,""position"":1053,""cache_length"":128},{""query_index"":41,""token"":11,""position"":1054,""cache_length"":128},{""query_index"":42,""token"":63990,""position"":1055,""cache_length"":128},{""query_index"":43,""token"":7751,""position"":1056,""cache_length"":128},{""query_index"":44,""token"":386,""position"":1057,""cache_length"":128},{""query_index"":45,""token"":392,""position"":1058,""cache_length"":128},{""query_index"":46,""token"":27885,""position"":1059,""cache_length"":128},{""query_index"":47,""token"":11,""position"":1060,""cache_length"":128},{""query_index"":48,""token"":323,""position"":1061,""cache_length"":128},{""query_index"":49,""token"":92291,""position"":1062,""cache_length"":128},{""query_index"":50,""token"":434,""position"":1063,""cache_length"":128},{""query_index"":51,""token"":1587,""position"":1064,""cache_length"":128},{""query_index"":52,""token"":1466,""position"":1065,""cache_length"":128},{""query_index"":53,""token"":655,""position"":1066,""cache_length"":128},{""query_index"":54,""token"":328,""position"":1067,""cache_length"":128},{""query_index"":55,""token"":13229,""position"":1068,""cache_length"":128},{""query_index"":56,""token"":11,""position"":1069,""cache_length"":128},{""query_index"":57,""token"":614,""position"":1070,""cache_length"":128},{""query_index"":58,""token"":21286,""position"":1071,""cache_length"":128},{""query_index"":59,""token"":279,""position"":1072,""cache_length"":128},{""query_index"":60,""token"":3146,""position"":1073,""cache_length"":128},{""query_index"":61,""token"":11,""position"":1074,""cache_length"":128},{""query_index"":62,""token"":448,""position"":1075,""cache_length"":128},{""query_index"":63,""token"":3746,""position"":1076,""cache_length"":128}]"
synthetic_niah_118,niah_single_1,recovery_formal,64,32,32,True,False,False,0.0,0.0,True,1325,1325,11373,11373,True,8,8,5.1693108525798314e-05,0.0,1.5528029828892804e-07,4.0756127074513406e-15,0.0,0.0,128,128,3,18.236593125,"[{""query_index"":32,""token"":22901,""position"":1293,""cache_length"":128},{""query_index"":33,""token"":13,""position"":1294,""cache_length"":128},{""query_index"":34,""token"":576,""position"":1295,""cache_length"":128},{""query_index"":35,""token"":1995,""position"":1296,""cache_length"":128},{""query_index"":36,""token"":572,""position"":1297,""cache_length"":128},{""query_index"":37,""token"":41111,""position"":1298,""cache_length"":128},{""query_index"":38,""token"":504,""position"":1299,""cache_length"":128},{""query_index"":39,""token"":264,""position"":1300,""cache_length"":128},{""query_index"":40,""token"":14720,""position"":1301,""cache_length"":128},{""query_index"":41,""token"":4625,""position"":1302,""cache_length"":128},{""query_index"":42,""token"":315,""position"":1303,""cache_length"":128},{""query_index"":43,""token"":10963,""position"":1304,""cache_length"":128},{""query_index"":44,""token"":5109,""position"":1305,""cache_length"":128},{""query_index"":45,""token"":5815,""position"":1306,""cache_length"":128},{""query_index"":46,""token"":448,""position"":1307,""cache_length"":128},{""query_index"":47,""token"":5257,""position"":1308,""cache_length"":128},{""query_index"":48,""token"":14744,""position"":1309,""cache_length"":128},{""query_index"":49,""token"":11,""position"":1310,""cache_length"":128},{""query_index"":50,""token"":2670,""position"":1311,""cache_length"":128},{""query_index"":51,""token"":8983,""position"":1312,""cache_length"":128},{""query_index"":52,""token"":65,""position"":1313,""cache_length"":128},{""query_index"":53,""token"":2200,""position"":1314,""cache_length"":128},{""query_index"":54,""token"":7409,""position"":1315,""cache_length"":128},{""query_index"":55,""token"":40187,""position"":1316,""cache_length"":128},{""query_index"":56,""token"":12540,""position"":1317,""cache_length"":128},{""query_index"":57,""token"":13,""position"":1318,""cache_length"":128},{""query_index"":58,""token"":576,""position"":1319,""cache_length"":128},{""query_index"":59,""token"":1882,""position"":1320,""cache_length"":128},{""query_index"":60,""token"":6398,""position"":1321,""cache_length"":128},{""query_index"":61,""token"":5312,""position"":1322,""cache_length"":128},{""query_index"":62,""token"":5504,""position"":1323,""cache_length"":128},{""query_index"":63,""token"":802,""position"":1324,""cache_length"":128}]"
synthetic_niah_119,niah_single_1,recovery_formal,64,32,32,True,False,False,0.0,0.0,True,1327,1327,572,572,True,8,8,5.502280032162921e-05,0.0,2.94438036028249e-07,3.202290817568865e-15,0.0,0.0,128,128,3,18.05925866699998,"[{""query_index"":32,""token"":315,""position"":1295,""cache_length"":128},{""query_index"":33,""token"":584,""position"":1296,""cache_length"":128},{""query_index"":34,""token"":7424,""position"":1297,""cache_length"":128},{""query_index"":35,""token"":323,""position"":1298,""cache_length"":128},{""query_index"":36,""token"":3590,""position"":1299,""cache_length"":128},{""query_index"":37,""token"":3687,""position"":1300,""cache_length"":128},{""query_index"":38,""token"":21880,""position"":1301,""cache_length"":128},{""query_index"":39,""token"":13,""position"":1302,""cache_length"":128},{""query_index"":40,""token"":576,""position"":1303,""cache_length"":128},{""query_index"":41,""token"":10963,""position"":1304,""cache_length"":128},{""query_index"":42,""token"":1372,""position"":1305,""cache_length"":128},{""query_index"":43,""token"":572,""position"":1306,""cache_length"":128},{""query_index"":44,""token"":6094,""position"":1307,""cache_length"":128},{""query_index"":45,""token"":553,""position"":1308,""cache_length"":128},{""query_index"":46,""token"":4325,""position"":1309,""cache_length"":128},{""query_index"":47,""token"":879,""position"":1310,""cache_length"":128},{""query_index"":48,""token"":572,""position"":1311,""cache_length"":128},{""query_index"":49,""token"":949,""position"":1312,""cache_length"":128},{""query_index"":50,""token"":315,""position"":1313,""cache_length"":128},{""query_index"":51,""token"":264,""position"":1314,""cache_length"":128},{""query_index"":52,""token"":3942,""position"":1315,""cache_length"":128},{""query_index"":53,""token"":10219,""position"":1316,""cache_length"":128},{""query_index"":54,""token"":5435,""position"":1317,""cache_length"":128},{""query_index"":55,""token"":311,""position"":1318,""cache_length"":128},{""query_index"":56,""token"":279,""position"":1319,""cache_length"":128},{""query_index"":57,""token"":1196,""position"":1320,""cache_length"":128},{""query_index"":58,""token"":594,""position"":1321,""cache_length"":128},{""query_index"":59,""token"":5526,""position"":1322,""cache_length"":128},{""query_index"":60,""token"":13,""position"":1323,""cache_length"":128},{""query_index"":61,""token"":576,""position"":1324,""cache_length"":128},{""query_index"":62,""token"":10963,""position"":1325,""cache_length"":128},{""query_index"":63,""token"":1372,""position"":1326,""cache_length"":128}]"
