sample_id,task,stage,target_anchor,history_length,candidate_id,candidate_source,deleted_position,layer,boundary,theory_u_norm,actual_u_norm,injection_cosine,injection_relative_l2,injection_norm_ratio,local_r_norm,actual_r_norm,adjacent_cosine,adjacent_relative_l2,adjacent_norm_ratio,actual_boundary_norm,state_norm,action_state_ratio,deleted_attention_mass_mean,deleted_attention_mass_std,attention_entropy,attention_concentration,head_disagreement,deleted_key_norm,key_norm_mean,key_norm_variance,deleted_value_norm,value_norm_mean,value_norm_variance,deleted_token_age,selector_attention,selector_value_norm,selector_aov,selector_aor,selector_v_ridge,selector_key_query,selector_age,selector_random,single_boundary_theory_risk,candidate_probe_risk,single_boundary_fisher_risk,probe_fisher_risk
gov_report:118,gov_report,recovery_formal,64,32,physical_delete_attention_14,attention,14,0,1,0.00208827008081487,0.002088775213438878,0.9999766173953909,0.006841957512156609,0.9997581680303569,0.0023321617416371824,0.0023329832087249456,0.9999726963034927,0.00739676596632435,0.9996478898413451,0.0023329832087249456,17.811796611166244,0.00013093354884678767,0.00013952086737845093,0.00028270523762330413,1.4475394487380981,0.6106985807418823,0.00028270523762330413,778.8583984375,778.7850341796875,1835.5584716796875,3.5669851303100586,4.119892120361328,0.8141310214996338,956.0,-0.5856311766595815,-0.07984122254579348,-0.574007722506005,-0.5752400988847398,-0.4116072040322497,1.0939555477820206,14.0,0.10996162322947667,1.433220976487442e-10,1.475332125055936e-10,1.4332379425125098e-10,1.475336135847958e-10
gov_report:118,gov_report,recovery_formal,64,32,physical_delete_attention_14,attention,14,1,2,0.019285217968146015,0.01932784491891815,0.9995040366580856,0.03153732886059862,0.9977945316225912,0.01916265020732765,0.019008096692135688,0.9924764718174041,0.1234322282424679,1.0081309306078976,0.019008096692135688,29.979029714624765,0.0006392018150600609,0.0007860907353460789,0.0014054013881832361,2.940613031387329,0.24005000293254852,0.0014054013881832361,91.27494049072266,91.03246307373047,3914.031494140625,4.650681972503662,4.038740634918213,0.6489341259002686,956.0,-0.5856311766595815,-0.07984122254579348,-0.574007722506005,-0.5752400988847398,-0.4116072040322497,1.0939555477820206,14.0,0.10996162322947667,,,,
gov_report:118,gov_report,recovery_formal,64,32,physical_delete_attention_14,attention,14,2,3,0.0013228920365694749,0.0038427607540622685,0.3456381392921613,0.9383688976035962,0.3442556331853384,0.001230740750537368,0.017178667686792434,0.11177243766439625,0.9945437394816476,0.07164355076753741,0.017178667686792434,32.13518045202342,3.8298859170086704e-05,4.197140151518397e-05,5.984172457829118e-05,2.315605878829956,0.38336262106895447,5.984172457829118e-05,28.5281925201416,26.500608444213867,53.71996307373047,6.310961723327637,5.868166923522949,1.2750685214996338,956.0,-0.5856311766595815,-0.07984122254579348,-0.574007722506005,-0.5752400988847398,-0.4116072040322497,1.0939555477820206,14.0,0.10996162322947667,,,,
gov_report:118,gov_report,recovery_formal,64,32,physical_delete_attention_14,attention,14,3,4,0.0003763425892134092,0.004004929215795577,0.07543880642817317,0.9973226087792784,0.09396984788872204,0.0003600124036313333,0.016026261706423652,0.03471002436355889,0.999472451683334,0.02246390394879381,0.016026261706423652,37.547187652844904,9.588265490346403e-06,6.418149951059604e-06,1.6921037968131714e-05,2.0489304065704346,0.4680196940898895,1.6921037968131714e-05,22.940841674804688,20.780466079711914,7.696657180786133,6.7136735916137695,6.157540798187256,1.308763861656189,956.0,-0.5856311766595815,-0.07984122254579348,-0.574007722506005,-0.5752400988847398,-0.4116072040322497,1.0939555477820206,14.0,0.10996162322947667,,,,
gov_report:118,gov_report,recovery_formal,64,32,physical_delete_attention_14,attention,14,4,5,0.0010128114936833116,0.00266126814142883,0.2854704052197184,0.9630947444141928,0.3805747635559696,0.0010675689591465923,0.015413059366443035,0.0384592450467305,0.9997348721847279,0.06926392312942616,0.015413059366443035,44.494830610634125,2.3993100872519036e-05,3.39597427228e-05,2.6078307200805284e-05,2.0035016536712646,0.5263462662696838,2.6078307200805284e-05,19.36896324157715,17.803678512573242,5.008890151977539,7.128814697265625,7.029331207275391,2.2425849437713623,956.0,-0.5856311766595815,-0.07984122254579348,-0.574007722506005,-0.5752400988847398,-0.4116072040322497,1.0939555477820206,14.0,0.10996162322947667,1.1325063238738957e-11,2.523941682778458e-08,1.1327132510346803e-11,2.52389590699776e-08
gov_report:118,gov_report,recovery_formal,64,32,physical_delete_attention_14,attention,14,5,6,0.007105454799079292,0.008487853497508559,0.8352208144962793,0.5499180340048958,0.837132120761151,0.005144820620902626,0.014020735661559829,0.33464157616004253,0.942898956788121,0.3669437000376524,0.014020735661559829,40.519779031572995,0.0001269705991460068,7.630467734998092e-05,0.0001613494096091017,1.8146796226501465,0.5765998959541321,0.0001613494096091017,19.039531707763672,16.85407066345215,4.432143211364746,7.14294958114624,7.942366600036621,1.8788964748382568,956.0,-0.5856311766595815,-0.07984122254579348,-0.574007722506005,-0.5752400988847398,-0.4116072040322497,1.0939555477820206,14.0,0.10996162322947667,,,,
gov_report:118,gov_report,recovery_formal,64,32,physical_delete_attention_14,attention,14,6,7,0.00034525943185586595,0.0019977391571734146,0.3053417694899045,0.9614193031692807,0.17282508110036288,0.0002876985475256177,0.012508452070763483,0.03405590255827271,0.9994810759321313,0.023000331767514804,0.012508452070763483,42.138432507261804,6.827462019998917e-06,8.052979865169618e-06,1.3446525372273754e-05,1.3356566429138184,0.6230445504188538,1.3446525372273754e-05,20.337421417236328,19.4422607421875,6.105134010314941,6.087059497833252,6.566160678863525,1.1134275197982788,956.0,-0.5856311766595815,-0.07984122254579348,-0.574007722506005,-0.5752400988847398,-0.4116072040322497,1.0939555477820206,14.0,0.10996162322947667,,,,
gov_report:118,gov_report,recovery_formal,64,32,physical_delete_attention_14,attention,14,7,8,0.0004506161689341405,0.0027325475658697782,0.2134342970286874,0.9781618993161908,0.16490698078322671,0.0004172756435419512,0.0103579331450115,-0.014094164426189952,1.0013783072718108,0.040285608885486573,0.0103579331450115,45.22481673372205,9.226696174333153e-06,1.3199551176512614e-05,1.8678352716960944e-05,2.3591983318328857,0.34965643286705017,1.8678352716960944e-05,33.79312515258789,33.70271682739258,190.93887329101562,5.726841449737549,6.369912624359131,1.6911430358886719,956.0,-0.5856311766595815,-0.07984122254579348,-0.574007722506005,-0.5752400988847398,-0.4116072040322497,1.0939555477820206,14.0,0.10996162322947667,9.066064698637834e-12,3.4272640522339486e-08,9.067702914105213e-12,3.427211421188098e-08
gov_report:118,gov_report,recovery_formal,64,32,physical_delete_attention_14,attention,14,8,9,0.0012621039805449732,0.0020326163220359926,0.654379119143233,0.7569062629293016,0.6209258318268215,0.0010072451031470397,0.009085921860461763,0.15332447960960272,0.9890879762429554,0.11085777740728332,0.009085921860461763,45.355445646412235,2.2207809642075825e-05,2.61869154201122e-05,3.1614512408850715e-05,2.078951597213745,0.4486265182495117,3.1614512408850715e-05,19.61693572998047,19.395082473754883,6.5878987312316895,7.416684150695801,7.580902099609375,1.702061414718628,956.0,-0.5856311766595815,-0.07984122254579348,-0.574007722506005,-0.5752400988847398,-0.4116072040322497,1.0939555477820206,14.0,0.10996162322947667,,,,
gov_report:118,gov_report,recovery_formal,64,32,physical_delete_attention_14,attention,14,9,10,0.0008336521143877102,0.0012101083031419945,0.6128439945461801,0.7938562989424964,0.6889070277620343,0.0007070951452549347,0.008806046323690432,0.10694941111965245,0.9946216358137155,0.08029655071796236,0.008806046323690432,44.189374115684814,1.600147454914856e-05,1.8973778423969634e-05,2.597957063699141e-05,2.2269506454467773,0.4354945719242096,2.597957063699141e-05,20.620792388916016,18.786043167114258,4.57858419418335,7.324784755706787,7.412312030792236,1.4930347204208374,956.0,-0.5856311766595815,-0.07984122254579348,-0.574007722506005,-0.5752400988847398,-0.4116072040322497,1.0939555477820206,14.0,0.10996162322947667,,,,
