policy,steps,sequences,mean_exact_kl,median_exact_kl,p95_exact_kl,maximum_exact_kl,mean_delta_nll,p95_delta_nll,mean_forward_time_s,step_win_rate_vs_baseline,sequence_win_rate_vs_baseline,mean_exact_kl_reduction
attention_mean_w1_shared,64,8,0.04846453956009156,0.0012868117191828787,0.17927068844437577,1.6501590013504028,0.03680891770589767,0.17712833434343286,0.04118864842187525,0.0,0.0,0.0
attention_mean_w4_shared,64,8,0.038410378063847284,0.001531153335236013,0.17367553152143914,1.1557466983795166,0.025909680827737702,0.17434850484132747,0.04024864653124882,0.484375,0.75,0.010054161496244274
contribution_mean_w1_shared,64,8,0.0410719760334336,0.0012023526651319116,0.16157230660319294,1.4531432390213013,0.022832544925734055,0.12347248494625086,0.040091370500000195,0.453125,1.0,0.007392563526657958
contribution_mean_w4_shared,64,8,0.0198563910401528,0.0013521817163564265,0.15759949050843683,0.16921132802963257,0.014160125330434425,0.17928856164216972,0.040045100234376074,0.484375,0.75,0.02860814851993876
contribution_q75_w4_shared,64,8,0.03631483685916048,0.001448284660000354,0.14166774302721014,1.219652533531189,0.009577647775572018,0.1805738493800159,0.04038264007812456,0.515625,0.75,0.012149702700931075
