policy,steps,sequences,mean_exact_kl,median_exact_kl,p95_exact_kl,maximum_exact_kl,mean_delta_nll,p95_delta_nll,mean_forward_time_s,step_win_rate_vs_baseline,sequence_win_rate_vs_baseline,mean_exact_kl_reduction
attention_mean_w1_shared,576,12,0.3292883081674522,0.01496946020051837,1.5669762790203094,13.66468334197998,0.35107102814951247,2.4770889058709145,0.04018290038541699,0.0,0.0,0.0
contribution_mean_w4_shared,576,12,0.2568931089944443,0.011887611355632544,1.074335366487503,13.64504337310791,0.27151488527462625,1.5765923038125038,0.040168589067709086,0.5329861111111112,0.75,0.07239519917300787
