sample_id,task,stage,target_anchor,history_start_anchor,history_length,candidate_id,candidate_source,deleted_position,candidate_raw_rank,candidate_deduplicated,exact_physical_kl,action_only_risk,adjacent_only_risk,dense_actual_boundary_energy,eligible_count,cache_length_prequery,cache_length_baseline,cache_length_candidate,candidate_replay_max_abs_error,multi_all_endpoint_risk,multi_uniform8_endpoint_risk,multi_inherited3_endpoint_risk,multi_pair_endpoint_risk,multi_three_endpoint_risk,probe_b18_path_k1_risk,theory_b1_risk,probe_b1_risk,theory_b5_risk,probe_b5_risk,theory_b8_risk,probe_b8_risk,theory_b11_risk,probe_b11_risk,theory_b15_risk,probe_b15_risk,theory_b18_risk,probe_b18_risk,theory_b19_risk,probe_b19_risk,theory_b23_risk,probe_b23_risk,theory_b27_risk,probe_b27_risk,b1_theory_u_norm,b1_local_r_norm,b1_actual_boundary_norm,b1_deleted_attention_mass_mean,b1_deleted_value_norm,b1_deleted_key_norm,b1_action_state_ratio,b5_theory_u_norm,b5_local_r_norm,b5_actual_boundary_norm,b5_deleted_attention_mass_mean,b5_deleted_value_norm,b5_deleted_key_norm,b5_action_state_ratio,b8_theory_u_norm,b8_local_r_norm,b8_actual_boundary_norm,b8_deleted_attention_mass_mean,b8_deleted_value_norm,b8_deleted_key_norm,b8_action_state_ratio,b11_theory_u_norm,b11_local_r_norm,b11_actual_boundary_norm,b11_deleted_attention_mass_mean,b11_deleted_value_norm,b11_deleted_key_norm,b11_action_state_ratio,b15_theory_u_norm,b15_local_r_norm,b15_actual_boundary_norm,b15_deleted_attention_mass_mean,b15_deleted_value_norm,b15_deleted_key_norm,b15_action_state_ratio,b19_theory_u_norm,b19_local_r_norm,b19_actual_boundary_norm,b19_deleted_attention_mass_mean,b19_deleted_value_norm,b19_deleted_key_norm,b19_action_state_ratio,b23_theory_u_norm,b23_local_r_norm,b23_actual_boundary_norm,b23_deleted_attention_mass_mean,b23_deleted_value_norm,b23_deleted_key_norm,b23_action_state_ratio,b27_theory_u_norm,b27_local_r_norm,b27_actual_boundary_norm,b27_deleted_attention_mass_mean,b27_deleted_value_norm,b27_deleted_key_norm,b27_action_state_ratio
gov_report:114,gov_report,formal,64,32,32,physical_delete_attention_22,attention,22,0,False,4.971724450915236e-08,0.002092687670105482,0.0013555732372831626,0.005807704996151072,93,128,129,128,0.0,4.986412697917923e-08,4.049796689545899e-09,1.7986783022224921e-09,1.8485113810301796e-10,1.7650955157200765e-09,1.6892215058041267e-08,1.806869305326961e-09,1.8209621165226645e-09,1.5644950038139468e-09,1.677638048135852e-08,8.174751972170394e-11,1.379382497976896e-08,8.202953773547809e-11,7.561239370557688e-09,3.0252415141483535e-12,8.624926471787408e-09,1.5409985694391683e-08,1.69037056792823e-08,7.110036090080565e-10,1.943256280749211e-08,1.4928999809044695e-10,2.0467944182838656e-08,5.286582956130373e-10,2.9060590153902333e-08,0.001526884582603607,0.002717516110015571,0.0027204251913782677,6.215171015355736e-05,4.2228803634643555,778.3533935546875,0.00014721331538880255,0.0029713270111380347,0.0027791027296626587,0.0070151905363025555,8.393720054300502e-05,6.882534503936768,18.55060577392578,7.333649788082444e-05,0.0012913685175355032,0.0012692118842452776,0.005754814469257809,3.945922071579844e-05,6.982377052307129,34.85817337036133,2.9318704927675405e-05,0.0010204227740461679,0.0009694542947440893,0.0073817645291946185,2.4018348995014094e-05,8.699039459228516,20.047637939453125,2.1382799021043194e-05,0.00014427472787879598,0.00012522180825248462,0.006294790059502659,4.589296167978318e-06,10.90955638885498,19.68105697631836,2.4123728832001462e-06,0.002653170892390204,0.002717941082604496,0.010085952702083173,5.0331116653978825e-05,10.571054458618164,23.656131744384766,3.7677032001127183e-05,0.002198406812999149,0.002111445950191283,0.013325254038304445,4.193359563942067e-05,12.627809524536133,20.460262298583984,1.6378919258061383e-05,0.006206425783565988,0.006465776086684022,0.029378689681924017,3.593181827454828e-05,26.07683753967285,16.38519859313965,2.438313385314662e-05
gov_report:114,gov_report,formal,64,32,32,physical_delete_value_norm_89,value_norm,89,0,False,0.000585164302726069,2.8549105549886824,2.493397140448685,95.11536231316109,93,128,129,128,,0.0005923772052970509,1.8908489670424586e-05,6.902656419144581e-06,8.206501113836267e-08,5.5937271101754804e-06,0.0004954413236466998,4.960350607876912e-10,4.991769165495896e-10,1.4554275630263578e-07,1.875131072328804e-06,1.2613933353149349e-08,6.178247808806753e-07,1.1553046078822713e-05,2.2576087744268837e-05,6.619937048749384e-06,5.5904544771904845e-05,1.6407084030229193e-06,0.00049477763875394,2.2621859301712088e-06,0.0004839592699617647,4.5923119159180746e-08,0.0005806579904750198,7.996928984977983e-07,0.0005861097905139343,0.0007763302189987143,0.0010505978017109868,0.0010617527220752258,6.068820948712528e-05,3.1908457279205322,779.73486328125,5.6912996747303896e-05,0.0227846970618205,0.022200479680229965,0.10401272226695416,0.0006974830175749958,4.698136329650879,15.768807411193848,0.0005858385203414551,0.01222854645275532,0.01163942338232417,0.07774833812690356,0.0006090922397561371,4.386693000793457,32.727664947509766,0.0002688698584614736,0.46028872859165876,0.41839662378524756,0.5921194839109855,0.0167327169328928,6.128514766693115,15.633038520812988,0.009228378239166612,0.29813060283874077,0.25547844005397885,0.6688270012355534,0.007485718932002783,8.293235778808594,18.358484268188477,0.004921740626727166,0.14959084609554985,0.13790988117878603,1.6476771459902577,0.004993688780814409,7.970058917999268,22.075336456298828,0.0019117540993440567,0.0327072860178136,0.031853535388656484,2.4258278681645535,0.0014238631119951606,6.647054672241211,17.11648941040039,0.0002470944066398387,0.27022708021536046,0.2633098944557874,4.096512912186727,0.008619836531579494,10.825735092163086,16.81730079650879,0.0009929698021241004
gov_report:114,gov_report,formal,64,32,32,physical_delete_aov_18,aov,18,0,False,7.368834451997139e-08,0.002852167742657323,0.0025568161893944896,0.025645947444527667,93,128,129,128,,7.348740385644894e-08,4.109074677248771e-09,2.5170436609175203e-09,7.546320751465902e-11,5.428066737154922e-10,7.684496261365514e-08,1.1685820055656892e-09,1.1826695113485047e-09,5.143661508481552e-10,2.0328538982879174e-07,7.21737819259925e-11,1.5178361043549057e-07,6.774838652539016e-11,1.5064512693163173e-07,7.824798992261948e-13,1.7755247244243725e-07,5.764499055690471e-08,7.70698550042234e-08,2.079776096278699e-10,7.74590022048827e-08,1.1460411686930889e-11,7.679682261812522e-08,2.5766200523086075e-09,8.855550793308297e-08,0.0012781413070735647,0.0017004764069576972,0.0017080136970089822,0.00010763495083665475,3.1908457279205322,779.73486328125,9.211822836525774e-05,0.002771869812317965,0.0025992135069976357,0.030705744196778077,6.476471753558144e-05,7.107852935791016,17.724145889282227,6.858948171048014e-05,0.0016861608091180526,0.0015406191117177156,0.024548859072660204,4.102094317204319e-05,5.491649627685547,33.94053649902344,3.558819272264245e-05,0.0009995325146691728,0.0008512572874215966,0.023405496756871137,2.235621832369361e-05,10.26175308227539,19.81529998779297,1.877578302640799e-05,6.210450753457508e-05,5.489335623825423e-05,0.02004367520758396,1.465348418605572e-06,10.835468292236328,21.86777114868164,1.0575094378928406e-06,0.0013260577472364035,0.0011710040907735367,0.02304901726877485,1.704817077552434e-05,11.225141525268555,23.026330947875977,1.623286055901071e-05,0.0005316519840414245,0.000517181725038749,0.030172662797390847,9.813967153604608e-06,8.901174545288086,19.854877471923828,4.01188470649091e-06,0.020651125661955295,0.011318257720767807,0.051374567941069836,0.00011959116818616167,15.558337211608887,16.348405838012695,4.26823616051674e-05
gov_report:114,gov_report,formal,64,32,32,physical_delete_aor_36,aor,36,2,True,1.9066212254899187e-07,0.004224734151786927,0.004144049880101942,0.024547243329223575,93,128,129,128,,1.9035917526270276e-07,1.7172375429566698e-08,1.0678721263028247e-08,6.499131676859988e-10,2.612898863511522e-09,7.109529883077726e-08,5.891195130051482e-11,6.392635418176059e-11,2.2593631960259106e-09,5.193548404131218e-08,2.8731764387746126e-10,5.615368452510845e-08,1.821918550457723e-11,4.176933284525449e-08,1.6149055262523365e-11,4.304481186491495e-08,1.219996673537934e-08,7.108267451291962e-08,3.310925790734229e-09,8.736782217368046e-08,3.467097182957444e-10,1.001725093077309e-07,1.1082400575383858e-08,1.9118028514949234e-07,0.000968485631605034,0.0011433063509286258,0.0011403269399681,4.699462078860961e-05,4.183609962463379,778.8078002929688,6.193520539030488e-05,0.002570612378300252,0.002556665908970354,0.0184501609441486,8.181665907613933e-05,7.265463829040527,19.44835662841797,6.746671219237e-05,0.001675164630909635,0.0015955204708879363,0.01283100724835296,4.8349149437854066e-05,6.376445293426514,34.20205307006836,3.6856410243783274e-05,0.0005672495846172944,0.0004944170287507048,0.019519307782056978,1.963869362953119e-05,7.848747253417969,20.042484283447266,1.0905124682694187e-05,0.0005556903686540171,0.0004160102518087355,0.015409438778865454,1.3471494639816228e-05,9.061243057250977,18.450368881225586,8.014353606627027e-06,0.007759489259680376,0.0070539105617190845,0.017927590342069564,0.00011517809616634622,9.202240943908691,21.395496368408203,9.778372889242384e-05,0.0029169067754796834,0.0028420980914837385,0.027657436618611638,3.421283690840937e-05,14.981851577758789,20.802291870117188,2.2046737762662287e-05,0.02321809623882321,0.02448135033951791,0.0693027606924004,9.434756793780252e-05,40.6054801940918,16.07292938232422,9.23217931198695e-05
gov_report:114,gov_report,formal,64,32,32,physical_delete_v_ridge_82,v_ridge,82,0,False,5.1711535652544205e-06,0.039875186853441484,0.037294473395277944,0.4057141480687732,93,128,129,128,,5.16402842340124e-06,4.6582388658589723e-07,2.9192602888039555e-07,3.581172229149273e-08,2.700518741172411e-07,2.59493160234607e-06,1.8871126728954455e-10,1.8240169060440474e-10,9.066732290214311e-10,1.1314746150177377e-08,1.5409230877138738e-10,1.8955774242478964e-07,1.803113437880938e-08,2.1776257305319402e-07,1.8497049467598633e-07,1.493696605403441e-06,2.249079801013872e-07,2.5961512666420076e-06,1.9426515645293624e-07,2.5902647564727817e-06,3.482761910915141e-08,4.603632710951025e-06,9.586490618661297e-08,5.139850731954141e-06,0.0006414730097239523,0.0009654813627804643,0.000966305043806237,4.087316119694151e-05,3.67757511138916,779.9898681640625,5.230206799406867e-05,0.002301948102940809,0.00232777070950862,0.013711286386047343,6.359377584885806e-05,4.942572593688965,18.728038787841797,6.142649923763192e-05,0.0008536819764038842,0.0008423389364944887,0.026513665809303467,1.95743177755503e-05,6.602299213409424,33.59123229980469,1.9457969969182248e-05,0.010328041120144947,0.009533427608659094,0.028276392973306592,0.00029452444869093597,6.843879222869873,20.90392303466797,0.00021027434469350953,0.038853890986252186,0.035785356009454025,0.055612467353571234,0.000328331341734156,9.127178192138672,19.89794158935547,0.0006893976668888855,0.02543152435763674,0.026005496626829272,0.06915165573989675,0.0007937205955386162,8.108436584472656,22.66482162475586,0.00036049711853037604,0.03572655289908624,0.03285363463657875,0.1598903238582382,0.0009923969628289342,9.857406616210938,19.05486297607422,0.00025485238160968473,0.07983001280104607,0.07509803480980692,0.2850972805833945,0.0021898176055401564,13.155160903930664,17.035873413085938,0.0002832027293130221
gov_report:114,gov_report,formal,64,32,32,physical_delete_key_query_45,key_query,45,0,False,2.0020490641522028e-05,0.2890876845057049,0.2463112965651414,3.643794144526745,93,128,129,128,,1.964688147859813e-05,1.5911493555979497e-06,1.8646399112867718e-07,1.1120810009872343e-07,1.9872169626336566e-07,1.8811342710795974e-05,2.0912046075761119e-10,2.112967836565817e-10,1.9372469069253576e-08,3.090438719186928e-06,1.1106173096995476e-08,3.6286989148294737e-06,1.3712874155892204e-06,8.698570017576397e-06,5.1605782551810277e-08,6.87507345833126e-06,7.713032915105278e-07,1.880511395193325e-05,2.666516626760819e-07,1.6100759832915918e-05,9.556056392511728e-08,1.6208327849504033e-05,2.1232580666656186e-07,1.9084533725892308e-05,0.0016991477112910994,0.0023271449860063935,0.002335870650334174,0.00020359041809570044,3.519266128540039,779.1580810546875,0.0001260661261649215,0.01786320124778333,0.017484835989758044,0.11180796152182819,0.0007436124142259359,4.428299903869629,16.120567321777344,0.0004613995099292723,0.011043342781787547,0.010884546344771156,0.1223574826274282,0.0004772380634676665,5.39665412902832,32.677921295166016,0.0002514322521835785,0.19931672520740282,0.20112142677645906,0.2501911713010128,0.008836827240884304,6.182370185852051,17.01835060119629,0.004436041050002991,0.023124954947892958,0.018517041659316478,0.1891697431089884,0.0006715371855534613,8.07889175415039,17.675050735473633,0.0003567270733381713,0.028913984375098543,0.029708733993216982,0.2631904853276997,0.0012821408454328775,7.021844863891602,20.40972137451172,0.0004118326657407874,0.05574584220194738,0.05420361244599308,0.4645063240179562,0.0013950811699032784,8.035951614379883,17.182479858398438,0.0004204685380024733,0.12563400426661556,0.1148415732118041,0.7631363591035721,0.004478080198168755,10.769100189208984,14.391546249389648,0.00043307986759644196
gov_report:114,gov_report,formal,64,32,32,physical_delete_age_4,age,4,0,False,5.254438371279924e-07,0.005264341685753211,0.005618547386125789,0.12308283092311592,93,128,129,128,,5.2454489674102e-07,1.144027580600023e-08,1.5827378963023013e-08,6.266375830873195e-10,1.1965966872992864e-10,5.207602071655572e-07,1.558698044648642e-08,1.56345938155207e-08,2.1909497472256223e-11,7.210782183664715e-07,5.677709105788628e-10,6.054464740397038e-07,3.0608224289417126e-11,5.27496816083868e-07,5.320603049707719e-12,5.298104146795858e-07,1.7801043771666048e-07,5.212802242096583e-07,3.3700670282559483e-10,5.282554184461241e-07,8.277625605993555e-11,5.323985828585597e-07,4.62372675245898e-10,5.340445049198015e-07,0.0038376941538161937,0.00552579984468217,0.0055393964150083075,0.0002579306601546705,3.5669851303100586,778.8583984375,0.00029934369563164477,0.0010034770060788453,0.0009317278867446357,0.059800261755767366,2.529290213715285e-05,7.620412826538086,18.461536407470703,2.4586950119705434e-05,0.0018954710285753289,0.001821516903600615,0.051602845111950825,4.799883390660398e-05,6.296531677246094,33.97175979614258,4.207691188551688e-05,0.0007740638424716823,0.0006923595893503125,0.05223513386241425,2.6139221517951228e-05,8.479736328125,18.977916717529297,1.527105097128664e-05,0.00018378115445414744,0.0001676975272785462,0.04649723763010465,4.359701051726006e-06,9.230497360229492,19.743364334106445,3.2306590443957646e-06,0.002555330450583453,0.002471025838367507,0.052646274854463,3.6405075661605224e-05,10.128425598144531,23.026649475097656,3.425420815177117e-05,0.00184903965320729,0.0017929981420163916,0.07271372211320261,2.999513344548177e-05,11.252368927001953,19.28680992126465,1.3908654301702618e-05,0.007158426045206731,0.005796306731290316,0.1104940899109398,4.554620318231173e-05,19.834800720214844,15.525497436523438,2.1858493240125304e-05
gov_report:114,gov_report,formal,64,32,32,physical_delete_random_9,random,9,0,False,1.6901489165822912e-06,0.006589615500095349,0.006855514743348936,0.22719147242493568,93,128,129,128,,1.6846948479299598e-06,2.7917283933394195e-08,1.050729812227021e-08,3.4844810381901524e-09,1.4807654027102803e-08,1.5743120242744826e-06,4.5624697132483734e-09,4.64933211720791e-09,1.5604885909839745e-08,1.3971326122183395e-07,3.526628745203152e-09,9.566823372308074e-07,8.194588854333143e-10,1.0378332902135344e-06,8.503671057523998e-11,1.040230596853817e-06,1.40767192322944e-07,1.5751010148643582e-06,7.270099124156369e-09,1.6859976934616681e-06,3.4033353705129287e-10,1.6623492186049736e-06,1.3563739490454133e-08,1.7219679570706632e-06,0.002570511834164105,0.0034928556216492924,0.0035019585058912997,0.00018082279711961746,3.60839581489563,778.689453125,0.0001892150167361705,0.018165417155488892,0.01673871949559314,0.0316839780646253,0.0004460759519133717,8.204062461853027,16.404132843017578,0.00044171057576028797,0.005558630535268367,0.005125802009473107,0.07006293662702082,0.00014436777564696968,7.060494899749756,33.451053619384766,0.00011840566456938833,0.0030104776281910444,0.002655600653173885,0.07563152041506889,9.27158398553729e-05,8.693018913269043,18.47051239013672,5.8573338995788095e-05,0.0006554911257742012,0.0005671792255316526,0.06305532642286177,9.487192983215209e-06,10.949797630310059,20.124526977539062,1.0926593399994847e-05,0.007355532522720412,0.006444118511274876,0.06775748968679166,0.00012252260057721287,10.249578475952148,21.97511863708496,8.933058222722711e-05,0.0022452695774851754,0.0022518292604169826,0.1073281343429305,4.1244009480578825e-05,12.091865539550781,18.558841705322266,1.7467901385762933e-05,0.026399019015865038,0.026513297926617333,0.17370005927791107,0.00020298569870647043,23.29620361328125,15.478327751159668,9.998448501247305e-05
gov_report:115,gov_report,formal,64,32,32,physical_delete_attention_36,attention,36,0,False,2.7092933538162183e-08,0.00028346415737604344,0.0003088748870934422,0.004572908824396493,93,128,129,128,0.0,2.739598108837145e-08,3.898922124907908e-09,2.425856568577594e-10,2.1418620672061046e-09,1.540236976631273e-10,4.304749433361321e-08,1.3992651553135295e-11,7.976346849643638e-12,1.3717244136384006e-10,3.128134478914767e-08,2.116059339454667e-09,4.45916903188737e-08,8.52044762058563e-13,4.6342341067101154e-08,1.7916368116899386e-12,4.857809149989861e-08,6.247498575748381e-10,4.259309847074404e-08,8.863994894433411e-11,4.473877364589789e-08,6.577200651870155e-12,4.6576249683101827e-08,2.26258162580749e-10,2.6522448174691004e-08,0.0001568809478538918,0.00022202165538249137,0.0001993285836025557,9.5422319645877e-06,4.183609962463379,778.8078002929688,1.1351925936552042e-05,0.0014162974032151752,0.0014545553374731496,0.011196029794586351,3.727918738150038e-05,7.265463829040527,19.44835662841797,3.1743452413066405e-05,0.002222202775039403,0.0029150933873146045,0.010764855712154082,5.71590026083868e-05,6.376445293426514,34.20205307006836,6.170283706413758e-05,0.00012949050984581662,0.00012433488407248748,0.010454064725395147,2.7865810352523113e-06,7.848747253417969,20.042484283447266,2.189406530951394e-06,0.00014376549790025042,0.00011535634897173118,0.0101616285833139,2.4689293240953702e-06,9.061243057250977,18.450368881225586,1.856547855765681e-06,0.0022806812135819296,0.0019566515986648007,0.01027572171076975,2.4382219635299407e-05,9.202240943908691,21.395496368408203,2.4262426153429513e-05,0.00034945229665948895,0.0003464714066767456,0.013938961582978497,4.731527042167727e-06,14.981851577758789,20.802291870117188,2.425671629745079e-06,0.004628795104974663,0.005024655957545074,0.022334307044909324,1.726330810924992e-05,40.6054801940918,16.07292938232422,1.8146780403580634e-05
gov_report:115,gov_report,formal,64,32,32,physical_delete_value_norm_88,value_norm,88,0,False,8.609539012763878e-06,0.3283799623409476,0.29237079330501314,1.0455073997350093,93,128,129,128,,8.421751987461713e-06,5.480574772738717e-07,6.467882418814957e-07,6.312297883372987e-08,1.3824469586234713e-07,2.042953155507787e-06,7.3160979094289596e-09,7.070295416912827e-09,1.373862833622032e-09,7.676435298118107e-08,3.0227982744890315e-08,1.1310052414313123e-07,2.070567487972303e-09,1.2979800871440223e-06,9.632997851965761e-08,5.98027163572015e-06,9.281529722330272e-07,2.0403088425831816e-06,3.6139140321969567e-08,1.86304330358269e-06,2.4043974583872263e-08,2.605867752867701e-06,7.365940311898666e-07,3.1676766859746886e-06,0.004106387102406099,0.005587531955703935,0.0055787422994606085,0.00015617335157003254,3.1908457279205322,779.73486328125,0.00028568946943484,0.0051201489665548576,0.005806205568736925,0.025078386163148014,0.0002027439622906968,5.24567174911499,15.681100845336914,0.0001267115835495561,0.014995191202511943,0.01658371020148451,0.05561662459076977,0.0005074800574220717,4.373938083648682,33.16923141479492,0.00035102201971776555,0.007137564133707317,0.007090828904110624,0.07007357170629491,0.00020048825535923243,6.493375301361084,16.304304122924805,0.0001248620387458421,0.05441167016515487,0.04529868402185611,0.13038769881157594,0.0013541597872972488,8.40760612487793,18.240009307861328,0.0007290381105108755,0.015723417073259884,0.013924768010349205,0.2117090680869853,0.0005487384623847902,7.895641803741455,21.360614776611328,0.00017266674137862852,0.030019043835480413,0.029511941788989304,0.217510616418966,0.0009043759782798588,6.850503921508789,17.120925903320312,0.00020661526047091347,0.264974206757625,0.20817502436032762,0.3652560308558726,0.006261445116251707,10.493226051330566,15.669729232788086,0.0007518338537993377
