comparison,mean_gain,ci_low,ci_high,sequence_wins,sequence_ties,sequence_losses,sequences
token_time_dynamic_oracle_minus_global_fixed,0.13806879850267126,0.1307388715626718,0.14536082719467203,7,0,0,7
token_time_dynamic_oracle_minus_per_head_fixed,0.1365455519131579,0.12828234630934127,0.14471520013860975,7,0,0,7
