sample_id,task,layer,head,future_horizon,method,future_topk_recall,mean_step_spearman,decisions
gov_report:86,gov_report,0,1,16,ema_rho_0.8,0.6107954545454546,0.6526644975175229,48
gov_report:86,gov_report,0,1,16,ema_rho_0.9,0.5789772727272727,0.6160119043710953,48
gov_report:86,gov_report,0,1,16,ema_rho_0.95,0.540625,0.5531168381111008,48
gov_report:86,gov_report,0,1,16,ema_rho_0.99,0.4714962121212121,0.41389771456427066,48
gov_report:86,gov_report,0,1,16,ema_rho_0.995,0.4646780303030303,0.3881599465375991,48
gov_report:86,gov_report,0,1,16,ema_rho_0.999,0.4584280303030303,0.3664985353450752,48
gov_report:86,gov_report,0,1,32,ema_rho_0,0.571590909090909,0.48975835136945434,32
gov_report:86,gov_report,0,1,32,ema_rho_0.25,0.5866477272727273,0.5594920852558412,32
gov_report:86,gov_report,0,1,32,ema_rho_0.5,0.5921875,0.5944594782661343,32
gov_report:86,gov_report,0,1,32,ema_rho_0.8,0.5971590909090909,0.6154669874375613,32
gov_report:86,gov_report,0,1,32,ema_rho_0.9,0.5779829545454546,0.5937780675219818,32
gov_report:86,gov_report,0,1,32,ema_rho_0.95,0.5393465909090909,0.540294881366004,32
gov_report:86,gov_report,0,1,32,ema_rho_0.99,0.484375,0.4413012615759656,32
gov_report:86,gov_report,0,1,32,ema_rho_0.995,0.4788352272727273,0.4236137222018636,32
gov_report:86,gov_report,0,1,32,ema_rho_0.999,0.47414772727272725,0.4080587975788575,32
gov_report:86,gov_report,0,2,1,ema_rho_0,0.7148629148629146,0.8250740390409166,63
gov_report:86,gov_report,0,2,1,ema_rho_0.25,0.7281385281385281,0.8390648006978098,63
gov_report:86,gov_report,0,2,1,ema_rho_0.5,0.7315295815295814,0.8404362513941973,63
gov_report:86,gov_report,0,2,1,ema_rho_0.8,0.7168831168831169,0.8241152892030459,63
gov_report:86,gov_report,0,2,1,ema_rho_0.9,0.6843434343434343,0.7868837128658404,63
gov_report:86,gov_report,0,2,1,ema_rho_0.95,0.6405483405483405,0.7246868974473608,63
gov_report:86,gov_report,0,2,1,ema_rho_0.99,0.5616883116883117,0.5780922663634652,63
gov_report:86,gov_report,0,2,1,ema_rho_0.995,0.5495670995670996,0.5412615199321462,63
gov_report:86,gov_report,0,2,1,ema_rho_0.999,0.53008658008658,0.5040952946173612,63
gov_report:86,gov_report,0,2,4,ema_rho_0,0.7043181818181818,0.8137387434946889,60
gov_report:86,gov_report,0,2,4,ema_rho_0.25,0.7290151515151515,0.8428808985690089,60
gov_report:86,gov_report,0,2,4,ema_rho_0.5,0.741439393939394,0.8549236320045759,60
gov_report:86,gov_report,0,2,4,ema_rho_0.8,0.7433333333333334,0.856198560308631,60
gov_report:86,gov_report,0,2,4,ema_rho_0.9,0.7165909090909091,0.827931363532664,60
gov_report:86,gov_report,0,2,4,ema_rho_0.95,0.6783333333333333,0.7744772888573624,60
gov_report:86,gov_report,0,2,4,ema_rho_0.99,0.5975757575757576,0.6370266124091846,60
gov_report:86,gov_report,0,2,4,ema_rho_0.995,0.5840151515151515,0.600900091924934,60
gov_report:86,gov_report,0,2,4,ema_rho_0.999,0.5640909090909091,0.5640682575569329,60
gov_report:86,gov_report,0,2,16,ema_rho_0,0.6810606060606061,0.8032736245499642,48
gov_report:86,gov_report,0,2,16,ema_rho_0.25,0.7132575757575758,0.8453613155899857,48
gov_report:86,gov_report,0,2,16,ema_rho_0.5,0.7334280303030303,0.8626126882580495,48
gov_report:86,gov_report,0,2,16,ema_rho_0.8,0.7388257575757576,0.8627372477483485,48
gov_report:86,gov_report,0,2,16,ema_rho_0.9,0.715814393939394,0.8345698125821839,48
gov_report:86,gov_report,0,2,16,ema_rho_0.95,0.6834280303030303,0.7829499552894967,48
gov_report:86,gov_report,0,2,16,ema_rho_0.99,0.6053977272727273,0.6527356389131198,48
gov_report:86,gov_report,0,2,16,ema_rho_0.995,0.5913825757575758,0.6196934923838383,48
gov_report:86,gov_report,0,2,16,ema_rho_0.999,0.5693181818181817,0.5866115228994627,48
gov_report:86,gov_report,0,2,32,ema_rho_0,0.6586647727272728,0.7751872967992168,32
