sample_id,task,future_horizon,level,future_topk_recall,mean_step_spearman,head_step_decisions
synthetic_niah_88,niah_single_1,1,global_fixed,0.7571954665704665,0.8467245105632737,3024
synthetic_niah_88,niah_single_1,1,per_head_fixed,0.7608270202020202,0.8507608183086655,3024
synthetic_niah_88,niah_single_1,1,task_fixed,0.7571954665704665,0.8467245105632737,3024
synthetic_niah_88,niah_single_1,1,token_time_dynamic_oracle,0.8818542568542568,0.9501464547163738,3024
synthetic_niah_88,niah_single_1,4,global_fixed,0.7608285984848485,0.8430350271805763,2880
synthetic_niah_88,niah_single_1,4,per_head_fixed,0.762689393939394,0.8454552156077736,2880
synthetic_niah_88,niah_single_1,4,task_fixed,0.7608285984848485,0.8430350271805763,2880
synthetic_niah_88,niah_single_1,4,token_time_dynamic_oracle,0.8857765151515151,0.9511811682811024,2880
synthetic_niah_88,niah_single_1,16,global_fixed,0.7322482638888889,0.7900518104189147,2304
synthetic_niah_88,niah_single_1,16,per_head_fixed,0.7368489583333333,0.7957889858585631,2304
synthetic_niah_88,niah_single_1,16,task_fixed,0.7322482638888889,0.7900518104189147,2304
synthetic_niah_88,niah_single_1,16,token_time_dynamic_oracle,0.8617621527777778,0.926878800740805,2304
synthetic_niah_88,niah_single_1,32,global_fixed,0.7095673532196969,0.7686935428636521,1536
synthetic_niah_88,niah_single_1,32,per_head_fixed,0.7115056818181817,0.7709198284073885,1536
synthetic_niah_88,niah_single_1,32,task_fixed,0.7095673532196969,0.7686935428636521,1536
synthetic_niah_88,niah_single_1,32,token_time_dynamic_oracle,0.8330107717803031,0.9060066843500301,1536
synthetic_niah_89,niah_single_1,1,global_fixed,0.7481135762385762,0.8432416818774441,3024
synthetic_niah_89,niah_single_1,1,per_head_fixed,0.7521825396825397,0.8478696008308294,3024
synthetic_niah_89,niah_single_1,1,task_fixed,0.7481135762385762,0.8432416818774441,3024
synthetic_niah_89,niah_single_1,1,token_time_dynamic_oracle,0.8778228715728715,0.950167564650576,3024
synthetic_niah_89,niah_single_1,4,global_fixed,0.7459927398989898,0.8355933258131789,2880
synthetic_niah_89,niah_single_1,4,per_head_fixed,0.748175505050505,0.8374509294905882,2880
synthetic_niah_89,niah_single_1,4,task_fixed,0.7459927398989898,0.8355933258131789,2880
synthetic_niah_89,niah_single_1,4,token_time_dynamic_oracle,0.8801467803030303,0.9493773476272875,2880
synthetic_niah_89,niah_single_1,16,global_fixed,0.723532196969697,0.7877786059023857,2304
synthetic_niah_89,niah_single_1,16,per_head_fixed,0.7287286931818182,0.7934263824447149,2304
synthetic_niah_89,niah_single_1,16,task_fixed,0.723532196969697,0.7877786059023857,2304
synthetic_niah_89,niah_single_1,16,token_time_dynamic_oracle,0.8579880839646464,0.9254554046635042,2304
synthetic_niah_89,niah_single_1,32,global_fixed,0.6988695549242424,0.7641764746299319,1536
synthetic_niah_89,niah_single_1,32,per_head_fixed,0.7016128077651516,0.7658427078985337,1536
synthetic_niah_89,niah_single_1,32,task_fixed,0.6988695549242424,0.7641764746299319,1536
synthetic_niah_89,niah_single_1,32,token_time_dynamic_oracle,0.8280865293560606,0.9020030014129924,1536
synthetic_niah_90,niah_single_1,1,global_fixed,0.7593569624819623,0.8472098426852165,3024
synthetic_niah_90,niah_single_1,1,per_head_fixed,0.762868265993266,0.851341063071842,3024
synthetic_niah_90,niah_single_1,1,task_fixed,0.7593569624819623,0.8472098426852165,3024
synthetic_niah_90,niah_single_1,1,token_time_dynamic_oracle,0.8823608104858106,0.9507585267580009,3024
synthetic_niah_90,niah_single_1,4,global_fixed,0.7601988636363637,0.841702790554847,2880
synthetic_niah_90,niah_single_1,4,per_head_fixed,0.7617660984848486,0.8439376590839438,2880
synthetic_niah_90,niah_single_1,4,task_fixed,0.7601988636363637,0.841702790554847,2880
synthetic_niah_90,niah_single_1,4,token_time_dynamic_oracle,0.886450441919192,0.9506418595004217,2880
synthetic_niah_90,niah_single_1,16,global_fixed,0.7358723958333333,0.7933147044272066,2304
synthetic_niah_90,niah_single_1,16,per_head_fixed,0.7393091066919192,0.7971504320307594,2304
synthetic_niah_90,niah_single_1,16,task_fixed,0.7358723958333333,0.7933147044272066,2304
synthetic_niah_90,niah_single_1,16,token_time_dynamic_oracle,0.865313289141414,0.9294702238356637,2304
synthetic_niah_90,niah_single_1,32,global_fixed,0.7119051846590909,0.7680522688006935,1536
synthetic_niah_90,niah_single_1,32,per_head_fixed,0.7147342566287879,0.7685864243497115,1536
synthetic_niah_90,niah_single_1,32,task_fixed,0.7119051846590909,0.7680522688006935,1536
synthetic_niah_90,niah_single_1,32,token_time_dynamic_oracle,0.8350260416666666,0.9051622685843789,1536
