future_horizon,level,future_topk_recall,mean_step_spearman,sequences
1,global_fixed,0.7357404830619115,0.8328646110988424,7
1,per_head_fixed,0.7390402752009895,0.8366106345666724,7
1,task_fixed,0.7357404830619115,0.8328646110988424,7
1,token_time_dynamic_oracle,0.8741505187933759,0.9471428430600131,7
4,global_fixed,0.7338352272727272,0.8279453006571437,7
4,per_head_fixed,0.7357909451659452,0.8296500734743457,7
4,task_fixed,0.7338352272727272,0.8279453006571437,7
4,token_time_dynamic_oracle,0.8760285894660894,0.9473334953054299,7
16,global_fixed,0.718725762085137,0.7985531257415384,7
16,per_head_fixed,0.7198249233405483,0.7992359141113019,7
16,task_fixed,0.718725762085137,0.7985531257415384,7
16,token_time_dynamic_oracle,0.8568190273268398,0.9288815327513468,7
32,global_fixed,0.6903836072781385,0.7640421743659234,7
32,per_head_fixed,0.6901219223484849,0.7622882007785304,7
32,task_fixed,0.6903836072781385,0.7640421743659234,7
32,token_time_dynamic_oracle,0.8239621381222945,0.8998206463034418,7
