sample_id,task,anchor,attention_mean_w1_shared,attention_temporal_volatility_w4_shared,mean_exact_kl_reduction,primary_wins,primary_nonworse
gov_report:45,gov_report,16,0.8604235935490578,0.8922802680172026,-0.031856674468144774,False,False
gov_report:45,gov_report,32,1.3293400702518738,1.3132426695256072,0.016097400726266642,True,True
gov_report:45,gov_report,48,1.5348676017238176,1.6531655143771786,-0.11829791265336098,False,False
gov_report:46,gov_report,16,2.1758996549017677,0.9242226490122211,1.2516770058895466,True,True
gov_report:46,gov_report,32,0.9951209691571421,0.5481321756906254,0.44698879346651665,True,True
gov_report:46,gov_report,48,2.3523060212028213,2.1552517946402077,0.19705422656261362,True,True
gov_report:47,gov_report,16,0.585086349455878,0.16690442347913859,0.4181819259767394,True,True
gov_report:47,gov_report,32,0.5393045758537482,0.46031308884266764,0.07899148701108061,True,True
gov_report:47,gov_report,48,0.8871786568795414,0.4832935324616301,0.40388512441791136,True,True
gov_report:48,gov_report,16,0.727384548273676,0.7617150337437124,-0.034330485470036365,False,False
gov_report:48,gov_report,32,0.6114677802534061,0.49153481005578215,0.11993297019762394,True,True
gov_report:48,gov_report,48,0.34774281486431846,0.6462120494560395,-0.29846923459172103,False,False
gov_report:49,gov_report,16,0.43258859690405416,0.4371488898237317,-0.004560292919677522,False,False
gov_report:49,gov_report,32,0.5462040953990766,0.6535046322330231,-0.10730053683394658,False,False
gov_report:49,gov_report,48,0.4607920246590709,0.46064269407052905,0.00014933058854182946,True,True
gov_report:50,gov_report,16,0.30311638070224944,1.0262034720314546,-0.7230870913292051,False,False
gov_report:50,gov_report,32,1.5778378872819303,1.6664501928898972,-0.08861230560796685,False,False
gov_report:50,gov_report,48,0.6371200406465505,0.42161635626143834,0.21550368438511214,True,True
synthetic_niah_45,niah_single_1,16,0.010779407887840708,0.011095852575803367,-0.0003164446879626581,False,False
synthetic_niah_45,niah_single_1,32,0.00918719084168984,0.010231399075411929,-0.0010442082337220882,False,False
synthetic_niah_45,niah_single_1,48,0.0591278412198335,0.056804516849297215,0.002323324370536284,True,True
synthetic_niah_46,niah_single_1,16,0.027048078351139537,0.012029462150778159,0.015018616200361379,True,True
synthetic_niah_46,niah_single_1,32,0.8693719992241569,0.9151844440341321,-0.04581244480997526,False,False
synthetic_niah_46,niah_single_1,48,0.005628769275038081,0.006112600722741668,-0.00048383144770358655,False,False
synthetic_niah_47,niah_single_1,16,0.009631404989733028,0.011543267836975346,-0.0019118628472423183,False,False
synthetic_niah_47,niah_single_1,32,0.053336560680691036,0.07405699499304319,-0.020720434312352154,False,False
synthetic_niah_47,niah_single_1,48,0.04855090457840561,0.04905574179292671,-0.0005048372145211033,False,False
synthetic_niah_48,niah_single_1,16,0.037242245007501396,0.0099540174135484,0.027288227593952996,True,True
synthetic_niah_48,niah_single_1,32,0.6441764448747449,0.448749966557898,0.1954264783168469,True,True
synthetic_niah_48,niah_single_1,48,0.04687857936065143,0.07855956461506253,-0.0316809852544111,False,False
synthetic_niah_49,niah_single_1,16,0.03311971444247419,0.010855575079894209,0.022264139362579982,True,True
synthetic_niah_49,niah_single_1,32,0.024202442593548312,0.02300227298644586,0.0012001696071024526,True,True
synthetic_niah_49,niah_single_1,48,0.01964005673285385,0.01681032749219291,0.0028297292406609387,True,True
synthetic_niah_50,niah_single_1,16,0.009629876924940106,0.009429123753420754,0.00020075317151935224,True,True
synthetic_niah_50,niah_single_1,32,0.03876319973973352,0.03557982851324937,0.003183371226484155,True,True
synthetic_niah_50,niah_single_1,48,0.020569221293044393,0.020644141291995766,-7.491999895137269e-05,False,False
