sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,attention_temporal_volatility_w4_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
gov_report:50,gov_report,16,9,0.0016016581794247031,9.844698905944824,False,True,-9.8430972477654,new_primary_tail,created_large_loss
gov_report:45,gov_report,48,12,0.9503876566886902,4.087790489196777,False,True,-3.137402832508087,new_primary_tail,created_large_loss
gov_report:45,gov_report,48,11,1.3593016862869263,4.4410929679870605,False,True,-3.0817912817001343,new_primary_tail,unchanged
gov_report:50,gov_report,32,15,2.5355384349823,4.658318042755127,False,True,-2.122779607772827,new_primary_tail,unchanged
gov_report:48,gov_report,48,11,1.6970614194869995,3.442497730255127,False,True,-1.7454363107681274,new_primary_tail,unchanged
gov_report:45,gov_report,48,10,0.36224105954170227,2.0768415927886963,False,False,-1.714600533246994,non_tail,created_large_loss
gov_report:49,gov_report,32,8,6.311844348907471,7.7644758224487305,True,True,-1.4526314735412598,shared_tail,unchanged
gov_report:50,gov_report,32,16,3.5091583728790283,4.751805782318115,True,True,-1.242647409439087,shared_tail,unchanged
gov_report:45,gov_report,16,9,3.0466361045837402,4.251917839050293,True,True,-1.2052817344665527,shared_tail,unchanged
gov_report:48,gov_report,32,15,1.6545623540878296,2.8349719047546387,False,False,-1.180409550666809,non_tail,unchanged
synthetic_niah_46,niah_single_1,32,15,0.3054482936859131,1.4335929155349731,False,False,-1.12814462184906,non_tail,created_large_loss
gov_report:48,gov_report,48,2,0.12130071967840195,1.0665634870529175,False,False,-0.9452627673745155,non_tail,created_large_loss
gov_report:48,gov_report,48,4,0.009347055107355118,0.7292589545249939,False,False,-0.7199118994176388,non_tail,unchanged
gov_report:45,gov_report,48,8,0.9428001642227173,1.6579645872116089,False,False,-0.7151644229888916,non_tail,created_large_loss
gov_report:48,gov_report,48,15,0.6654847860336304,1.3804055452346802,False,False,-0.7149207592010498,non_tail,created_large_loss
gov_report:50,gov_report,32,14,6.55264139175415,7.171064853668213,True,True,-0.6184234619140625,shared_tail,unchanged
gov_report:50,gov_report,16,7,2.2988054752349854,2.8768961429595947,False,True,-0.5780906677246094,new_primary_tail,unchanged
gov_report:50,gov_report,16,4,0.01653631031513214,0.593222439289093,False,False,-0.5766861289739609,non_tail,unchanged
gov_report:47,gov_report,32,13,2.2973616123199463,2.857635498046875,False,True,-0.5602738857269287,new_primary_tail,unchanged
gov_report:48,gov_report,48,1,0.05894806236028671,0.6110173463821411,False,False,-0.5520692840218544,non_tail,unchanged
gov_report:49,gov_report,16,15,1.7789167165756226,2.315748453140259,False,False,-0.5368317365646362,non_tail,unchanged
gov_report:50,gov_report,48,7,1.396482229232788,1.869364619255066,False,False,-0.47288239002227783,non_tail,unchanged
gov_report:48,gov_report,16,9,1.8027948141098022,2.261927366256714,False,False,-0.4591325521469116,non_tail,unchanged
gov_report:47,gov_report,16,3,0.17321231961250305,0.5937992334365845,False,False,-0.4205869138240814,non_tail,unchanged
gov_report:45,gov_report,32,11,1.7061911821365356,2.1251254081726074,False,False,-0.4189342260360718,non_tail,unchanged
gov_report:45,gov_report,48,4,0.8908804655075073,1.295528531074524,False,False,-0.4046480655670166,non_tail,created_large_loss
gov_report:45,gov_report,48,9,0.4746652841567993,0.8399910926818848,False,False,-0.36532580852508545,non_tail,unchanged
gov_report:46,gov_report,48,11,3.7233927249908447,4.05178165435791,True,True,-0.32838892936706543,shared_tail,unchanged
gov_report:48,gov_report,32,9,2.3018035888671875,2.629075050354004,False,False,-0.3272714614868164,non_tail,unchanged
gov_report:45,gov_report,32,12,1.7956398725509644,2.121389150619507,False,False,-0.3257492780685425,non_tail,unchanged
gov_report:45,gov_report,48,6,2.5242841243743896,2.8203914165496826,False,False,-0.29610729217529297,non_tail,unchanged
gov_report:49,gov_report,48,9,0.7931742668151855,1.0879279375076294,False,False,-0.29475367069244385,non_tail,created_large_loss
gov_report:50,gov_report,32,13,1.5980359315872192,1.892563819885254,False,False,-0.29452788829803467,non_tail,unchanged
synthetic_niah_48,niah_single_1,48,8,0.11497708410024643,0.3949390947818756,False,False,-0.2799620106816292,non_tail,unchanged
gov_report:47,gov_report,32,14,1.529327154159546,1.786012887954712,False,False,-0.256685733795166,non_tail,unchanged
gov_report:45,gov_report,32,8,0.045975182205438614,0.29303398728370667,False,False,-0.24705880507826805,non_tail,unchanged
gov_report:45,gov_report,16,7,1.0441921949386597,1.2800787687301636,False,False,-0.2358865737915039,non_tail,unchanged
gov_report:50,gov_report,32,10,2.8795278072357178,3.111679792404175,False,True,-0.23215198516845703,new_primary_tail,unchanged
gov_report:49,gov_report,32,15,0.32794374227523804,0.5526952743530273,False,False,-0.2247515320777893,non_tail,unchanged
gov_report:45,gov_report,16,8,0.7969491481781006,1.0183861255645752,False,False,-0.2214369773864746,non_tail,created_large_loss
gov_report:48,gov_report,16,5,2.5962116718292236,2.8144729137420654,False,False,-0.2182612419128418,non_tail,unchanged
gov_report:49,gov_report,32,9,0.566038966178894,0.7823615074157715,False,False,-0.21632254123687744,non_tail,unchanged
gov_report:50,gov_report,16,5,0.038008466362953186,0.2520829141139984,False,False,-0.21407444775104523,non_tail,unchanged
gov_report:48,gov_report,48,12,0.5672723054885864,0.780828595161438,False,False,-0.21355628967285156,non_tail,unchanged
gov_report:48,gov_report,16,13,0.5546795725822449,0.765399158000946,False,False,-0.21071958541870117,non_tail,unchanged
gov_report:45,gov_report,48,7,0.16942302882671356,0.3797209560871124,False,False,-0.21029792726039886,non_tail,unchanged
gov_report:50,gov_report,16,6,1.4645227193832397,1.670629858970642,False,False,-0.20610713958740234,non_tail,unchanged
gov_report:48,gov_report,16,12,0.13916334509849548,0.33729201555252075,False,False,-0.19812867045402527,non_tail,unchanged
gov_report:45,gov_report,48,3,0.5170215964317322,0.7096468806266785,False,False,-0.1926252841949463,non_tail,unchanged
synthetic_niah_48,niah_single_1,48,9,0.25479400157928467,0.43459832668304443,False,False,-0.17980432510375977,non_tail,unchanged
gov_report:47,gov_report,48,16,0.35893815755844116,0.5319254398345947,False,False,-0.17298728227615356,non_tail,unchanged
