sample_id,task,attention_mean_w1_shared,attention_temporal_volatility_w4_shared,mean_exact_kl_reduction
gov_report:45,gov_report,1.2415437551749164,1.2862294839733295,-0.04468572879841304
gov_report:46,gov_report,1.8411088817539103,1.2092022064476848,0.6319066753062255
gov_report:47,gov_report,0.6705231940630559,0.3701703482611454,0.3003528458019105
gov_report:48,gov_report,0.5621983811304668,0.6331539644185114,-0.07095558328804452
gov_report:49,gov_report,0.47986157232073384,0.5170987387090946,-0.037237166388360776
gov_report:50,gov_report,0.83935810287691,1.03809000706093,-0.19873190418401998
synthetic_niah_45,niah_single_1,0.026364813316454683,0.02604392283350417,0.00032089048295051367
synthetic_niah_46,niah_single_1,0.3006829489501115,0.311108835635884,-0.01042588668577249
synthetic_niah_47,niah_single_1,0.03717295674960989,0.044885334874315085,-0.0077123781247051965
synthetic_niah_48,niah_single_1,0.24276575641429923,0.1790878495288363,0.06367790688546293
synthetic_niah_49,niah_single_1,0.025654071256292117,0.016889391852844327,0.00876467940344779
synthetic_niah_50,niah_single_1,0.022987432652572675,0.021884364519555295,0.0011030681330173805
