task,sequences,mean_exact_kl_reduction,median_exact_kl_reduction,bootstrap_mean_ci_lower,bootstrap_mean_ci_upper,sequence_wins,sequence_win_rate,two_sided_sign_test_p
all,12,0.05303145154530823,-0.0036957438208773414,-0.04541487789521525,0.18276453161411918,6,0.5,1.0
gov_report,6,0.09677485640821627,-0.04096144759338691,-0.10230821795347507,0.3479800203406969,2,0.3333333333333333,0.6875
niah_single_1,6,0.009288046682400155,0.0007119793079839471,-0.00580876183416458,0.03212976162588453,4,0.6666666666666666,0.6875
