policy,steps,sequences,mean_exact_kl,median_exact_kl,p95_exact_kl,cvar95_exact_kl,maximum_exact_kl,large_loss_rate,mean_delta_nll,p95_delta_nll,mean_forward_time_s,step_win_rate_vs_baseline,sequence_win_rate_vs_baseline,mean_exact_kl_reduction
attention_head_peak_w4_shared,1152,24,0.44293351998389835,0.016320443712174892,2.7744381427764906,5.680451598660699,14.217340469360352,0.10069444444444445,0.42715017897879826,3.0548976380039683,0.04082070846267453,0.453125,0.4583333333333333,-0.034448034006355065
attention_mean_w1_shared,1152,24,0.4084854859775432,0.013820408843457699,2.5918740034103416,5.310788651992535,14.430190086364746,0.09288194444444445,0.40778288351853603,2.9718748524785052,0.04924846749566073,0.0,0.0,0.0
attention_mean_w4_shared,1152,24,0.4424913971849699,0.015393384732306004,2.6443686962127706,5.36422611927164,14.331291198730469,0.10590277777777778,0.4525964938742209,3.389483004808427,0.04589173123177305,0.4375,0.375,-0.03400591120742666
attention_temporal_volatility_w4_shared,1152,24,0.40990099425386045,0.016136192716658115,2.5499471664428723,4.860878290801213,14.082284927368164,0.10677083333333333,0.4174907997849344,3.0107549429001703,0.04180757220659736,0.4401041666666667,0.4583333333333333,-0.0014155082763172473
blend_attention_contribution_25_w4_shared,1152,24,0.42889918521296905,0.014110344927757978,2.5810697913169878,5.5467872866268815,14.277442932128906,0.09895833333333333,0.4361928108709418,3.0423750415506285,0.0402420713914947,0.4861111111111111,0.3333333333333333,-0.020413699235425815
blend_attention_contribution_50_w4_shared,1152,24,0.44160299219007965,0.014339759945869446,2.7687275171279917,5.593538954340178,14.269620895385742,0.1032986111111111,0.44754929115873143,3.2772314132656932,0.040749794312499726,0.484375,0.2916666666666667,-0.03311750621253641
blend_attention_contribution_75_w4_shared,1152,24,0.4292040212117836,0.014935851562768221,2.6460383296012897,5.4526957972296355,14.377741813659668,0.09722222222222222,0.43650709231752427,3.202347509562969,0.04034268871267363,0.4722222222222222,0.4166666666666667,-0.020718535234240408
contribution_mean_w1_shared,1152,24,0.40087649110452417,0.013776556123048067,2.422508382797244,5.447950132961931,14.84729290008545,0.0876736111111111,0.41127592352199344,2.766530612165936,0.04631269733246562,0.5355902777777778,0.5,0.007608994873019113
contribution_mean_w4_shared,1152,24,0.39569046224177673,0.014796853996813297,2.3892661094665537,4.987680209094081,14.346846580505371,0.09114583333333333,0.40867813768936806,2.9787653103470824,0.04618841887152844,0.4652777777777778,0.5833333333333334,0.01279502373576654
contribution_q75_w4_shared,1152,24,0.393847379998675,0.0141825582832098,2.3245271444320768,5.013670945989674,14.346846580505371,0.09375,0.3987779543517857,2.9807526356133214,0.04158723879513999,0.4618055555555556,0.5416666666666666,0.014638105978868277
key_diagonal_leverage_shared,1152,24,0.6995179708644449,0.09453362226486206,3.4367739677429205,5.88310538489243,13.67742919921875,0.19791666666666666,0.7847037543126181,4.7527441956684955,0.04149312821093617,0.17708333333333334,0.25,-0.29103248488690164
protected_attention_rescue_m16_shared,1152,24,0.440057845452323,0.014268217142671347,2.7507475376129213,5.603538496740933,14.346846580505371,0.1032986111111111,0.4491122064570596,3.2292044008150715,0.041347602183159395,0.4609375,0.4166666666666667,-0.03157235947477984
protected_attention_rescue_m4_shared,1152,24,0.42979900900173695,0.014660044107586145,2.6351519465446507,5.58450737903858,14.348264694213867,0.09375,0.43323207917624246,3.0900375158991684,0.04037925748264096,0.4713541666666667,0.4166666666666667,-0.021313523024193717
protected_attention_rescue_m8_shared,1152,24,0.43214464066327934,0.014272078406065702,2.7059916853904764,5.591966279621782,14.306292533874512,0.09809027777777778,0.4352054180655361,2.9986945868935484,0.040431423263020634,0.4583333333333333,0.375,-0.023659154685736126
uniform_position_coverage_shared,1152,24,1.2519974352368135,0.33903348445892334,5.328328466415408,8.415271594606597,20.017122268676758,0.3185763888888889,1.330003125233312,6.362686918586953,0.04111223948090026,0.13802083333333334,0.0,-0.8435119492592702
value_adjacent_change_shared,1152,24,0.9956062226669916,0.16792458295822144,4.909135746955873,7.702482708569231,19.193811416625977,0.2361111111111111,1.0548493327742299,5.341131977550686,0.041379180105033816,0.19444444444444445,0.08333333333333333,-0.5871207366894483
value_diagonal_leverage_shared,1152,24,0.6100230096677826,0.08398628979921341,2.9830543518066426,5.117799438279251,13.685492515563965,0.1736111111111111,0.6767608260994785,3.9749451719690114,0.04100895199826212,0.1935763888888889,0.3333333333333333,-0.2015375236902393
