task,sequences,mean_exact_kl_reduction,median_exact_kl_reduction,bootstrap_mean_ci_lower,bootstrap_mean_ci_upper,sequence_wins,sequence_win_rate,two_sided_sign_test_p
all,8,0.02860814851993876,0.0025134402894195773,0.0017824648892634798,0.07713971409060004,6,0.75,0.2890625
gov_report,4,0.056744633919858956,0.014595816818079754,0.0073723522191357915,0.14826573272236132,4,1.0,0.125
niah_single_1,4,0.0004716631200185617,0.0003999578694724448,-3.8687089084277204e-05,0.0009820133291214006,2,0.5,1.0
