sample_id,task,action_fisher,direct,local,midpoint_oracle,state_fisher,delta_state_action
gov_report:80,gov_report,0.8571428571428572,0.7619047619047621,0.8571428571428572,1.0,0.8214285714285716,-0.03571428571428559
gov_report:81,gov_report,0.9642857142857144,0.8095238095238096,0.7500000000000001,1.0,0.9642857142857144,0.0
synthetic_niah_80,niah_single_1,0.7261904761904763,0.7380952380952381,0.7380952380952381,1.0,0.9523809523809524,0.22619047619047616
synthetic_niah_81,niah_single_1,0.4880952380952382,0.4404761904761905,0.34523809523809534,1.0,0.9047619047619048,0.4166666666666666
