epsilon_relative,row_count,finite_rate,nonzero_fd_norm_rate,median_cosine,median_relative_l2,median_symmetric_norm_ratio,passes
1e-06,96,1.0,1.0,0.8168968130293026,0.5790237397879158,0.8953035756717597,False
3e-06,96,1.0,1.0,0.9670597919559245,0.25906744709255736,0.9768228690136889,False
1e-05,96,1.0,1.0,0.9969610966773086,0.07818115526170658,0.9949293256711293,False
3e-05,96,1.0,1.0,0.999663551767079,0.025967763341269445,0.9989712419606078,True
0.0001,96,1.0,1.0,0.9999676846442553,0.008238082825155691,0.999593390017558,True
0.0003,96,1.0,1.0,0.9999963559683686,0.0028352563248786903,0.9998849336236015,True
0.001,96,1.0,1.0,0.9999996915484384,0.0007885731194794199,0.9999662478676321,True
0.003,96,1.0,1.0,0.9999999606247358,0.00028378251906459973,0.9999810120863503,True
0.01,96,1.0,1.0,0.9999999392907148,0.00037096923269619333,0.9999391275301496,True
