outcome_metric,predictor,spearman,pvalue,unit_count
median_combined_cosine,state_norm,-0.5163375570849682,3.43926881060491e-06,72
median_combined_cosine,state_fisher_energy,-0.40448318003473344,0.000425156145561651,72
median_combined_cosine,physical_history_kl,-0.2914360926174763,0.012998457064152511,72
median_combined_cosine,median_action_norm,-0.5429970465067705,8.30943261326018e-07,72
median_combined_cosine,layer,-0.2381957855703144,0.04391650956967278,72
median_combined_cosine,history_length,0.11342053684029312,0.342810150328124,72
median_combined_relative_l2,state_norm,0.6163568534122339,8.220845344502778e-09,72
median_combined_relative_l2,state_fisher_energy,0.49652666109217225,9.166284028300225e-06,72
median_combined_relative_l2,physical_history_kl,0.34666267700614495,0.0028530254881583223,72
median_combined_relative_l2,median_action_norm,0.6408021688594303,1.3381018015543502e-09,72
median_combined_relative_l2,layer,0.3216870918526926,0.005860498394675395,72
median_combined_relative_l2,history_length,-0.09782521302475279,0.41363682935618795,72
delta_state_action,state_norm,-0.0010972053349523829,0.9927017276191601,72
delta_state_action,state_fisher_energy,0.18796095510088687,0.11385140258664501,72
delta_state_action,physical_history_kl,-0.17239939423050984,0.14758274790331383,72
delta_state_action,median_action_norm,-0.38495588253719065,0.0008409181126485773,72
delta_state_action,layer,0.18233903265300147,0.12527520600576486,72
delta_state_action,history_length,0.0633063552240053,0.597290201617554,72
