sample_id,task,score_type,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio
gov_report:80,gov_report,action_fisher,0.8571428571428572,0.8571428571428571,0.0,0.5,0.012247914357625893,0.04984167936011161
gov_report:80,gov_report,direct,0.7619047619047621,0.8214285714285714,0.0,0.5,0.00426749908946224,0.000960046203154053
gov_report:80,gov_report,local,0.8571428571428572,0.8571428571428571,0.0,0.5,0.00426749908946224,0.0006754721473041672
gov_report:80,gov_report,midpoint_oracle,1.0,1.0,1.0,1.0,0.0,0.8987335492638711
gov_report:80,gov_report,state_fisher,0.8214285714285716,0.8392857142857142,0.0,1.0,0.0060370857531185365,0.09072936226130902
gov_report:81,gov_report,action_fisher,0.9642857142857144,0.9464285714285714,1.0,1.0,0.0,0.25115938894899514
gov_report:81,gov_report,direct,0.8095238095238096,0.8392857142857142,0.5,0.5,0.0004558475211347536,0.00025641461527016137
gov_report:81,gov_report,local,0.7500000000000001,0.7857142857142857,0.0,0.5,0.002612024514837105,0.00016196077862344626
gov_report:81,gov_report,midpoint_oracle,1.0,1.0,1.0,1.0,0.0,0.9654754211007541
gov_report:81,gov_report,state_fisher,0.9642857142857144,0.9464285714285714,1.0,1.0,0.0,0.6225184481377211
synthetic_niah_80,niah_single_1,action_fisher,0.7261904761904763,0.7857142857142857,0.0,0.0,0.039853157080220476,0.04125122404810581
synthetic_niah_80,niah_single_1,direct,0.7380952380952381,0.75,0.0,0.5,0.04247369213596219,0.006340212979052967
synthetic_niah_80,niah_single_1,local,0.7380952380952381,0.75,0.0,0.5,0.04247369213596219,0.0077587703995460125
synthetic_niah_80,niah_single_1,midpoint_oracle,1.0,1.0,1.0,1.0,0.0,0.9830019293060749
synthetic_niah_80,niah_single_1,state_fisher,0.9523809523809524,0.9285714285714286,1.0,1.0,0.0,0.16675684610250305
synthetic_niah_81,niah_single_1,action_fisher,0.4880952380952382,0.6964285714285714,0.0,0.0,0.1482814282705271,0.0386443571339709
synthetic_niah_81,niah_single_1,direct,0.4404761904761905,0.6607142857142858,0.0,0.0,0.3753595682263984,0.006980077435248932
synthetic_niah_81,niah_single_1,local,0.34523809523809534,0.625,0.0,0.0,0.3753595682263984,0.008822738742176693
synthetic_niah_81,niah_single_1,midpoint_oracle,1.0,1.0,1.0,1.0,0.0,0.9930415653914454
synthetic_niah_81,niah_single_1,state_fisher,0.9047619047619048,0.8928571428571429,1.0,1.0,0.0,0.11434054357838222
