sample_id,task,stage,history_id,tau_anchor,target_anchor,horizon,layer,exact_top_index,fresh_top_index,reused_top_index,top1_stale,exact_optimum_stale,harmful_stale,reuse_normalized_regret,fresh_normalized_regret,refresh_benefit,fresh_reused_spearman,fresh_exact_spearman,reused_exact_spearman,fresh_pairwise_accuracy,reused_pairwise_accuracy,pairwise_degradation,fresh_margin,reused_margin,retained_overlap,core_turnover,token_age_mean,token_age_std,recent_window_exits,retained_attention_mass,cache_occupancy,selector_score_drift,selected_core_score_margin,compressed_residual_norm_drift,compressed_sketch_l2,query_norm_drift,key_query_alignment_mean,key_query_alignment_std,attention_entropy,attention_concentration,sink_attention_mass,recent_attention_mass,core_attention_mass,layer_attention_summary_drift,action_norm_median,action_norm_spread,action_to_compressed_state_ratio,action_only_margin,cheap_rank_disagreement,top_reused_one_midpoint_shift,harmful_stale_eps_0p01,harmful_stale_eps_0p02,harmful_stale_eps_0p05,harmful_stale_eps_0p1,controlled_physical_spearman,scalar_physical_spearman,action_only_physical_spearman,fresh_physical_normalized_regret,action_only_physical_normalized_regret
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,32,0,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.9844209953914113e-05,1.9844209953914113e-05,1.0,0.0,716.0,405.17156859779783,0.0,1.0,1.0,0.0,0.1791964143738358,0.0,0.0,0.0,0.1673773919770967,0.34849476006220326,2.701898372988281,0.3279871208633948,0.00204895068634912,0.953201653737466,0.04474939557618482,0.0,1.6322777270459707,1.0252726766442386,0.10147647276517788,4.433350970357152e-06,1.3812830351314385,0.0,False,False,False,False,-0.6904761904761906,-0.6904761904761906,-0.4285714285714286,0.27722868876927637,0.27722868876927637
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,33,1,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.2519681677423e-08,2.2519681677423e-08,0.9844961240310077,0.0,716.75,405.6037937445852,0.03125,0.4954135688309011,1.0,1.1458505374806518,0.3539410638885264,0.14823367604685056,21.58852621673622,0.4408608183498104,0.24245600475051135,0.2541253904404538,2.1398519287977047,0.5045864311690987,0.00250843099014013,0.9753608543680548,0.0221307146418051,1.1458505374806518,0.9064590184978147,0.5826444051067634,0.049078265168037975,2.2133511144269786e-09,1.5310837819110672,0.0,False,False,False,False,-0.5476190476190477,-0.5476190476190477,-0.523809523809524,0.0722671943460431,0.0722671943460431
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,34,2,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.4619283944144045e-06,2.4619283944144045e-06,0.9692307692307692,0.0,717.5,406.03602056960415,0.0625,0.2992275932372775,1.0,1.5054834847198555,0.026529461800128107,0.2441944431245791,28.623916587000448,0.6071892359636304,0.18163035908841973,0.15888086471990356,2.0174512436027032,0.36365093428142536,0.0011374786516942744,0.9876499586599972,0.01121256268830865,1.5054834847198555,0.9162208276833002,0.6499537789984692,0.04578078246705106,2.646548229335963e-06,1.7751446038426346,0.0,False,False,False,False,-0.6666666666666669,-0.6666666666666669,-0.6190476190476191,0.5290939677074279,0.2543385696395487
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,36,4,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,7.3213745586722165e-06,7.3213745586722165e-06,0.9393939393939394,0.0,719.0,406.90047923294463,0.125,0.35280428569711747,1.0,1.2958014188674687,0.10517345667397643,0.09145993816748871,11.552920630398459,0.35442033930099315,0.2914870170373338,0.2587384360805731,2.2926194744762007,0.3519240127589055,0.0008136043689704385,0.9851955732776154,0.01399082235341422,1.2958014188674687,1.7211116533597925,1.0716332989991801,0.09803305890270085,2.943568842841702e-06,1.649915822768611,0.0,False,False,False,False,-0.6904761904761906,-0.6904761904761906,-0.6904761904761906,0.6315863120469416,0.6315863120469416
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,40,8,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.408990490267446e-05,2.408990490267446e-05,0.8823529411764706,0.0,722.0,408.62941646435587,0.25,0.36917516840833203,1.0,1.2939767230533876,0.32039407514536306,0.2005366843453097,16.123852233347865,0.16639234117103877,0.2896369801694845,0.2885926965233437,2.653373506396168,0.38473985132978233,0.0011386429998134734,0.9726945612361663,0.026166795764020284,1.2939767230533876,1.5553693005719196,0.9985759348458829,0.1209501164536291,6.638110346967246e-06,1.8560912581184192,0.0,False,False,False,False,-0.5000000000000001,-0.5000000000000001,-0.2142857142857143,0.846138068321158,0.846138068321158
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,48,16,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.4703229782023946e-07,4.4703229782023946e-07,0.7777777777777778,0.0,728.0,412.08736937693203,0.5,0.22516941789883552,1.0,1.566197501388507,0.24517981977784561,0.1643429680234652,14.745532002429583,0.16639234117103877,0.2896369801694845,0.2885926965233437,2.6505593453439094,0.37316006590796585,0.0012658000034373356,0.9706787112592294,0.028055488737333302,1.566197501388507,1.8086310174918285,1.5831727887551277,0.13455294602551815,1.5924706674014575e-07,1.179899201132554,0.0,False,False,False,False,-0.2380952380952381,-0.2380952380952381,0.09523809523809526,0.4908514001318301,0.4908514001318301
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,64,32,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0569721240732221e-07,1.0569721240732221e-07,0.6,0.0,740.0,419.00357993697384,1.0,0.03980753218956124,1.0,1.9474313740765994,0.3252065674260254,0.24854255087463903,15.293451932700723,0.7890610595015803,0.35298103361898076,0.3001541447320152,2.6585477783142646,0.4046643407038284,0.002969088973655966,0.9601924678104387,0.036838443215905285,1.9474313740765994,1.5187413684273314,0.6588298284427431,0.12564659890868424,4.725521235287243e-07,1.2535142788872609,0.0,False,False,False,False,0.11904761904761905,0.11904761904761905,0.2142857142857143,0.6149315014461539,0.8329894253387553
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,32,0,14,6,6,6,False,False,False,0.0,0.0,0.0,1.0,0.880952380952381,0.880952380952381,0.8571428571428571,0.8571428571428571,0.0,0.00011716910119342417,0.00011716910119342417,1.0,0.0,716.0,405.17156859779783,0.0,1.0,1.0,0.0,0.3713536714435886,0.0,0.0,0.0,-0.04489775614169971,0.06274271926140008,2.8034433857228818,0.4384686986313996,0.43854813246075314,0.2706150150506212,0.29083685248862556,0.0,2.5401558670399957,2.5324754468740887,0.054316595715504644,1.0753573666452405e-06,1.84925999292332,0.0,False,False,False,False,-0.04761904761904763,-0.5000000000000001,0.9761904761904763,0.27722868876927637,0.0
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,33,1,14,5,5,5,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.789962737711586e-07,4.789962737711586e-07,0.9844961240310077,0.0,716.75,405.6037937445852,0.03125,0.9144695489821111,1.0,0.820174681925552,0.27349294944843283,0.11947524516422851,48.32404513059192,0.13070353578103405,-0.029018819963166142,0.07103875055491812,2.6120914434569813,0.36803312625381995,0.36808225910599385,0.32587656214838606,0.30604117874562003,0.820174681925552,4.40723908974587,4.655980310369466,0.08418297961608859,4.123051747602582e-08,0.8721987548408703,0.0,False,False,False,False,0.9523809523809524,0.9523809523809524,0.6666666666666669,0.0,0.0025505046572120564
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,34,2,14,6,6,6,False,False,False,0.0,0.0,0.0,1.0,0.9761904761904763,0.9761904761904763,0.9642857142857143,0.9642857142857143,0.0,0.006747587902327993,0.006747587902327993,0.9692307692307692,0.0,717.5,406.03602056960415,0.0625,0.8603284709805645,1.0,1.1218418156070138,0.01424102936525981,0.2255558261313936,60.247276389310926,0.15583620242609864,-0.00974563928978331,0.06047002694341578,2.707655225877123,0.24410323693565142,0.24412657773736943,0.33811237777284686,0.4177610444897836,1.1218418156070138,5.161677890154581,12.942030726624585,0.09005959237193283,0.0027820223459978366,1.7301226805437349,0.0,False,False,False,False,-0.6190476190476191,-0.6666666666666669,-0.4523809523809524,0.5290939677074279,0.5290939677074279
