sample_id,task,stage,history_id,tau_anchor,target_anchor,horizon,layer,boundary,candidate_id,candidate_source,current_mask_hash,tau_mask_hash,mask_changed,controlled_exact_kl,action_only_risk,action_u_norm,action_r_norm,candidate_retained_attention_mass,adjacent_method,risk_all_old,risk_update_g,risk_update_f,risk_update_path,risk_update_gf,risk_update_gp,risk_update_fp,risk_full_fresh,risk_path_q1_only,risk_path_q3_only,risk_single_midpoint,physical_exact_kl,physical_boundary_effect_norm,physical_position_overlap
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,32,0,0,1,selector_00_attention_only,attention_only,0676807ab4f80f3e9595ff1d347382a28da3e3ff812b94ce20022a026001e71a,0676807ab4f80f3e9595ff1d347382a28da3e3ff812b94ce20022a026001e71a,False,0.00017049215110990796,3.0128290845559645e-05,1.048315031127389,1.6036714659642148,0.9673837192838748,mx.vjp_of_vjp,0.0001135955260424333,0.0001135955260424333,0.0001135955260424333,0.0001135955260424333,0.0001135955260424333,0.0001135955260424333,0.0001135955260424333,0.0001135955260424333,0.0001135955260424333,0.0001135955260424333,0.0001135955260424333,0.012775003746625355,0.9136864897959505,0.3689839572192513
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,32,0,0,1,selector_01_aov,aov,e96b89149bb84d72d48205abf75a83782c5dd3e7487ffbe53c52b1018329dac1,e96b89149bb84d72d48205abf75a83782c5dd3e7487ffbe53c52b1018329dac1,False,0.00019416305704528236,4.175017370992974e-05,1.1558372437395927,1.6628164005150008,0.9613512684825043,mx.vjp_of_vjp,0.0001377051374152524,0.0001377051374152524,0.0001377051374152524,0.0001377051374152524,0.0001377051374152524,0.0001377051374152524,0.0001377051374152524,0.0001377051374152524,0.0001377051374152524,0.0001377051374152524,0.0001377051374152524,0.011917094360929414,0.9478402190810128,0.3544973544973545
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,32,0,0,1,selector_02_aor,aor,aa53441fad11ebc9851aed4e6b5001dc0b95387eaad87be4408da30620b2564e,aa53441fad11ebc9851aed4e6b5001dc0b95387eaad87be4408da30620b2564e,False,0.00019447129907736562,4.1958889232443126e-05,1.1545590553951266,1.6658992053132968,0.9609605226810667,mx.vjp_of_vjp,0.00013797770755220857,0.00013797770755220857,0.00013797770755220857,0.00013797770755220857,0.00013797770755220857,0.00013797770755220857,0.00013797770755220857,0.00013797770755220857,0.00013797770755220857,0.00013797770755220857,0.00013797770755220857,0.01104314350759436,0.9476994568493269,0.3403141361256545
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,32,0,0,1,selector_03_v_ridge,v_ridge,1da81ed9ed7a113d3c5ecdddbf75eb9fb94aafa087ff9673aa7a616911c869c0,1da81ed9ed7a113d3c5ecdddbf75eb9fb94aafa087ff9673aa7a616911c869c0,False,0.00015732255448878745,2.719808284655073e-05,1.1630546794717367,1.6608839881277264,0.9591165334941891,mx.vjp_of_vjp,0.00010043661143968016,0.00010043661143968016,0.00010043661143968016,0.00010043661143968016,0.00010043661143968016,0.00010043661143968016,0.00010043661143968016,0.00010043661143968016,0.00010043661143968016,0.00010043661143968016,0.00010043661143968016,0.8883707483496044,0.7701387700863815,0.2549019607843137
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,32,0,0,1,selector_04_snapkv,snapkv,15a6a09385e5b219eebb6032e226775003bb7296c2e8ac468d16dcfeffd54235,15a6a09385e5b219eebb6032e226775003bb7296c2e8ac468d16dcfeffd54235,False,0.00012135505789787147,1.1177010215134097e-05,0.9723699267105199,1.4646440255312994,0.9807900501175939,mx.vjp_of_vjp,6.427965928253495e-05,6.427965928253495e-05,6.427965928253495e-05,6.427965928253495e-05,6.427965928253495e-05,6.427965928253495e-05,6.427965928253495e-05,6.427965928253495e-05,6.427965928253495e-05,6.427965928253495e-05,6.427965928253495e-05,0.08982512248738125,1.0721779927974997,0.4065934065934066
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,32,0,0,1,selector_05_old_stale_core,old_stale_core,6cce6b119569d4ba642e0f04966cc702e0ece51ceb6d7250633bdc5fcdacbe49,6cce6b119569d4ba642e0f04966cc702e0ece51ceb6d7250633bdc5fcdacbe49,False,0.00019110085380774156,5.100295911736986e-05,1.3037127787089373,1.865384637216994,1.0,mx.vjp_of_vjp,0.00013446778875619673,0.00013446778875619673,0.00013446778875619673,0.00013446778875619673,0.00013446778875619673,0.00013446778875619673,0.00013446778875619673,0.00013446778875619673,0.00013446778875619673,0.00013446778875619673,0.00013446778875619673,0.1130464792185703,0.0,1.0
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,32,0,0,1,selector_06_fresh_core,fresh_core,06c910e48e2b278e9bbab33bcf0ab1592994c1723d4f93cbae96b55a52c6381e,06c910e48e2b278e9bbab33bcf0ab1592994c1723d4f93cbae96b55a52c6381e,False,0.00010150881387235291,6.7436592447769455e-06,0.5658342854159422,0.8401119605727553,0.9552506044238152,mx.vjp_of_vjp,4.443544932862084e-05,4.443544932862084e-05,4.443544932862084e-05,4.443544932862084e-05,4.443544932862084e-05,4.443544932862084e-05,4.443544932862084e-05,4.443544932862084e-05,4.443544932862084e-05,4.443544932862084e-05,4.443544932862084e-05,0.25426352501903465,1.360771502946859,0.16363636363636364
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,32,0,0,1,selector_07_random_reference,random_reference,6651e3853584c9acb0b55d1cdb3187639912f64cdbb8e8037604b7d7642deea5,6651e3853584c9acb0b55d1cdb3187639912f64cdbb8e8037604b7d7642deea5,False,0.00015904545705648556,3.315322293817733e-05,1.090570136055447,1.5191708879780423,0.9727168521323237,mx.vjp_of_vjp,0.00010245726735960976,0.00010245726735960976,0.00010245726735960976,0.00010245726735960976,0.00010245726735960976,0.00010245726735960976,0.00010245726735960976,0.00010245726735960976,0.00010245726735960976,0.00010245726735960976,0.00010245726735960976,0.3311049358144651,0.4792150322283498,0.19626168224299065
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,33,1,0,1,selector_00_attention_only,attention_only,dcc1747e4caabaa5c74e535e9633899ffef40229773d13432581cc085f8d2cdd,0676807ab4f80f3e9595ff1d347382a28da3e3ff812b94ce20022a026001e71a,True,1.2066478490870744e-07,3.4827826356930793e-08,0.7004954142701144,1.0704791870230401,0.9872959773543257,mx.vjp_of_vjp,9.779797239985772e-08,9.779797239985772e-08,9.779797239985772e-08,9.779797239985772e-08,9.779797239985772e-08,9.779797239985772e-08,9.779797239985772e-08,9.779797239985772e-08,9.779797239985772e-08,9.779797239985772e-08,9.779797239985772e-08,2.3658481422652546e-05,0.4054277210792263,0.3689839572192513
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,33,1,0,1,selector_01_aov,aov,be0bfdd2102104c20a3504fa0715e353ea8bf4b9cb799dc5f66c24fd7421f5a1,e96b89149bb84d72d48205abf75a83782c5dd3e7487ffbe53c52b1018329dac1,True,1.5892014568099712e-07,5.444803440728816e-08,0.7322371362443311,1.1218201875776812,0.9861057093348752,mx.vjp_of_vjp,1.3655095714413676e-07,1.3655095714413676e-07,1.3655095714413676e-07,1.3655095714413676e-07,1.3655095714413676e-07,1.3655095714413676e-07,1.3655095714413676e-07,1.3655095714413676e-07,1.3655095714413676e-07,1.3655095714413676e-07,1.3655095714413676e-07,2.645124204912523e-05,0.3765189597102612,0.3544973544973545
