stratum,value,policy,steps,mean_exact_kl,p95_exact_kl,maximum_exact_kl,mean_delta_nll
task,gov_report,attention_mean_w1_shared,144,0.561588252118669,3.105353379249569,5.795332431793213,0.48993856400965463
task,gov_report,protected_attention_rescue_m16_shared,144,0.5416005098422926,2.874526917934417,5.755293846130371,0.5245371182330669
task,gov_report,protected_attention_rescue_m4_shared,144,0.5442905999080234,2.5942335128784166,6.550067901611328,0.463287194061446
task,gov_report,protected_attention_rescue_m8_shared,144,0.5588127785737298,2.6530809998512264,6.314531326293945,0.500565533008452
task,niah_single_1,attention_mean_w1_shared,144,0.030019503533916532,0.1686924666166305,0.32209697365760803,0.017747711532277007
task,niah_single_1,protected_attention_rescue_m16_shared,144,0.0589336734928361,0.23450293317437165,1.7092432975769043,0.05811359472857526
task,niah_single_1,protected_attention_rescue_m4_shared,144,0.10515826839547894,0.1622476324439048,10.93212604522705,0.09977768079836045
task,niah_single_1,protected_attention_rescue_m8_shared,144,0.0285190548662076,0.14332706704735754,0.22729402780532837,0.02007634237450083
anchor,16,attention_mean_w1_shared,96,0.11851508486361058,0.5120156705379486,3.4140067100524902,0.15462762008058442
anchor,16,protected_attention_rescue_m16_shared,96,0.12049099858657424,0.6053289324045181,2.9686005115509033,0.17131681376332134
anchor,16,protected_attention_rescue_m4_shared,96,0.1138068184596112,0.4862475246191025,3.3502769470214844,0.14555424846651496
anchor,16,protected_attention_rescue_m8_shared,96,0.12236280762730466,0.6723293513059616,3.3474996089935303,0.17256996907436437
anchor,32,attention_mean_w1_shared,96,0.37366728910474656,2.1755985021591187,5.795332431793213,0.31759356062973865
anchor,32,protected_attention_rescue_m16_shared,96,0.34572327636879024,2.146287202835083,5.755293846130371,0.29522783426298815
anchor,32,protected_attention_rescue_m4_shared,96,0.46026741253287756,2.3575679063796997,10.93212604522705,0.40134551455282735
anchor,32,protected_attention_rescue_m8_shared,96,0.3472239999124073,2.115039050579071,6.314531326293945,0.2856561824619064
anchor,48,attention_mean_w1_shared,96,0.3952292595105211,1.9929735362529755,4.5111308097839355,0.2893082326025744
anchor,48,protected_attention_rescue_m16_shared,96,0.4345870000473286,1.805733561515808,4.7269086837768555,0.4074314214161537
anchor,48,protected_attention_rescue_m4_shared,96,0.40009907146276485,2.0797297954559326,4.636311054229736,0.2976975492703673
anchor,48,protected_attention_rescue_m8_shared,96,0.4114109426201941,2.1897383332252502,4.8697733879089355,0.3227366615381584
