sample_id,task,attention_mean_w1_shared,protected_attention_rescue_m8_shared,mean_exact_kl_reduction
gov_report:18,gov_report,0.6613326083909215,0.682190466961174,-0.020857858570252574
gov_report:19,gov_report,0.38133928298577996,0.3994618359746684,-0.01812255298888843
gov_report:20,gov_report,0.6420928649793055,0.5947860327853469,0.04730683219395859
synthetic_niah_18,niah_single_1,0.033646733806206086,0.026618284934126397,0.007028448872079689
synthetic_niah_19,niah_single_1,0.04490403394928203,0.0478373045112804,-0.0029332705619983662
synthetic_niah_20,niah_single_1,0.011507742846261474,0.011101575153216007,0.0004061676930454672
