task,sequences,mean_exact_kl_reduction,median_exact_kl_reduction,bootstrap_mean_ci_lower,bootstrap_mean_ci_upper,sequence_wins,sequence_win_rate,two_sided_sign_test_p
all,6,0.002137961106324063,-0.0012635514344764495,-0.013414654331205818,0.021416209096124728,3,0.5,1.0
gov_report,3,0.0027754735449391963,-0.01812255298888843,-0.020857858570252574,0.04730683219395859,1,0.3333333333333333,1.0
niah_single_1,3,0.0015004486677089302,0.0004061676930454672,-0.0029332705619983662,0.007028448872079689,2,0.6666666666666666,1.0
