sample_id,task,anchor,attention_mean_w1_shared,protected_attention_rescue_m16_shared,protected_attention_rescue_m4_shared,protected_attention_rescue_m8_shared,mean_exact_kl_reduction,primary_wins,primary_nonworse
gov_report:18,gov_report,16,0.10068735830600417,0.10196149097600937,0.10328537989880715,0.10168262292427244,-0.0009952646182682656,False,False
gov_report:18,gov_report,32,1.1474305121012094,1.0982193018945736,1.188299257232302,1.1701139637018514,-0.022683451600642,False,False
gov_report:18,gov_report,48,0.7358799547655508,0.8070369712077081,0.7588397801155224,0.7747748142573982,-0.038894859491847456,False,False
gov_report:19,gov_report,16,0.4878051716132177,0.4740635092930461,0.48555536352068884,0.4834340162033186,0.004371155409899075,True,True
gov_report:19,gov_report,32,0.10047449992039503,0.15320634323073534,0.10467154201788276,0.15035379042619468,-0.049879290505799645,False,False
gov_report:19,gov_report,48,0.5557381774237271,0.400302418715345,0.5603063561414743,0.5645977012944918,-0.008859523870764718,False,False
gov_report:20,gov_report,16,0.06753020557095368,0.11500226182863571,0.05976823776281037,0.11689216989657325,-0.04936196432561957,False,False
gov_report:20,gov_report,32,0.9369504836094054,0.7587078327176027,0.7141608444160461,0.6979548641515869,0.23899561945781844,True,True
gov_report:20,gov_report,48,0.9217979057575576,0.9659044587169774,0.9237286380666774,0.9695110643078806,-0.04771315855032299,False,False
synthetic_niah_18,niah_single_1,16,0.036879631952551506,0.013098238516036531,0.014550920929458755,0.013179884118956764,0.023699747833594742,True,True
synthetic_niah_18,niah_single_1,32,0.03319520922980246,0.03775780944144458,0.7288752492236483,0.03811041801674264,-0.004915208786940184,False,False
synthetic_niah_18,niah_single_1,48,0.030865360236264294,0.026759394781567636,0.031981096339034565,0.028564552666679788,0.0023008075695845065,True,True
synthetic_niah_19,niah_single_1,16,0.009352080500185878,0.010458172612758831,0.010355137104016698,0.010473368764762458,-0.001121288264576581,False,False
synthetic_niah_19,niah_single_1,32,0.02368808461505978,0.026164889673964353,0.025317764753708616,0.02658879108275869,-0.0029007064676989103,False,False
synthetic_niah_19,niah_single_1,48,0.10167193673260044,0.38223695720080286,0.10011289305111859,0.10644975368632004,-0.004777816953719594,False,False
synthetic_niah_20,niah_single_1,16,0.008836061238750581,0.008362318292958859,0.009325871541885355,0.008514783855944397,0.00032127738280618434,True,True
synthetic_niah_20,niah_single_1,32,0.0002649451526073321,0.0002834812544207921,0.0002798175536775638,0.000222172095309503,4.27730572978291e-05,True,True
synthetic_niah_20,niah_single_1,48,0.02542222214742651,0.025281799661570403,0.025625665062761982,0.02456776950839412,0.0008544526390323881,True,True
