top_k,window,quantile,task,ri_fraction_a,ri_fraction_b
20,8,0.25,niah_single_1,0.0,0.12250657820850493
20,8,0.25,vt,0.0,0.10563346257668318
20,16,0.05,niah_multikey_1,0.010255455263517966,0.10631323861865394
20,16,0.05,niah_multiquery,0.007332865565853877,0.08289925817288142
20,16,0.05,niah_single_1,0.0021179384328791095,0.0739966622888506
20,16,0.05,vt,0.0027846160817292798,0.06187833146746582
20,16,0.1,niah_multikey_1,0.0009043363905409903,0.10631323861865394
20,16,0.1,niah_multiquery,0.0004500217034897793,0.08289925817288142
20,16,0.1,niah_single_1,0.0005259488879526,0.0739966622888506
20,16,0.1,vt,7.451564828614009e-05,0.06187833146746582
20,16,0.25,niah_multikey_1,0.0,0.10631323861865394
20,16,0.25,niah_multiquery,0.0,0.08289925817288142
20,16,0.25,niah_single_1,0.0,0.0739966622888506
20,16,0.25,vt,0.0,0.06187833146746582
