sample_id,task,ri_fraction_a,ri_count_a,type_i_a,type_ii_a,entries_a,ri_fraction_b,ri_count_b,type_i_b,type_ii_b,entries_b
synthetic_vt_205,vt,0.0,0,0,0,350,0.08857142857142856,31,1,30,350
synthetic_vt_206,vt,0.0,0,0,0,337,0.0771513353115727,26,0,26,337
synthetic_vt_207,vt,0.0,0,0,0,362,0.11878453038674033,43,0,43,362
synthetic_vt_208,vt,0.0,0,0,0,368,0.12771739130434784,47,0,47,368
synthetic_vt_209,vt,0.0,0,0,0,353,0.0906515580736544,32,0,32,353
synthetic_vt_210,vt,0.0,0,0,0,363,0.12121212121212122,44,0,44,363
synthetic_vt_211,vt,0.0,0,0,0,334,0.07784431137724551,26,0,26,334
synthetic_vt_212,vt,0.0,0,0,0,335,0.08656716417910448,29,0,29,335
synthetic_vt_213,vt,0.0,0,0,0,366,0.1284153005464481,47,0,47,366
synthetic_vt_214,vt,0.0,0,0,0,363,0.12947658402203857,47,0,47,363
synthetic_vt_215,vt,0.0,0,0,0,339,0.08259587020648967,28,0,28,339
synthetic_vt_216,vt,0.0,0,0,0,335,0.09253731343283582,31,0,31,335
synthetic_vt_217,vt,0.0,0,0,0,350,0.09428571428571429,33,0,33,350
synthetic_vt_218,vt,0.0,0,0,0,344,0.0872093023255814,30,0,30,344
synthetic_vt_219,vt,0.0,0,0,0,364,0.11538461538461539,42,0,42,364
