method,method_family,causal,learned,rollout,counterfactual,future_horizon,future_recall,oracle_gap_recovery,recovery_ci_low,recovery_ci_high,spearman,pairwise_accuracy,ndcg,sequence_win_rate,closed_loop_kl,task_score,runtime_multiplier,peak_memory,test_split
ridge,classical_predictor,True,True,False,False,4,0.7138223755411256,-0.06554990754724506,-0.11141360488761659,-0.023976089775772678,0.794227711538006,0.8104023683416093,0.8005586079115655,0.2857142857142857,,,1.007011790946794,,validation
history_logistic,classical_predictor,True,True,False,False,4,0.7235547438672439,-0.100204586077539,-0.12415545102377437,-0.07590325486120357,0.8096149429435975,0.8195251422141142,0.7710524016543038,0.047619047619047616,,,1.009092172660515,,validation
temporal_gru_utility,temporal_predictor,True,True,False,False,4,0.6818080357142857,-0.13644348207780294,-0.1931909195185448,-0.08132597085526357,0.7888618428573109,0.8082685563879389,0.7791252456453412,0.14285714285714285,,,1.2075454141902633,,validation
CAUSAL_EXPENSIVE_ROLLOUT_R2_PREFIX_RECOMPUTE,rollout,True,False,True,False,8,0.9749673069985569,0.9597867308108979,0.930575210547947,0.9843333374715111,0.9934022853066816,0.9847419068798224,0.9909101595412333,1.0,,,52.25741888306005,7392910960.0,validation
CAUSAL_EXPENSIVE_ROLLOUT_R1_FULL_SHADOW,rollout,True,False,True,False,8,0.9759819173881674,0.9597826379242992,0.9301883749799645,0.9847487261796767,0.993587677073122,0.9854050986346375,0.9910452959020563,1.0,,,9.45627035652086,6369910200.0,validation
CAUSAL_EXPENSIVE_ROLLOUT_R1_FULL_SHADOW,rollout,True,False,True,False,16,0.9703530844155843,0.9578866771812858,0.9271804208315202,0.9836100208108164,0.9916217761075058,0.9812114550183036,0.9892015017694471,1.0,,,17.175314136077137,6369910200.0,validation
CAUSAL_EXPENSIVE_ROLLOUT_R2_PREFIX_RECOMPUTE,rollout,True,False,True,False,16,0.9676880411255411,0.9535461363645051,0.9226842800433362,0.9799696434183124,0.990700501439269,0.9792497625382742,0.9882476802885136,1.0,,,59.419375143491365,7392910960.0,validation
hist_gbdt,classical_predictor,True,True,False,False,16,0.7354347041847042,0.12258826791941078,0.0867255745653403,0.1585979262759036,0.8111626503497695,0.81812511955319,0.6992003162562036,0.8571428571428571,,,3.870713552185772,,validation
rollout_distilled_mlp,rollout_distillation,True,True,False,False,16,0.7267845869408369,0.08581233815570186,0.043579220208669535,0.12677729010623173,0.7973518600521404,0.8106159677706464,0.8052408248553384,0.7142857142857143,,,1.0166457217139035,,validation
temporal_gru,temporal_predictor,True,True,False,False,16,0.7256504779942278,0.06043878402500031,0.02354385974048506,0.09702864335362352,0.7977703677828587,0.811222807201897,0.7850129334007067,0.7142857142857143,,,1.2075373690079638,,validation
deepsets,set_predictor,True,True,False,False,16,0.7250868055555556,0.056438658586109296,0.029495724954967925,0.08201805023249631,0.8004104816172111,0.8137180670786597,0.8207475140908275,0.8095238095238095,,,1.0957631366500378,,validation
query_conditioned_mlp,tokenwise_neural,True,True,False,False,16,0.7230553300865801,0.03210914704075309,-0.010231896391107583,0.07428568788579328,0.7959643120850943,0.8099859950715078,0.7887214765549336,0.5238095238095238,,,1.0791648111878256,,validation
rollout_distilled_mlp_utility,rollout_distillation,True,True,False,False,16,0.7112272276334777,0.016024248795946723,-0.007003746865210859,0.03934211395364297,0.7602381287386094,0.7920458193342568,0.8139243998852034,0.5714285714285714,,,1.0166457217139035,,validation
best_per_head_fixed_ema,fixed,True,False,False,False,16,0.7181818181818181,0.0,0.0,0.0,0.7978464647091347,0.8132386216295446,0.8115564564659197,0.0,,,1.0,,validation
deepsets_utility,set_predictor,True,True,False,False,16,0.7114493145743146,-0.0011583589017721083,-0.027136910134253477,0.024128170267724378,0.785380923176722,0.8065611396032882,0.8094076499733346,0.5714285714285714,,,1.0957720467999723,,validation
feature_ridge_A_history_J_statekv,feature_ablation,True,True,False,False,16,0.7135382846320346,-0.048264562264268646,-0.06921942882368955,-0.026662738535511325,0.7879506686214517,0.8078737528112502,0.8126596625973862,0.19047619047619047,,,1.0559136743098694,,validation
feature_ridge_B_current_query,feature_ablation,True,True,False,False,16,0.7135326479076478,-0.04871881155465919,-0.06976776555017836,-0.027032903849162463,0.7877883315273932,0.8077838672027058,0.812660492918072,0.19047619047619047,,,1.013079282039287,,validation
query_conditioned_mlp_utility,tokenwise_neural,True,True,False,False,16,0.7052883748196248,-0.05064807681554787,-0.07829681293389028,-0.022092126705635186,0.7856775421628848,0.805779481354169,0.8052804203150081,0.19047619047619047,,,1.0791724825204851,,validation
feature_ridge_E_value_state,feature_ablation,True,True,False,False,16,0.7064269931457432,-0.05860171608163978,-0.07834848275774095,-0.03731682201342307,0.7802472533561794,0.8030576438937539,0.8122322883349501,0.09523809523809523,,,1.0085703733273248,,validation
