sample_id,task,stage,target_anchor,history_length,candidate_id,candidate_source,deleted_position,layer,boundary,theory_u_norm,actual_u_norm,injection_cosine,injection_relative_l2,injection_norm_ratio,local_r_norm,actual_r_norm,adjacent_cosine,adjacent_relative_l2,adjacent_norm_ratio,actual_boundary_norm,state_norm,action_state_ratio,deleted_attention_mass_mean,deleted_attention_mass_std,attention_entropy,attention_concentration,head_disagreement,deleted_key_norm,key_norm_mean,key_norm_variance,deleted_value_norm,value_norm_mean,value_norm_variance,deleted_token_age,selector_attention,selector_value_norm,selector_aov,selector_aor,selector_v_ridge,selector_key_query,selector_age,selector_random,single_boundary_theory_risk,candidate_probe_risk,single_boundary_fisher_risk,probe_fisher_risk
gov_report:120,gov_report,recovery_replication,64,32,physical_delete_attention_75,attention,75,0,1,0.0007989302680261628,0.0007615791831717855,0.9506701444213613,0.3254285519833882,1.0490442565654425,0.001007722480634141,0.0010140079870119081,0.9691577508252642,0.24767026414784002,0.9938013245869104,0.0010140079870119081,12.100681159428092,8.327816156439977e-05,2.5695015210658312e-05,7.239736441988498e-05,1.863630771636963,0.4830143451690674,7.239736441988498e-05,778.759765625,778.813232421875,1833.2598876953125,3.637357234954834,4.134317398071289,0.8407213687896729,907.0,-0.4080801777370699,-0.07590155952483896,-0.4135537685172103,-0.41667889769091926,-0.06254677679022999,1.1697553246899715,75.0,0.20550266780890747,1.047058608201044e-11,1.0815728914973515e-11,1.0471457278988443e-11,1.0817001701203424e-11
gov_report:120,gov_report,recovery_replication,64,32,physical_delete_attention_75,attention,75,1,2,0.012395433748308243,0.012385818496381972,0.999626157379515,0.02736545882871064,1.0007763113862098,0.012420566205222644,0.012526513557452025,0.9966761229069074,0.08162759146447066,0.9915421516335363,0.012526513557452025,15.400580702554812,0.0008064998616034127,0.0006438081036321819,0.0011141439899802208,3.1199862957000732,0.19732238352298737,0.0011141439899802208,90.93060302734375,90.92591857910156,3936.961669921875,3.748687744140625,4.032500267028809,0.7303835153579712,907.0,-0.4080801777370699,-0.07590155952483896,-0.4135537685172103,-0.41667889769091926,-0.06254677679022999,1.1697553246899715,75.0,0.20550266780890747,,,,
gov_report:120,gov_report,recovery_replication,64,32,physical_delete_attention_75,attention,75,2,3,0.01135436438433984,0.012066725298751618,0.9261567405674519,0.3774294266010346,0.9409648519565225,0.012203779653866579,0.019605779037498636,0.7635889760849275,0.6609460997171243,0.6224582879632194,0.019605779037498636,20.727600437019767,0.0005887695341748517,0.00024854872026480734,0.0004241901624482125,2.831428289413452,0.27813324332237244,0.0004241901624482125,26.125232696533203,26.326738357543945,55.82929229736328,6.034853935241699,5.862948894500732,1.5744545459747314,907.0,-0.4080801777370699,-0.07590155952483896,-0.4135537685172103,-0.41667889769091926,-0.06254677679022999,1.1697553246899715,75.0,0.20550266780890747,,,,
gov_report:120,gov_report,recovery_replication,64,32,physical_delete_attention_75,attention,75,3,4,0.0006406179867844086,0.008856916439551124,0.37424474304018596,0.9752402646798258,0.07232968620136103,0.0006324408828738388,0.01986580410045764,0.17074206110155798,0.9950588617089559,0.031835654860769995,0.01986580410045764,24.4354277086676,2.5882128621366542e-05,1.954620165633969e-05,2.6882431484409608e-05,1.8295468091964722,0.5415782332420349,2.6882431484409608e-05,22.195846557617188,20.559139251708984,8.269638061523438,5.854669570922852,6.254444599151611,1.1327126026153564,907.0,-0.4080801777370699,-0.07590155952483896,-0.4135537685172103,-0.41667889769091926,-0.06254677679022999,1.1697553246899715,75.0,0.20550266780890747,,,,
gov_report:120,gov_report,recovery_replication,64,32,physical_delete_attention_75,attention,75,4,5,0.000552710199219765,0.004901274812908703,0.048820110104054286,1.0008526435230118,0.11276866128054437,0.0006168126187034516,0.018513306403583233,-0.0037522254992061336,1.0006798026651926,0.03331725869259465,0.018513306403583233,25.568338903129987,2.4124078652131115e-05,1.8249349523102865e-05,1.7727930753608234e-05,1.6635528802871704,0.6146217584609985,1.7727930753608234e-05,18.187761306762695,17.5804443359375,4.53190279006958,7.0934367179870605,7.094724655151367,2.1784446239471436,907.0,-0.4080801777370699,-0.07590155952483896,-0.4135537685172103,-0.41667889769091926,-0.06254677679022999,1.1697553246899715,75.0,0.20550266780890747,2.853080990298887e-12,8.889449668001716e-09,2.853225745291358e-12,8.88952967850019e-09
gov_report:120,gov_report,recovery_replication,64,32,physical_delete_attention_75,attention,75,5,6,0.007969471391164329,0.012347002804412845,0.6578900353917019,0.7532166073122458,0.6454579720607193,0.007248577322634354,0.018697816428586415,0.3106997106425313,0.9536194590438456,0.3876697233775526,0.018697816428586415,31.341721716168212,0.00023127565831506443,6.364119326462969e-05,0.00016493888688273728,2.193351984024048,0.4521850645542145,0.00016493888688273728,17.156410217285156,16.91248893737793,4.004349708557129,7.2020721435546875,7.95513391494751,1.9399315118789673,907.0,-0.4080801777370699,-0.07590155952483896,-0.4135537685172103,-0.41667889769091926,-0.06254677679022999,1.1697553246899715,75.0,0.20550266780890747,,,,
gov_report:120,gov_report,recovery_replication,64,32,physical_delete_attention_75,attention,75,6,7,0.0001727647221028288,0.0056803845956230935,0.1079905807019572,0.9971740666731538,0.030414264948882018,0.00014990310793281522,0.015266525605590974,-0.07231201469055817,1.0007579566837768,0.009819071595302407,0.015266525605590974,34.83220326062943,4.30357812312865e-06,5.149528078618459e-06,5.528791916731279e-06,1.5293054580688477,0.6366005539894104,5.528791916731279e-06,20.188030242919922,19.169193267822266,5.342696189880371,6.568177223205566,6.645022869110107,1.2027143239974976,907.0,-0.4080801777370699,-0.07590155952483896,-0.4135537685172103,-0.41667889769091926,-0.06254677679022999,1.1697553246899715,75.0,0.20550266780890747,,,,
gov_report:120,gov_report,recovery_replication,64,32,physical_delete_attention_75,attention,75,7,8,0.0005262955483914929,0.003841503554954307,0.1995733447961039,0.9818786035180219,0.13700248896366124,0.0005269096709587525,0.013535346521029402,0.13519322543698903,0.9954846580051422,0.03892842123695253,0.013535346521029402,35.324122002042856,1.491642654071573e-05,8.407610039284918e-06,1.5791369150974788e-05,2.5962235927581787,0.3125782012939453,1.5791369150974788e-05,34.483543395996094,33.66717529296875,196.1557159423828,7.294125556945801,6.389440536499023,1.8044493198394775,907.0,-0.4080801777370699,-0.07590155952483896,-0.4135537685172103,-0.41667889769091926,-0.06254677679022999,1.1697553246899715,75.0,0.20550266780890747,4.298339216329795e-11,6.837492235740845e-09,4.2985005697957375e-11,6.837662015796238e-09
gov_report:120,gov_report,recovery_replication,64,32,physical_delete_attention_75,attention,75,8,9,0.00011014151722075627,0.0029529978645783956,0.12121350187902939,0.9961671868488867,0.03729820415446909,9.342543481956366e-05,0.012774856304262483,0.015505219200730173,0.9999133446953972,0.007313227843384129,0.012774856304262483,34.33316758144954,2.721142306427972e-06,4.219282800477231e-06,3.932560957764508e-06,2.014721632003784,0.4602701961994171,3.932560957764508e-06,20.658531188964844,19.270511627197266,5.786472797393799,7.407442092895508,7.621630668640137,1.697088599205017,907.0,-0.4080801777370699,-0.07590155952483896,-0.4135537685172103,-0.41667889769091926,-0.06254677679022999,1.1697553246899715,75.0,0.20550266780890747,,,,
gov_report:120,gov_report,recovery_replication,64,32,physical_delete_attention_75,attention,75,9,10,0.0003728962989236605,0.004520066265829904,0.07258890221308029,0.997411169445072,0.08249797170953535,0.000384520881651306,0.012593411139499217,0.07079175374480726,0.9983031878318753,0.03053349703205169,0.012593411139499217,35.14242975045588,1.0941784173199288e-05,4.961803824699018e-06,1.1165117030031979e-05,2.327631711959839,0.3924480974674225,1.1165117030031979e-05,20.30127716064453,18.803680419921875,4.62994384765625,7.985752582550049,7.321878910064697,1.1930828094482422,907.0,-0.4080801777370699,-0.07590155952483896,-0.4135537685172103,-0.41667889769091926,-0.06254677679022999,1.1697553246899715,75.0,0.20550266780890747,,,,
