sample_id,task,stage,history_id,tau_anchor,target_anchor,horizon,layer,boundary,candidate_id,candidate_source,current_mask_hash,tau_mask_hash,mask_changed,controlled_exact_kl,action_only_risk,action_u_norm,action_r_norm,candidate_retained_attention_mass,adjacent_method,risk_all_old,risk_update_g,risk_update_f,risk_update_path,risk_update_gf,risk_update_gp,risk_update_fp,risk_full_fresh,risk_path_q1_only,risk_path_q3_only,risk_single_midpoint
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,32,0,0,1,selector_00_attention_only,attention_only,cf834f5b118810e150d99157131ff78e77b2203e19a495ae75dc01cdb6740ddd,cf834f5b118810e150d99157131ff78e77b2203e19a495ae75dc01cdb6740ddd,False,0.0002544910111011672,0.0002576116918821365,0.849399247145499,1.7016552791542552,0.9866894577223713,mx.vjp_of_vjp,2.4664169747229327e-05,2.4664169747229327e-05,2.4664169747229327e-05,2.4664169747229327e-05,2.4664169747229327e-05,2.4664169747229327e-05,2.4664169747229327e-05,2.4664169747229327e-05,2.4664169747229327e-05,2.4664169747229327e-05,2.654668238402121e-05
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,32,0,0,1,selector_01_aov,aov,3c64bcb61e10adbe04b2a2860505b45f30d58d7379db55934ff311a4b49020c9,3c64bcb61e10adbe04b2a2860505b45f30d58d7379db55934ff311a4b49020c9,False,0.0003111704912316486,0.00034355424194155765,1.099697160060128,1.974085747176319,0.9788191127042032,mx.vjp_of_vjp,7.959917343916849e-05,7.959917343916849e-05,7.959917343916849e-05,7.959917343916849e-05,7.959917343916849e-05,7.959917343916849e-05,7.959917343916849e-05,7.959917343916849e-05,7.959917343916849e-05,7.959917343916849e-05,8.085748514779606e-05
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,32,0,0,1,selector_02_aor,aor,58191b9621395985364e4bb0ddf7e9cd74f3947218174bbb1d058bbc448ef89a,58191b9621395985364e4bb0ddf7e9cd74f3947218174bbb1d058bbc448ef89a,False,0.00030618384024538436,0.0003374616694708761,1.1011873329391482,1.9789369605592435,0.9788863692442087,mx.vjp_of_vjp,7.490737207420855e-05,7.490737207420855e-05,7.490737207420855e-05,7.490737207420855e-05,7.490737207420855e-05,7.490737207420855e-05,7.490737207420855e-05,7.490737207420855e-05,7.490737207420855e-05,7.490737207420855e-05,7.721054520289208e-05
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,32,0,0,1,selector_03_v_ridge,v_ridge,21288fd7b13aa801115263f2e89cb998e90ed0f27d9bdfa9ac308cb154f3dd62,21288fd7b13aa801115263f2e89cb998e90ed0f27d9bdfa9ac308cb154f3dd62,False,0.0007294107228878891,0.0004974449080109956,1.1566105264358373,2.1694117337691634,0.9687188428906197,mx.vjp_of_vjp,0.0005002717504943694,0.0005002717504943694,0.0005002717504943694,0.0005002717504943694,0.0005002717504943694,0.0005002717504943694,0.0005002717504943694,0.0005002717504943694,0.0005002717504943694,0.0005002717504943694,0.0005031143958291274
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,32,0,0,1,selector_04_snapkv,snapkv,af3263994a5cfb5a49b02944c3eb2f2fe233bf9ae0ad25fb3e39f24822a78d2a,af3263994a5cfb5a49b02944c3eb2f2fe233bf9ae0ad25fb3e39f24822a78d2a,False,0.00023227230670627708,0.00010018619181206609,0.9715356742324689,1.6881484253010504,0.982970792386592,mx.vjp_of_vjp,3.9216586151151825e-06,3.9216586151151825e-06,3.9216586151151825e-06,3.9216586151151825e-06,3.9216586151151825e-06,3.9216586151151825e-06,3.9216586151151825e-06,3.9216586151151825e-06,3.9216586151151825e-06,3.9216586151151825e-06,4.215028089103132e-06
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,32,0,0,1,selector_05_old_stale_core,old_stale_core,6cec441bdedfa93f8883e03e828795367d6c0876dd718d6e1592bd61f184893f,6cec441bdedfa93f8883e03e828795367d6c0876dd718d6e1592bd61f184893f,False,0.0005403069424925779,0.0002891866745808825,1.2479661432234894,2.328172155297144,1.0,mx.vjp_of_vjp,0.00030994038026974183,0.00030994038026974183,0.00030994038026974183,0.00030994038026974183,0.00030994038026974183,0.00030994038026974183,0.00030994038026974183,0.00030994038026974183,0.00030994038026974183,0.00030994038026974183,0.00030231006919288035
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,32,0,0,1,selector_06_fresh_core,fresh_core,50a7bef7cee6082e5c6aeeb97078eda6f0c94e33d7e0cb448bf48bc1b2900ba7,50a7bef7cee6082e5c6aeeb97078eda6f0c94e33d7e0cb448bf48bc1b2900ba7,False,0.0002388943792094103,3.0275630358535895e-05,0.5975109013323374,1.1181295997446632,0.9668187755081568,mx.vjp_of_vjp,1.1126527034768663e-05,1.1126527034768663e-05,1.1126527034768663e-05,1.1126527034768663e-05,1.1126527034768663e-05,1.1126527034768663e-05,1.1126527034768663e-05,1.1126527034768663e-05,1.1126527034768663e-05,1.1126527034768663e-05,1.0974388162292416e-05
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,32,0,0,1,selector_07_random_reference,random_reference,12d0a25ae890c4afef8d888b1f7652b7c30158b2d09427388a87b8b9d84bfef7,12d0a25ae890c4afef8d888b1f7652b7c30158b2d09427388a87b8b9d84bfef7,False,0.0002705548490156062,5.698911884547627e-05,1.0220278178361926,1.67357564697039,0.9723996794270438,mx.vjp_of_vjp,4.1915026500139507e-05,4.1915026500139507e-05,4.1915026500139507e-05,4.1915026500139507e-05,4.1915026500139507e-05,4.1915026500139507e-05,4.1915026500139507e-05,4.1915026500139507e-05,4.1915026500139507e-05,4.1915026500139507e-05,4.078152797460834e-05
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,33,1,0,1,selector_00_attention_only,attention_only,d6f1da10c70c0cc87f4ae5e65344c0cf8252ac2b1d46f44293a31839d65d4fc9,cf834f5b118810e150d99157131ff78e77b2203e19a495ae75dc01cdb6740ddd,True,5.360820434956474e-05,2.447799354296134e-05,1.139092152966828,2.1081843432517973,0.9903984170199418,mx.vjp_of_vjp,0.0002264355811114093,0.00010088708766328811,0.00014347380580069803,1.9002963233484022e-06,1.7925312352576853e-05,3.8834083590439435e-05,4.02295222433317e-06,4.09567394914242e-05,8.894744244587016e-05,8.319250491547607e-05,2.0229350928031757e-06
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,33,1,0,1,selector_01_aov,aov,93257339e1ffaa35ff4b757d5f6584660b918d8d2cbbb02851a73181a76a0181,3c64bcb61e10adbe04b2a2860505b45f30d58d7379db55934ff311a4b49020c9,True,5.84089326719113e-05,2.8430483120369418e-05,1.2203809454241907,2.15941928667959,0.9881309411106856,mx.vjp_of_vjp,0.00021318643130748663,6.770942053587294e-05,0.00016300903630213581,-1.711231301174691e-05,1.7532025530522115e-05,4.465856563097354e-05,-1.6044494861488475e-05,4.5726383781231975e-05,8.31738230375522e-05,7.005990703232082e-05,-1.7004025679062055e-05
