sample_id,task,stage,history_id,tau_anchor,target_anchor,horizon,layer,exact_top_index,fresh_top_index,reused_top_index,top1_stale,exact_optimum_stale,harmful_stale,reuse_normalized_regret,fresh_normalized_regret,refresh_benefit,fresh_reused_spearman,fresh_exact_spearman,reused_exact_spearman,fresh_pairwise_accuracy,reused_pairwise_accuracy,pairwise_degradation,fresh_margin,reused_margin,retained_overlap,core_turnover,token_age_mean,token_age_std,recent_window_exits,retained_attention_mass,cache_occupancy,selector_score_drift,selected_core_score_margin,compressed_residual_norm_drift,compressed_sketch_l2,query_norm_drift,key_query_alignment_mean,key_query_alignment_std,attention_entropy,attention_concentration,sink_attention_mass,recent_attention_mass,core_attention_mass,layer_attention_summary_drift,action_norm_median,action_norm_spread,action_to_compressed_state_ratio,action_only_margin,cheap_rank_disagreement,top_reused_one_midpoint_shift,harmful_stale_eps_0p01,harmful_stale_eps_0p02,harmful_stale_eps_0p05,harmful_stale_eps_0p1
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,32,0,0,4,4,4,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,7.20486841965348e-06,7.20486841965348e-06,1.0,0.0,672.5,380.10557743869003,0.0,1.0,1.0,0.0,0.3064160612848768,0.0,0.0,0.0,0.35298103361898076,0.3001541447320152,2.7001551145450193,0.3820569786582592,0.0026721045937640195,0.9641466709143929,0.033181224491843166,0.0,1.837870513165287,1.2100425555524807,0.15337330362188203,2.6713488486940378e-05,1.3852926112532817,0.07480749927013552,False,False,False,False
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,33,1,0,6,6,6,False,False,False,0.0,0.0,0.0,0.28571428571428575,1.0,0.28571428571428575,1.0,0.6071428571428571,0.3928571428571429,5.309948623687621e-06,3.3254695539453564e-05,0.9844961240310077,0.0,673.25,380.53769524187743,0.03125,0.5571706074469962,1.0,0.9467687043005,0.2927771488512987,0.6866100289782736,23.32636954444958,0.6904476497707991,0.16410701745391307,0.29889847460964497,2.400628510334541,0.44282939255300374,0.0023402280421536753,0.9799219914341046,0.01773778052374154,0.9467687043005,2.017336461498818,1.0176483213132173,0.09981562303813765,1.415844072481212e-06,1.5223011878675143,0.968891192403565,False,False,False,False
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,34,2,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.791999394931641e-06,3.057928672259188e-05,0.9692307692307692,0.0,674.0,380.9698150772578,0.0625,0.36036987467141873,1.0,1.4122734457541837,0.3432648858675216,0.5128308911869949,16.779859617830546,0.7549149304605306,0.10204487145386597,0.3448879949955765,2.1141223941805003,0.4914475055980514,0.0007070473278277265,0.9951330496977652,0.004159902974407051,1.4122734457541837,1.1554498572800906,0.5677533453549212,0.06373758168602202,6.453677808381626e-07,1.2803649568611168,1.0232487389064386,False,False,False,False
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,36,4,0,6,6,6,False,False,False,0.0,0.0,0.0,-0.1666666666666667,1.0,-0.1666666666666667,1.0,0.39285714285714285,0.6071428571428572,1.2694418870522595e-06,6.12460265353273e-05,0.9393939393939394,0.0,675.5,381.8340608169994,0.125,0.24701768400164875,1.0,1.5274235964506768,0.3728209124438134,0.45093882639059335,18.077345600948995,0.751358670078969,0.09484625914685595,0.32874876117423446,2.067762957832276,0.5205831799397337,0.0011855325713142784,0.9828462953658507,0.015968172062835007,1.5274235964506768,1.6591703145959062,0.9817084291614977,0.09542819926806256,1.9787671357894274e-07,1.940257729225318,1.59744035892067,False,False,False,False
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,40,8,0,6,6,2,True,True,True,0.6549518099183554,0.0,0.6549518099183554,-0.261904761904762,1.0,-0.261904761904762,1.0,0.39285714285714285,0.6071428571428572,2.3311673932531394e-05,7.244821579352836e-07,0.8823529411764706,0.0,678.5,383.5625763809603,0.25,0.2595531796917696,1.0,1.48530127393284,0.1771467502073895,0.4422485033223862,16.42270916739878,0.36904995219103415,0.23138399721620195,0.3362475658706593,2.5595288530352684,0.3448363252638902,0.0008412728300207532,0.9877361836228074,0.011422543547171921,1.48530127393284,1.391712542335339,0.8215561283763099,0.0805275166914916,6.820916513555444e-06,1.9364072178579987,1.3085224948701817,True,True,True,True
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,48,16,0,6,6,3,True,True,True,0.9439074945927141,0.0,0.9439074945927141,-0.6190476190476191,1.0,-0.6190476190476191,1.0,0.2857142857142857,0.7142857142857143,0.0001299928170315284,7.252967836542481e-06,0.7777777777777778,0.0,684.5,387.01970234084985,0.5,0.08258687756729284,1.0,1.8352541917863396,0.33272421877581504,0.6421026131599158,18.486531159419204,0.7409442662017851,0.2720198863923302,0.19633611299717252,2.141403626230515,0.4742680582929603,0.0004869187937501452,0.9927967524030005,0.006716328803249346,1.8352541917863396,1.4978354464421946,1.5228823262596218,0.0761199815007987,5.9967420040878236e-05,2.084406208616665,0.9644864930715887,True,True,True,True
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,64,32,0,7,7,5,True,True,True,0.9716629261631701,0.0,0.9716629261631701,-0.2380952380952381,1.0,-0.2380952380952381,1.0,0.42857142857142855,0.5714285714285714,5.7893359731031905e-05,1.3665513426134655e-05,0.6,0.0,696.5,393.93432193704575,1.0,0.022435011089848328,1.0,1.9725409929403144,0.37671631249340665,0.6250489998496584,16.04743645631501,0.75635180469573,0.2259659308607508,0.24477013356272442,2.2253697090086897,0.49872551634031137,0.0017023045658577604,0.9775649889101519,0.020732706523990573,1.9725409929403144,2.015225912410717,0.8490716629906834,0.10348851148686397,2.322913516733936e-05,2.0584972781343933,4.0286823891988774,True,True,True,True
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,32,0,14,1,1,1,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.349683022406229e-05,3.349683022406229e-05,1.0,0.0,672.5,380.10557743869003,0.0,1.0,1.0,0.0,0.3354604805727193,0.0,0.0,0.0,-0.013140516108557737,0.08204310402121136,2.7039316084996803,0.4175385657497049,0.41773976697470244,0.31361737038974746,0.26864286263555004,0.0,4.047885685020823,5.906078165503441,0.085658236615874,0.00041081680917717225,0.8156419995567519,7.213013637650072e-05,False,False,False,False
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,33,1,14,5,5,5,False,False,False,0.0,0.0,0.0,0.8333333333333335,1.0,0.8333333333333335,1.0,0.8214285714285714,0.1785714285714286,3.4159682716311865e-05,0.0042646646469803925,0.9844961240310077,0.0,673.25,380.53769524187743,0.03125,0.9460442591438518,1.0,0.6623589306914207,0.3132222219103153,0.07101430666363444,51.02933683896857,0.010826467653175914,-0.036961423075416944,0.061243503097226704,2.8708816440477642,0.3725628082714749,0.3726040089764558,0.34853680875058923,0.278859182272955,0.6623589306914207,2.5886774002123047,6.7156921506210505,0.05114739864839617,1.4578114592749435e-07,0.9334931297545099,1.0432193233569873,False,False,False,False
gov_report:100,gov_report,calibration,fixed_tau_old_core,32,34,2,14,0,0,4,True,True,True,0.9172878790165875,0.0,0.9172878790165875,-0.7142857142857144,1.0,-0.7142857142857144,1.0,0.25,0.75,0.00017973951419786747,0.016580607180898127,0.9692307692307692,0.0,674.0,380.9698150772578,0.0625,0.9178927096220639,1.0,0.738397007398867,0.2429721519633568,0.12135946594212835,49.24833236211599,0.040843742271997996,-0.05439144760297482,0.09098563537104931,2.9600803402045317,0.34998989207355463,0.3500519381186728,0.377977401608746,0.2719706602725811,0.738397007398867,5.136184028674798,5.381718895480573,0.0969251792732609,1.3515141193030109e-05,1.9414738709914299,0.8284770635405229,True,True,True,True
