sample_id,task,stage,target_anchor,history_start_anchor,history_length,candidate_id,candidate_source,deleted_position,candidate_raw_rank,candidate_deduplicated,exact_physical_kl,action_only_risk,adjacent_only_risk,dense_actual_boundary_energy,eligible_count,cache_length_prequery,cache_length_baseline,cache_length_candidate,candidate_replay_max_abs_error,multi_all_endpoint_risk,multi_uniform8_endpoint_risk,multi_inherited3_endpoint_risk,multi_pair_endpoint_risk,multi_three_endpoint_risk,probe_b27_path_k1_risk,probe_b27_path_k2_risk,probe_b27_path_k4_risk,probe_b27_path_k8_risk,theory_b1_risk,probe_b1_risk,b1_theory_u_norm,b1_local_r_norm,b1_actual_boundary_norm,b1_deleted_attention_mass_mean,b1_deleted_value_norm,b1_deleted_key_norm,b1_action_state_ratio,theory_b5_risk,probe_b5_risk,b5_theory_u_norm,b5_local_r_norm,b5_actual_boundary_norm,b5_deleted_attention_mass_mean,b5_deleted_value_norm,b5_deleted_key_norm,b5_action_state_ratio,theory_b8_risk,probe_b8_risk,b8_theory_u_norm,b8_local_r_norm,b8_actual_boundary_norm,b8_deleted_attention_mass_mean,b8_deleted_value_norm,b8_deleted_key_norm,b8_action_state_ratio,theory_b11_risk,probe_b11_risk,b11_theory_u_norm,b11_local_r_norm,b11_actual_boundary_norm,b11_deleted_attention_mass_mean,b11_deleted_value_norm,b11_deleted_key_norm,b11_action_state_ratio,theory_b15_risk,probe_b15_risk,b15_theory_u_norm,b15_local_r_norm,b15_actual_boundary_norm,b15_deleted_attention_mass_mean,b15_deleted_value_norm,b15_deleted_key_norm,b15_action_state_ratio,theory_b19_risk,probe_b19_risk,b19_theory_u_norm,b19_local_r_norm,b19_actual_boundary_norm,b19_deleted_attention_mass_mean,b19_deleted_value_norm,b19_deleted_key_norm,b19_action_state_ratio,theory_b23_risk,probe_b23_risk,b23_theory_u_norm,b23_local_r_norm,b23_actual_boundary_norm,b23_deleted_attention_mass_mean,b23_deleted_value_norm,b23_deleted_key_norm,b23_action_state_ratio,theory_b27_risk,probe_b27_risk,b27_theory_u_norm,b27_local_r_norm,b27_actual_boundary_norm,b27_deleted_attention_mass_mean,b27_deleted_value_norm,b27_deleted_key_norm,b27_action_state_ratio
gov_report:112,gov_report,calibration,40,32,8,physical_delete_attention_22,attention,22,0,False,1.0982124744610079e-08,0.0016477291311181863,0.001026049151652315,0.005680278286493351,93,128,129,128,0.0,1.1037761055252438e-08,5.699842771961119e-09,3.28788534439939e-10,8.205209141983292e-11,6.570310022602384e-11,9.26594413448446e-09,9.269396652971355e-09,9.268443751273377e-09,9.268119468785444e-09,1.4049721149751233e-12,1.7510657118091908e-12,0.0004119830860707911,0.000677784803372061,0.0006778513027941265,1.563660043757409e-05,4.2228803634643555,778.3533935546875,3.743321813019077e-05,1.1025144958860064e-12,6.700723131333785e-10,0.0005865434927104033,0.0005233998230553795,0.005476167202973356,1.9524382878444158e-05,6.882534503936768,18.55060577392578,1.5072632965359794e-05,1.178000675591797e-11,6.341687014053515e-09,0.001946042377444928,0.0018830492941763245,0.007422710215749024,5.7698984164744616e-05,6.982377052307129,34.85817337036133,4.6176313552563105e-05,1.3739964413683365e-11,2.978869690551357e-09,0.0004988020820175762,0.0005222418316924445,0.010141099339042727,1.0034399565483909e-05,8.699039459228516,20.047637939453125,1.1869573751813163e-05,3.338276537555029e-12,2.9365232808405882e-09,0.00012510700230570275,0.00011373458638481808,0.007187730878039941,2.5649248982517747e-06,10.90955638885498,19.68105697631836,2.1930994549565913e-06,4.981466129778424e-09,4.475003136296683e-09,0.0024578787253205212,0.0023105501753405617,0.007567404330459727,2.5682356863399036e-05,10.571054458618164,23.656131744384766,3.4023544014094226e-05,6.729437600057652e-11,4.583025045988456e-09,0.001809037283712526,0.0016877706781579212,0.01564154326739933,2.6907388019026257e-05,12.627809524536133,20.460262298583984,1.4381120169824346e-05,3.6155357372400914e-10,9.206650853082495e-09,0.00845922981280881,0.008848122308711613,0.028879118050228313,5.267388769425452e-05,26.07683753967285,16.38519859313965,3.2993901712186866e-05
gov_report:112,gov_report,calibration,40,32,8,physical_delete_value_norm_70,value_norm,70,0,False,8.481351674586928e-06,0.8674188912822598,0.7627632427220364,2.9614620301315426,93,128,129,128,,8.36374942309254e-06,2.6385677491894154e-06,1.160619540971377e-06,9.717282414082451e-08,7.017553064296296e-08,4.129415693716659e-06,4.129502715769146e-06,4.129584812857172e-06,4.12933671208195e-06,4.153973032622316e-13,4.526995883324398e-13,0.0001407088321889136,0.00018981435018866456,0.0001919757104695867,2.1992884285282344e-05,3.1908457279205322,779.73486328125,1.0483212281394724e-05,2.7198922152951743e-09,3.741271218822822e-07,0.015515542683049702,0.013986518779174032,0.12219002992238286,0.0005274819559417665,5.2519731521606445,15.672693252563477,0.0004027774843158415,2.263451540759009e-08,6.87414518851185e-07,0.03461363097381992,0.03427634846891684,0.09761513606654268,0.0011255653807893395,4.901154518127441,33.07563781738281,0.0008405278710613588,1.5472476085717389e-06,2.2482408969357097e-06,0.13307957162468023,0.13078175076116183,0.21316555829211176,0.0035781932529062033,6.7629923820495605,15.600549697875977,0.002972423007594387,5.805877339636544e-08,6.4268164929007926e-06,0.048478096143477804,0.04595787419334273,0.1993743648209513,0.0005793286836706102,8.46829605102539,17.568740844726562,0.0008861876764853436,9.04091054837095e-07,6.210363627510111e-06,0.10375355243171873,0.09412897956956695,0.2678641248761567,0.0030446732416749,8.188600540161133,20.59409523010254,0.001386077443185103,4.0471030551282945e-08,4.4808951262586085e-06,0.04867247474905304,0.047255849140319134,0.33471227929511316,0.0016119657084345818,6.365808963775635,16.85704803466797,0.0004026566251024963,1.3462040636808806e-06,4.129924720442323e-06,0.4740699141339939,0.4145192292874654,0.7058030691546496,0.011095062829554081,10.844120025634766,14.992855072021484,0.0015457072395412617
gov_report:112,gov_report,calibration,40,32,8,physical_delete_aov_85,aov,85,1,True,1.350070600218101e-06,0.010763509469215952,0.012567017142042246,0.42793168061626174,93,128,129,128,,1.3497953820914785e-06,2.7193256491631925e-09,5.952048473196797e-10,1.6136632161740567e-10,1.2813767946495553e-10,1.3531436679103714e-06,1.353155403560963e-06,1.3532113448679696e-06,1.3531940936992415e-06,1.907752777856289e-12,1.6254818082406522e-12,0.00046272286212727614,0.000627237583281052,0.0006213892987458597,4.214107684674673e-05,2.9391822814941406,779.7255859375,3.464155755278058e-05,6.690665805399365e-13,7.4142777929331e-09,0.0005663704904141611,0.0005234823915424242,0.021671876730029932,1.1253540833422448e-05,9.42928695678711,20.48117446899414,1.5075010735555557e-05,3.644479120041026e-12,4.0675772213561656e-08,0.0006515235639360532,0.0006589265421035769,0.047142298448589436,1.36173230202985e-05,6.837324619293213,34.756065368652344,1.615825921837596e-05,1.259991920627954e-10,3.957289698575529e-08,0.004348551562170688,0.003634649011401828,0.04057783843431153,5.198841608944349e-05,8.797935485839844,21.492294311523438,8.26087300647252e-05,5.284358804377623e-13,3.96105575972085e-08,0.00015240446818083703,0.0001265324015987472,0.03255001549905044,2.0598115497705294e-06,9.978668212890625,21.54694366455078,2.4398747100697507e-06,1.240227231467429e-09,1.3748951318554427e-06,0.003340896836019334,0.0031251027046776034,0.11152850779238138,3.0473718652501702e-05,10.759355545043945,24.81006622314453,4.6018074204119526e-05,1.4382279543058242e-10,1.3822140814662804e-06,0.0023439240189096914,0.0022813732398074436,0.15533422558440083,3.66525309800636e-05,10.375057220458984,20.895183563232422,1.9439076136635253e-05,6.089685515359402e-10,1.3533445855628683e-06,0.010334078083141674,0.010623483783156331,0.2723655864323171,0.00019058391626458615,15.944149017333984,17.42228889465332,3.961407489104989e-05
gov_report:112,gov_report,calibration,40,32,8,physical_delete_aor_14,aor,14,2,True,8.702168606116454e-08,0.0009953155096451838,0.0010922284886709392,0.01194135517929737,93,128,129,128,,8.712120834868391e-08,1.4498244517777278e-09,1.7724992790746e-11,1.462856334818411e-10,9.130588378519587e-11,8.509367972915887e-08,8.507387929853596e-08,8.507849042280321e-08,8.508003070699301e-08,8.832957715559392e-12,7.842728504018848e-12,0.0006600479802796282,0.0008409751468452176,0.0008317938991080825,8.596799307269976e-05,3.5669851303100586,778.8583984375,4.644601938153148e-05,1.6682226552571144e-11,1.676827370551237e-08,0.0014527510187078189,0.0014543644045850737,0.027312081926319853,3.932940308004618e-05,7.128814697265625,19.36896324157715,4.188213274553484e-05,5.816223963479747e-12,1.1070917926699834e-08,0.0007409880780534789,0.0007148334371420757,0.01936462083169268,2.887994924094528e-05,5.726841449737549,33.79312515258789,1.7529213405837727e-05,1.106672406219994e-11,9.8815998704504e-09,0.00041160964433872605,0.0003628529651238998,0.016311505768631978,7.119580459402641e-06,7.44852352142334,20.68832015991211,8.246964852747793e-06,3.1746739888535318e-12,1.0962841216073627e-08,0.000216578949470309,0.0001762807266421602,0.01333176369832841,7.049035502859624e-06,10.04827880859375,20.109291076660156,3.399152164762073e-06,7.054681212830303e-10,8.556952075097692e-08,0.002669936955184627,0.0023703267150146016,0.015223995602706843,2.268790740345139e-05,10.39979362487793,24.24416732788086,3.490377148126454e-05,1.2025734619878635e-10,8.762713471818079e-08,0.000871256424624529,0.0008521284955285738,0.01883818791904034,9.847039109445177e-06,11.399269104003906,22.081058502197266,7.260798195465162e-06,1.9047523703431498e-11,8.492962603012084e-08,0.0018897675294396584,0.0016653720730260503,0.028451616785768376,1.542877907922957e-05,25.282854080200195,18.130268096923828,6.210031979049723e-06
gov_report:112,gov_report,calibration,40,32,8,physical_delete_v_ridge_89,v_ridge,89,0,False,5.706745444827616e-07,0.010561312238454423,0.009542830369293936,0.10961307637298442,93,128,129,128,,5.664880871748311e-07,4.998638741785343e-08,5.298786814859477e-09,7.470376666567113e-09,7.790669451994658e-09,5.55420051411989e-07,5.554444776699989e-07,5.554016693962173e-07,5.554242636701863e-07,3.544829195033715e-13,4.756623622376652e-13,0.00019250947378273228,0.0002422983526689853,0.00023905756831995708,2.757672882580664e-05,3.3373770713806152,780.2392578125,1.3381838959681069e-05,4.872030809785648e-10,5.351266469288458e-09,0.018301424656759935,0.01940666320026315,0.031184241625968348,0.0003587027022149414,6.398446559906006,16.749122619628906,0.0005588643683377239,3.459379588375955e-10,2.3916392680193774e-08,0.004767722982942289,0.004668007401900792,0.029953740501494942,0.00016597243666183203,5.006879806518555,32.83576583862305,0.0001144693206505473,2.1111896313184136e-10,5.386270241469467e-08,0.0032578838539047967,0.0028786234426548337,0.02589336455501647,5.980902278679423e-05,8.085917472839355,19.823776245117188,6.542569205067412e-05,3.102649058362895e-10,1.237667753045768e-07,0.001782326461701604,0.0015273272527567751,0.025585886177848956,2.286420203745365e-05,9.478181838989258,20.255882263183594,2.94508528322951e-05,3.6582147193445735e-08,4.0750663388588607e-07,0.025673369312601967,0.024047509360404173,0.04377254586373035,0.0004087118140887469,9.438484191894531,22.77120590209961,0.0003541067845594217,5.665162941046243e-09,5.638697831345681e-07,0.018445427643692825,0.017729574648095492,0.07215277768740756,0.0005403241375461221,7.400117874145508,18.807971954345703,0.00015106977913161454,4.8569432163202836e-09,5.558664640111634e-07,0.031234222817727676,0.03131591380208388,0.13714747348476194,0.000770466576796025,12.480255126953125,18.334453582763672,0.00011677440093656687
gov_report:112,gov_report,calibration,40,32,8,physical_delete_key_query_45,key_query,45,0,False,1.2210163082431477e-06,0.09724052764753499,0.08424913974022732,0.39201220165013106,93,128,129,128,,1.2126874445187374e-06,2.9651118435512487e-07,1.2434430498931882e-07,9.455785217252612e-09,2.933338947569685e-08,7.555052420104625e-07,7.555759196507979e-07,7.556689991892324e-07,7.555919818290509e-07,3.3509778229100683e-12,3.169393619024029e-12,0.00019903093057258445,0.0003916813977170292,0.000398496735340484,8.439179509878159e-06,3.7401537895202637,778.9662475585938,2.1632080160745513e-05,1.72052758992197e-11,1.1867930133108867e-08,0.002419862414155088,0.002123549473662707,0.028314217575540795,0.0001040298884618096,4.659677505493164,18.0414981842041,6.11530237313709e-05,2.773374643435424e-10,1.2295146569428744e-08,0.007869861929281236,0.00718465349287364,0.023131376655451542,0.00031135717290453613,5.468660354614258,32.6749153137207,0.00017618275500247505,8.289274965289336e-08,1.3277945599214614e-07,0.032933141704214755,0.030299572676850572,0.045380542702158966,0.0006981285405345261,5.997876167297363,17.40687370300293,0.0006886522501860779,3.820423330328556e-08,1.505098692807514e-07,0.03669763005871193,0.029187408444377064,0.04299989002396102,0.0007929356652311981,8.608176231384277,18.048320770263672,0.0005628093580468085,7.605179739049781e-08,6.18516088619946e-07,0.027901178113305305,0.026862198407203813,0.098379997487225,0.0008475918439216912,8.014676094055176,20.45574951171875,0.00039555392459205964,9.363167003071526e-09,7.221906257130067e-07,0.03520675546491471,0.03400400020688133,0.13574035316840632,0.0007465553935617208,12.906391143798828,17.97788429260254,0.0002897405551349057,7.438362790475907e-08,7.551401818138993e-07,0.18371815496478108,0.14492340038921891,0.250214072466771,0.000517248350661248,44.050025939941406,14.221116065979004,0.0005404071351421052
gov_report:112,gov_report,calibration,40,32,8,physical_delete_age_4,age,4,0,False,1.860003997155267e-06,0.017137738844336798,0.01740338944350627,0.20026645346172717,93,128,129,128,,1.8585567542737415e-06,4.903023887117982e-08,5.448433211186297e-10,7.357125028641077e-09,7.269719841721916e-09,1.8524089924073193e-06,1.852387982230648e-06,1.8522897510862921e-06,1.8523190124397236e-06,1.590506779248486e-11,1.3835719449244522e-11,0.0008523672376266554,0.0010866330012153434,0.001077730910224724,0.00011073286441387609,3.5669851303100586,778.8583984375,6.0013399473680964e-05,2.1541222220206496e-11,2.835614026892397e-07,0.002892430939472004,0.0028575361106824245,0.09873153581446999,8.279343455797061e-05,7.620412826538086,18.461536407470703,8.229004115849832e-05,1.2651400860463284e-10,2.007223538002883e-07,0.002659101799899425,0.0024844632215059335,0.07622148444424376,8.137499389704317e-05,6.296531677246094,33.97175979614258,6.092424297169068e-05,1.0989261182457131e-08,2.2926317490526318e-07,0.018456854472730842,0.02197908958571544,0.062394735145040035,0.00017649323854129761,8.479736328125,18.977916717529297,0.0004995433322334764,4.9157980936061116e-11,2.595552690641664e-07,0.0009190222083083102,0.0007068690471164515,0.05254610403086282,1.716576844046358e-05,9.230497360229492,19.743364334106445,1.3630278802892878e-05,5.596452579510129e-09,1.7691425272796813e-06,0.004304894029656249,0.004154907459142976,0.06707920883382752,3.9905044104671106e-05,10.128425598144531,23.026649475097656,6.118225793984461e-05,7.94380495966338e-09,1.878337253005658e-06,0.006370287218669183,0.006183113731658859,0.08215687077674506,6.596544699277729e-05,11.252368927001953,19.28680992126465,5.268494277654291e-05,5.649508600282949e-10,1.851194780521227e-06,0.015719999154670178,0.011996361094880262,0.12552510897338037,0.00010581215610727668,19.834800720214844,15.525497436523438,4.47334185783894e-05
gov_report:112,gov_report,calibration,40,32,8,physical_delete_random_64,random,64,1,True,3.846489555656379e-07,0.01843965154652766,0.016926609607704663,0.09926639574673814,93,128,129,128,,3.8582903095628774e-07,8.427597698853009e-08,1.3352450443089543e-08,3.2830713992249813e-09,5.0172955138463e-09,3.359437786792474e-07,3.359676992175948e-07,3.360097731119579e-07,3.3598058659533745e-07,8.236138567620276e-13,5.716264144348312e-13,0.00010098015749579315,0.0001349559607052057,0.00013080619865611076,9.082708857022226e-06,3.3390953540802,778.583251953125,7.4534511395267755e-06,5.135905483401147e-11,2.3134086254164116e-09,0.0036847915787432384,0.0033615536239526393,0.020764749258583994,0.00012459815479815006,5.998968124389648,18.088180541992188,9.680451107422755e-05,3.503062508055803e-10,5.749927285242747e-09,0.008214973056343021,0.008015935050673053,0.016360591340343414,0.00014127227768767625,6.381917953491211,33.69947052001953,0.0001965675202776715,1.000414351473028e-09,6.767982142044658e-09,0.008053010194214047,0.006688097408165352,0.01782972519987693,0.0001234006049344316,9.06141471862793,19.244203567504883,0.00015200786422693148,2.9456783875331396e-11,3.3551546170691726e-07,0.0006368561087921622,0.0005853295466178583,0.046376614854688844,7.47929880162701e-06,10.586336135864258,20.223365783691406,1.128668024794406e-05,6.196053838926352e-08,5.39643398754714e-07,0.027368388173729705,0.025977888066326796,0.04949980596099558,0.00039686463424004614,9.51562786102295,22.581340789794922,0.0003825321897143424,4.755561939855465e-09,3.532185565560469e-07,0.008465435836756643,0.0084579383867687,0.058835962276970424,0.0002396435011178255,9.968896865844727,18.661989212036133,7.206821987323911e-05,1.3833588038068259e-08,3.362322825131345e-07,0.04837553124182065,0.04800960872463083,0.12882812359188964,0.0011395143810659647,13.549619674682617,18.022335052490234,0.00017902378111810598
gov_report:112,gov_report,calibration,64,32,32,physical_delete_attention_85,attention,85,0,False,1.3950826002811383e-05,0.010425072430548249,0.011283483180819467,0.5315149754567556,93,128,129,128,0.0,1.3966924369369265e-05,3.3122467268915197e-08,5.444152956004637e-09,3.6693726107170324e-10,1.6288994292718757e-09,1.3967847916003724e-05,1.3968517828008608e-05,1.396824988621388e-05,1.3968464814994382e-05,1.5814079529972058e-10,1.7051545237032962e-10,0.001023624296641218,0.0018038020956313691,0.0018023142371722159,5.663798947352916e-05,2.9391822814941406,779.7255859375,0.0001409450338664302,1.1873866142855185e-09,1.3164352131195243e-08,0.008299511121175496,0.008175491983636702,0.02592416294957137,9.64671271503903e-05,9.42928695678711,20.48117446899414,0.0003126772855783754,4.081418529034362e-11,7.526179498489608e-07,0.000770627811450074,0.0008274199010922325,0.05299644532024267,1.454868743167026e-05,6.837324619293213,34.756065368652344,2.284967907715348e-05,2.1616734847465214e-11,7.471258859949179e-07,0.001100279190344913,0.001178431334772921,0.054699425562429155,1.9194729247828946e-05,8.797935485839844,21.492294311523438,2.720286071538426e-05,4.842307797414803e-12,7.681994818932604e-07,0.00022289088060545195,0.0001860666794701461,0.04396243485462129,4.565377366816392e-06,9.978668212890625,21.54694366455078,3.7715425432565685e-06,1.7317578203768864e-08,1.3918178435418918e-05,0.00814888722873257,0.009105228901276458,0.1245336348807852,9.938125003827736e-05,10.759355545043945,24.81006622314453,0.00014118286427784775,2.7495601433118206e-10,1.392074344633103e-05,0.001667622405289824,0.0015765989418349308,0.19305623402808092,3.1343166483566165e-05,10.375057220458984,20.895183563232422,1.3138877994533407e-05,5.09136891377659e-09,1.396987863513412e-05,0.011348481927909236,0.011112753165952094,0.27378328524707046,0.0001698027626844123,15.944149017333984,17.42228889465332,4.46191539529927e-05
gov_report:112,gov_report,calibration,64,32,32,physical_delete_value_norm_70,value_norm,70,0,False,0.00035485449842477665,3.5608353474916514,2.970797614965341,44.647178514737476,93,128,129,128,,0.0003406464496564215,5.776622770579454e-05,4.552989434870976e-06,6.932051559090558e-07,8.609594297775771e-06,0.00033227714792248347,0.0003322672391266202,0.00033226783278166765,0.0003322755366000755,1.5718456719297992e-10,1.4997899097204618e-10,0.0007523550996320515,0.0015831966655037199,0.0015867724369163767,0.0001466341782361269,3.1908457279205322,779.73486328125,0.00012370742232591548,1.019681567747063e-06,8.097420371709814e-06,0.2335748169583352,0.22449377188803335,0.5605783252197569,0.00852299015969038,5.2519731521606445,15.672693252563477,0.008585917931752023,8.229295763708377e-08,2.5063139959286647e-05,0.052288294948607136,0.04508097237896315,0.4279382408473023,0.0019658852834254503,4.901154518127441,33.07563781738281,0.0012449371232013725,4.707054646730399e-06,4.3669013466510315e-05,0.2705093883931059,0.31079567929936736,0.7890324550222451,0.010984367690980434,6.7629923820495605,15.600549697875977,0.0071743947444787536,4.8125557326871845e-06,6.298946551768495e-05,0.22275023023752186,0.1927790276303433,1.040814380423722,0.004906499292701483,8.46829605102539,17.568740844726562,0.003907600792500467,4.340781208920361e-05,0.00021609199048844177,0.37929988064778475,0.36857695159242315,1.1666214111597015,0.012608655728399754,8.188600540161133,20.59409523010254,0.005715040258386138,8.350190053037628e-07,0.0003072467088713147,0.12234129253958628,0.11644622868403379,1.6125346218942678,0.005086912307888269,6.365808963775635,16.85704803466797,0.0009704261185297966,2.57678582462294e-06,0.00033227101633230257,0.29103953502222046,0.2752169092737671,2.210284768233463,0.008803163655102253,10.844120025634766,14.992855072021484,0.0011050318010281247
