comparison,split,task,projection_dimension,projection_seed,decay,decision_units,sequences,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
recursive_vs_action,calibration,gov_report,32,42,1.0,372,4,-0.02130434782608697,-0.01670367773102696,-0.013440860215053764,-0.03086677880271109
recursive_vs_action,calibration,gov_report,64,42,0.5,372,4,-0.018697637698516824,-0.008756038647342994,0.0,0.0056412041125820595
recursive_vs_action,calibration,gov_report,64,42,0.8,372,4,-0.018697637698516883,-0.010694249649368862,0.008064516129032258,0.009670685847091798
recursive_vs_action,calibration,gov_report,64,42,0.95,372,4,-0.026527506606664857,-0.015778401122019635,0.005376344086021506,0.007112706797441289
recursive_vs_action,calibration,gov_report,64,42,1.0,372,4,-0.029130434782608704,-0.017200405173757205,0.010752688172043012,-0.0010135231797339726
recursive_vs_action,calibration,gov_report,128,42,0.5,372,4,-0.014350946197048187,-0.0065645940470624884,-0.010752688172043012,0.006426690066592723
recursive_vs_action,calibration,gov_report,128,42,0.8,372,4,-0.013043478260869573,-0.009749493532803492,-0.013440860215053764,-0.0018024177696741954
recursive_vs_action,calibration,gov_report,128,42,0.95,372,4,-0.018697637698516845,-0.012087034439769363,0.002688172043010753,0.007001327170956946
recursive_vs_action,calibration,gov_report,128,42,1.0,372,4,-0.01478260869565215,-0.01198963690197912,0.005376344086021506,0.004801206504332086
recursive_vs_action,calibration,niah_single_1,16,42,0.5,372,4,-0.010435917194183547,-0.007743104254324445,-0.002688172043010753,-0.02811506507224324
recursive_vs_action,calibration,niah_single_1,16,42,0.8,372,4,-0.024347826086956487,-0.014619370422315718,-0.024193548387096774,-0.0576444813294255
recursive_vs_action,calibration,niah_single_1,16,42,0.95,372,4,-0.033050663968959476,-0.025907745052205073,-0.021505376344086023,-0.0570230243587867
recursive_vs_action,calibration,niah_single_1,16,42,1.0,372,4,-0.04348771574863093,-0.032189886239675856,-0.01881720430107527,-0.06490790041775035
recursive_vs_action,calibration,niah_single_1,32,42,0.5,372,4,-0.007826937895637626,-0.004967274427302478,-0.005376344086021506,-0.02092566528216621
recursive_vs_action,calibration,niah_single_1,32,42,0.8,372,4,-0.01304489649272944,-0.011600046750818136,-0.013440860215053764,-0.029421201569346397
recursive_vs_action,calibration,niah_single_1,32,42,0.95,372,4,-0.03043809181636864,-0.02305399719495091,-0.02956989247311828,-0.05218829936155954
recursive_vs_action,calibration,niah_single_1,32,42,1.0,372,4,-0.03956947208688391,-0.03003740065451145,-0.024193548387096774,-0.06462388099197715
