horizon,unit_count,top1_staleness_rate,harmful_staleness_rate,pairwise_degradation,fresh_reused_spearman,reuse_normalized_regret,refresh_benefit
0,12,0.0,0.0,0.0,1.0,0.0,0.0
1,12,0.8333333333333334,0.6666666666666666,0.5029761904761905,-0.023809523809523798,0.5677908903728408,0.5629033846669685
2,12,0.8333333333333334,0.75,0.5505952380952381,-0.1349206349206349,0.5667772890218415,0.5667772890218415
4,12,0.8333333333333334,0.75,0.4136904761904761,0.09325396825396821,0.4096306849641933,0.4096306849641933
8,12,1.0,0.8333333333333334,0.4761904761904763,0.03373015873015873,0.4413814202244774,0.4413814202244774
16,12,0.75,0.5,0.3333333333333333,0.3690476190476191,0.3223683531583757,0.3223683531583757
32,12,1.0,0.9166666666666666,0.49107142857142855,-0.07539682539682536,0.44691169551789295,0.44500517829312863
