strategy,adjustment,x_metric,y_metric,n_rows,n_clusters,pearson,pearson_ci_low,pearson_ci_high,spearman,spearman_ci_low,spearman_ci_high,within_sample_median_spearman,within_sample_positive_fraction,n_estimable_samples
snapkv,unadjusted,new_token_online_leverage_max,stale_delta_nll,360,15,-0.12674086926549416,-0.20611935603007603,0.03589550990522856,-0.0985751969792131,-0.2035586554741985,0.05736905830641801,0.18353553081151242,0.6666666666666666,15
snapkv,task_and_refresh_lag_median_centered,new_token_online_leverage_max,stale_delta_nll,360,15,-0.058176962158024266,-0.22452599638865375,0.047032804666784805,-0.10067938134013417,-0.20815204341195648,0.006277780614626051,-0.06215945219724072,0.3333333333333333,15
snapkv,unadjusted,new_token_online_leverage_max,refresh_benefit_delta_nll,360,15,-0.14262412818457176,-0.21682870394141002,-0.011470763984969719,-0.19127778853342928,-0.2772805081228243,-0.031106006454091964,0.07408916414368401,0.6666666666666666,15
snapkv,task_and_refresh_lag_median_centered,new_token_online_leverage_max,refresh_benefit_delta_nll,360,15,-0.05863270141271137,-0.23072257887595318,0.04576579453163183,-0.11119961645124976,-0.22103199543723823,-0.0005329559356397255,-0.040298507038434773,0.26666666666666666,15
snapkv,unadjusted,new_token_online_leverage_max,rank_instability,360,15,-0.13002099970089387,-0.2563073437749034,0.21094953077963863,-0.05453772986053257,-0.18970530261904783,0.36283682276232715,0.7521749761441526,1.0,15
snapkv,task_and_refresh_lag_median_centered,new_token_online_leverage_max,rank_instability,360,15,0.01932323509815051,-0.03288813345788096,0.08819417440179637,0.10064947219831581,-0.03364899140863919,0.25761914111340334,0.36941913719750813,0.8,15
snapkv,unadjusted,new_token_online_leverage_max,mean_selected_core_turnover,360,15,-0.14568837558055764,-0.25798633495689477,0.12372699445356905,-0.13192520763700277,-0.21137120252207986,0.19481220251347284,0.6767944310475269,1.0,15
snapkv,task_and_refresh_lag_median_centered,new_token_online_leverage_max,mean_selected_core_turnover,360,15,-0.009642550150622282,-0.06488659357555417,0.04785897833376819,0.03212501593767561,-0.12877353239536246,0.2142685469491476,0.28097361530942316,0.7333333333333333,15
snapkv,unadjusted,exited_recent_online_leverage_max,refresh_benefit_delta_nll,135,15,-0.2369217603394792,-0.3474942140566967,-0.057524899624112016,-0.35132313940047605,-0.552618018581908,-0.02675001651942919,-0.06666666666666667,0.4666666666666667,15
snapkv,task_and_refresh_lag_median_centered,exited_recent_online_leverage_max,refresh_benefit_delta_nll,135,15,0.018649820236497975,-0.07181510748557032,0.0949889633354686,-0.03922228727556596,-0.2039494786333894,0.13801060163196568,0.05857791861290061,0.6,15
v_ridge_leverage,unadjusted,new_token_online_leverage_max,stale_delta_nll,360,15,-0.19867057048243544,-0.26957932193824957,-0.06686076089387386,-0.31949985566186956,-0.42937134405036664,-0.07406281580981161,0.07009633493833577,0.6666666666666666,15
v_ridge_leverage,task_and_refresh_lag_median_centered,new_token_online_leverage_max,stale_delta_nll,360,15,-0.03229180933632474,-0.1673140769248094,0.05743158976319012,-0.06277523647042167,-0.16441856839047728,0.03409594869567598,-0.04052293736668141,0.4,15
v_ridge_leverage,unadjusted,new_token_online_leverage_max,refresh_benefit_delta_nll,360,15,-0.028618415382053747,-0.12893397915456853,0.11225192578625262,-0.09601302175086593,-0.19424325253587338,0.04124352375681504,-0.036305227578620425,0.4666666666666667,15
v_ridge_leverage,task_and_refresh_lag_median_centered,new_token_online_leverage_max,refresh_benefit_delta_nll,360,15,-0.07564801001462279,-0.24580421796721955,0.04711978855496217,-0.08642828631067015,-0.18945493114188527,0.012886444769283929,-0.10303427444789957,0.4,15
v_ridge_leverage,unadjusted,new_token_online_leverage_max,rank_instability,360,15,0.37345296641530723,0.217016186802942,0.542447448092695,0.4808798552693171,0.37967663368944093,0.5798047853054462,0.5353253158831895,1.0,15
v_ridge_leverage,task_and_refresh_lag_median_centered,new_token_online_leverage_max,rank_instability,360,15,0.06031069262220869,-0.10735891756853681,0.2426781134913273,0.07089926691637362,-0.06939593972907433,0.22347189230396708,0.08174985443675117,0.6,15
v_ridge_leverage,unadjusted,new_token_online_leverage_max,mean_selected_core_turnover,360,15,0.713368297304896,0.631651876162549,0.7787790253788919,0.7277980754978335,0.6674160529580847,0.768853593375776,0.7352153737306091,1.0,15
v_ridge_leverage,task_and_refresh_lag_median_centered,new_token_online_leverage_max,mean_selected_core_turnover,360,15,0.27370005785288243,0.07351378282661108,0.46834215815653635,0.36146453573705756,0.15405621624704852,0.5420542039426439,0.5791066800482318,0.8,15
v_ridge_leverage,unadjusted,exited_recent_online_leverage_max,refresh_benefit_delta_nll,135,15,-0.042409000314568686,-0.19519713469622785,0.17776140037004914,-0.13146752553423116,-0.3359305122174409,0.11983595587160051,-0.08333333333333334,0.4666666666666667,15
v_ridge_leverage,task_and_refresh_lag_median_centered,exited_recent_online_leverage_max,refresh_benefit_delta_nll,135,15,-0.0050896145489001485,-0.10270390871061122,0.0963964873350282,-0.022492193598750973,-0.20728549154261156,0.18134628244001338,-0.03333333333333333,0.3333333333333333,15
attention_weighted_v_ridge_leverage,unadjusted,new_token_online_leverage_max,stale_delta_nll,360,15,-0.06101172893293904,-0.1544360693465398,0.07001732243862847,-0.1679994452869877,-0.27473859684050633,-0.006547145398555637,0.010264482299902934,0.5333333333333333,15
attention_weighted_v_ridge_leverage,task_and_refresh_lag_median_centered,new_token_online_leverage_max,stale_delta_nll,360,15,-0.09141528989918267,-0.2743557704165913,0.07912402415506863,-0.04855134911190213,-0.16957830014024408,0.0606194949585757,-0.09651430781419282,0.3333333333333333,15
attention_weighted_v_ridge_leverage,unadjusted,new_token_online_leverage_max,refresh_benefit_delta_nll,360,15,-0.0335740633133228,-0.13974473337307367,0.10848002465677509,-0.12612276052005203,-0.22879610634282602,0.019373778985377982,0.02029328381385984,0.5333333333333333,15
attention_weighted_v_ridge_leverage,task_and_refresh_lag_median_centered,new_token_online_leverage_max,refresh_benefit_delta_nll,360,15,-0.10027076221133954,-0.28372835430497134,0.07531533454386242,-0.05527929800265524,-0.16421531855795357,0.036264761043167136,-0.09307524115226615,0.3333333333333333,15
attention_weighted_v_ridge_leverage,unadjusted,new_token_online_leverage_max,rank_instability,360,15,0.23228088915094236,0.1036990264165904,0.413793518713631,0.3858598339671043,0.28328086087001647,0.5060180999995915,0.5641855935208305,1.0,15
attention_weighted_v_ridge_leverage,task_and_refresh_lag_median_centered,new_token_online_leverage_max,rank_instability,360,15,0.1154802749686472,0.034982378892155656,0.2114631454014999,0.02118731446044904,-0.13868824937344879,0.13050919910404732,-0.04284216970482148,0.4,15
attention_weighted_v_ridge_leverage,unadjusted,new_token_online_leverage_max,mean_selected_core_turnover,360,15,0.791605940257692,0.7260697240145736,0.8388413849286853,0.7898466406113515,0.7244444950761914,0.8175274336215463,0.7005594499219439,1.0,15
attention_weighted_v_ridge_leverage,task_and_refresh_lag_median_centered,new_token_online_leverage_max,mean_selected_core_turnover,360,15,0.41372114849529323,0.2580362701511222,0.5640231835991477,0.47077430032147466,0.28106560959474985,0.6200211591143046,0.28316287758070025,0.8,15
attention_weighted_v_ridge_leverage,unadjusted,exited_recent_online_leverage_max,refresh_benefit_delta_nll,135,15,-0.09097153273087676,-0.21118430043202016,0.0929814844609596,-0.22784810187573742,-0.3952942506456717,0.021471104465852587,0.0,0.4666666666666667,15
attention_weighted_v_ridge_leverage,task_and_refresh_lag_median_centered,exited_recent_online_leverage_max,refresh_benefit_delta_nll,135,15,-0.009385917707385852,-0.14259456799399467,0.14032038364196825,-0.02813231850117096,-0.2126190236279441,0.17327435490871812,-0.03333333333333333,0.4666666666666667,15
