run_id,model,task,sample_id,seed,config_hash,git_commit,base_anchor,refresh_lag,refresh_anchor,strategy,same_reference_token_verified,reference_token_id,reference_token_position,stale_delta_nll,refreshed_delta_nll,refresh_benefit_delta_nll,stale_approx_kl,refreshed_approx_kl,refresh_benefit_approx_kl,stale_attention_output_error,refreshed_attention_output_error,new_token_online_leverage_mean,new_token_online_leverage_max,exited_recent_online_leverage_max,mean_old_token_score_spearman,mean_selected_core_turnover,mean_new_token_selected_fraction,sample_cluster,old_refresh_benefit,absolute_difference
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:1,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,16,16,v_ridge_leverage,True,279,977,0.06420567475274197,0.09562846861794583,-0.03142279386520386,0.08757387474603837,0.11385829229619063,-0.02628441755015226,0.3154938978453477,0.3089364307622115,0.18163433192418377,0.7613116264122943,,0.9994779506941559,0.026785714285714274,0.0,gov_report::gov_report:1,-0.03142279386520386,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:1,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,16,16,attention_weighted_v_ridge_leverage,True,279,977,-0.005857659205645405,-0.007348319217413746,0.001490660011768341,0.005752381113788145,0.00157611026532778,0.004176270848460365,0.23375600886841616,0.21733644977211952,0.18163433192418377,0.7613116264122943,,0.9998321893963119,0.010227272727272712,0.0,gov_report::gov_report:1,0.001490660011768341,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:1,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,48,48,snapkv,True,17,1009,0.280798325322003,-2.8465227323692943e-05,0.2808267905493267,0.2795933440411491,8.163409278610248e-06,0.2795851806318705,0.3385672327131033,0.10208098823204637,0.18026611204441478,0.7613116264122943,0.7613116264122943,0.5434746891920585,0.46055194805194805,0.07272727272727272,gov_report::gov_report:1,0.2808267905493267,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:1,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,48,48,v_ridge_leverage,True,17,1009,0.8977196607807585,0.0013777007184856416,0.8963419600622728,0.8962476025525724,0.0010129375567491038,0.8952346649958233,0.3674938213080168,0.3119593703498443,0.18026611204441478,0.7613116264122943,0.7613116264122943,0.9976114643071271,0.0728896103896104,0.010714285714285714,gov_report::gov_report:1,0.8963419600622728,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:1,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,48,48,attention_weighted_v_ridge_leverage,True,17,1009,0.6251454744556852,0.00041410781665973673,0.6247313666390255,0.6237354138726922,0.00020585215886929673,0.6235295617138229,0.4642783037076394,0.42203075004120666,0.18026611204441478,0.7613116264122943,0.7613116264122943,0.9989695084282936,0.031818181818181815,0.008928571428571428,gov_report::gov_report:1,0.6247313666390255,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:1,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,16,32,48,snapkv,True,17,1009,0.00760480249989115,-2.8465227323692943e-05,0.007633267727214843,0.006968162009107241,8.163409278610248e-06,0.006959998599828631,0.2843690092364947,0.10208098823204637,0.17552307920729118,0.7459130053689023,,0.8094492080092897,0.2462662337662338,0.0,gov_report::gov_report:1,0.007633267727214843,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:1,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,16,32,48,v_ridge_leverage,True,17,1009,0.3515678141334959,0.0013777007184856416,0.3501901134150103,0.3502841353214406,0.0010129375567491038,0.3492711977646915,0.3803702959169944,0.3119593703498443,0.17552307920729118,0.7459130053689023,,0.9981637066264769,0.049675324675324664,0.0,gov_report::gov_report:1,0.3501901134150103,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:1,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,16,32,48,attention_weighted_v_ridge_leverage,True,17,1009,0.365942368290753,0.00041410781665973673,0.36552826047409326,0.3646465403390581,0.00020585215886929673,0.36444068818018877,0.4578084759414196,0.42203075004120666,0.17552307920729118,0.7459130053689023,,0.9991909320322959,0.024675324675324673,0.0,gov_report::gov_report:1,0.36552826047409326,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:2,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,16,16,snapkv,True,5837,1038,0.9072108308159983,-0.07179885708454492,0.9790096879005432,0.6837769922606982,0.1562923132886116,0.5274846789720866,0.2663539405912161,0.22978132342298827,0.19734503954942062,0.5978183369044798,,0.40360050709246004,0.37467532467532466,0.0,gov_report::gov_report:2,0.9790096879005432,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:2,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,16,16,v_ridge_leverage,True,5837,1038,0.1271783748948252,-0.18576675259235742,0.3129451274871826,0.18687983040363484,0.17384533786514286,0.013034492538491982,0.4171001085390647,0.38678769022226334,0.19734503954942062,0.5978183369044798,,0.9991662102155281,0.024188311688311676,0.0,gov_report::gov_report:2,0.3129451274871826,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:2,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,16,16,attention_weighted_v_ridge_leverage,True,5837,1038,0.2730652133309519,-0.03934216105106714,0.31240737438201904,0.20237419269103357,0.0549797887121419,0.14739440397889167,0.2513057899971803,0.2415168397128582,0.19734503954942062,0.5978183369044798,,0.9997558555806473,0.009902597402597382,0.0,gov_report::gov_report:2,0.31240737438201904,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:2,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,48,48,snapkv,True,15,1070,8.667685953156479e-05,-1.5339138244030437e-06,8.821077335596783e-05,7.614512711646144e-05,5.456213419054461e-07,7.559950577455599e-05,0.3845350022117297,0.23898804311951002,0.18290581998148037,0.5978183369044798,0.5978183369044798,0.2088804423221941,0.5482142857142857,0.07272727272727272,gov_report::gov_report:2,8.821077335596783e-05,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:2,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,48,48,v_ridge_leverage,True,15,1070,0.0002732051133662594,0.000374380621828152,-0.0001011755084618926,0.0002617008882993226,0.00036548373535447224,-0.00010378284705514962,0.39595761771003407,0.4751158195237319,0.18290581998148037,0.5978183369044798,0.5978183369044798,0.9973463391840955,0.07727272727272728,0.018993506493506496,gov_report::gov_report:2,-0.0001011755084618926,0.0
mechanism_targeted_4bit_seed42_v1,mlx-community/Qwen2.5-1.5B-Instruct-4bit,gov_report,gov_report:2,42,cbda0763d81c77dc16cd819183d4ef66a431cae7d0d8f50510af026d1c16d64d,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,48,48,attention_weighted_v_ridge_leverage,True,15,1070,9.790877733450998e-06,1.0625330936875343e-05,-8.344532034243457e-07,6.53963055386411e-06,6.2676076790371e-06,2.720228748270098e-07,0.3972778630753358,0.3800629998246829,0.18290581998148037,0.5978183369044798,0.5978183369044798,0.9984501939362248,0.033928571428571426,0.006818181818181819,gov_report::gov_report:2,-8.344532034243457e-07,0.0
