strategy,refresh_lag,metric,statistic,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
v_ridge_leverage,48,refresh_benefit_delta_nll,median,0.03321151062846184,0.0034443879267200828,0.07844463735818863,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,64,refresh_benefit_delta_nll,median,0.026896923780441284,1.5496937521675136e-05,0.2270931899547577,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,1,stale_delta_nll,median,6.334396109508589e-05,2.8555774846950044e-06,0.0035797205193368598,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,8,stale_delta_nll,median,2.8350807159682745e-05,-0.00015983315215351013,0.01889377136066983,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,16,stale_delta_nll,median,0.009611314508333635,0.0008424554396349038,0.043114736813940624,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,24,stale_delta_nll,median,0.0009318405819485065,-0.0022891676167127173,0.022642529363704256,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,32,stale_delta_nll,median,0.021390387980090964,0.002709036617243754,0.05720510915422139,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,40,stale_delta_nll,median,0.024272793057491526,0.0014272142971698543,0.08278426187500543,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,48,stale_delta_nll,median,0.032046404013502894,0.00437124794836663,0.14413083679050942,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,64,stale_delta_nll,median,0.04674013114943776,0.0018758053161818111,0.29183685434805184,15,45,95% sample-cluster bootstrap CI
snapkv,1,stale_delta_nll,median,8.290777699926366e-07,-9.115542958681999e-06,2.9666624449475876e-05,15,45,95% sample-cluster bootstrap CI
snapkv,8,stale_delta_nll,median,-0.00017171393737669405,-0.019293006367995247,-1.3515411776410247e-05,15,45,95% sample-cluster bootstrap CI
snapkv,16,stale_delta_nll,median,0.00014076415619967975,-0.0002029908175451567,0.0019953533263503687,15,45,95% sample-cluster bootstrap CI
snapkv,24,stale_delta_nll,median,0.0003212009907791469,-0.00016746764277186799,0.0450557714677835,15,45,95% sample-cluster bootstrap CI
snapkv,32,stale_delta_nll,median,0.00760480249989115,3.173860140037732e-05,0.12343934616025365,15,45,95% sample-cluster bootstrap CI
snapkv,40,stale_delta_nll,median,0.014145598127587533,-0.00034501409839649,0.08446741275115599,15,45,95% sample-cluster bootstrap CI
snapkv,48,stale_delta_nll,median,0.02609745488522819,0.0018427061293202485,0.21019415796121876,15,45,95% sample-cluster bootstrap CI
snapkv,64,stale_delta_nll,median,0.0975585721683494,0.0015424507580625857,0.2946954931114796,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,1,stale_delta_nll,median,4.297229235206146e-05,-0.0002325879392728325,0.002083003085861179,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,8,stale_delta_nll,median,0.014977046108803904,6.1176559995601565e-06,0.11332347327218883,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,16,stale_delta_nll,median,0.01185050209491223,0.0007892757564711417,0.11228449965307874,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,24,stale_delta_nll,median,0.022760668872859213,0.0005995406769514489,0.1462641571999619,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,32,stale_delta_nll,median,0.029434951250788544,0.00026325856946911595,0.09098003171557423,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,40,stale_delta_nll,median,0.022813730176469704,0.0016836662277128767,0.09797527065092737,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,48,stale_delta_nll,median,0.03394772064511997,0.015773922267577234,0.2629417651923589,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,64,stale_delta_nll,median,0.07815999527745987,0.019441618963976493,0.283723112473357,15,45,95% sample-cluster bootstrap CI
