budget,head,kendall_tau_b,layer,left,n_tokens,pearson,right,sample_id,snapshot_id,spearman,status,unit
128,,0.7655399800369888,5,latest_attention_shared,15684,0.8978891787963241,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,0.9159198030927823,ok,"layer=5,head=shared"
128,,0.7655399800369888,6,latest_attention_shared,15684,0.8978891787963241,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,0.9159198030927823,ok,"layer=6,head=shared"
128,,0.7655399800369888,7,latest_attention_shared,15684,0.8978891787963241,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,0.9159198030927823,ok,"layer=7,head=shared"
128,,0.7655399800369888,8,latest_attention_shared,15684,0.8978891787963241,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,0.9159198030927823,ok,"layer=8,head=shared"
128,,0.7655399800369888,9,latest_attention_shared,15684,0.8978891787963241,temporal_volatility_shared,0,9e5beb43c4683cb7737eff49a8aca84c392f1502afedc6e7e500ae7e2bb52d2a,0.9159198030927823,ok,"layer=9,head=shared"
128,,0.7690114699988136,0,latest_attention_shared,15684,0.9014249295800676,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,0.9186863789429373,ok,"layer=0,head=shared"
128,,0.7690114699988136,1,latest_attention_shared,15684,0.9014249295800676,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,0.9186863789429373,ok,"layer=1,head=shared"
128,,0.7690114699988136,10,latest_attention_shared,15684,0.9014249295800676,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,0.9186863789429373,ok,"layer=10,head=shared"
128,,0.7690114699988136,11,latest_attention_shared,15684,0.9014249295800676,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,0.9186863789429373,ok,"layer=11,head=shared"
128,,0.7690114699988136,12,latest_attention_shared,15684,0.9014249295800676,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,0.9186863789429373,ok,"layer=12,head=shared"
128,,0.7690114699988136,13,latest_attention_shared,15684,0.9014249295800676,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,0.9186863789429373,ok,"layer=13,head=shared"
128,,0.7690114699988136,14,latest_attention_shared,15684,0.9014249295800676,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,0.9186863789429373,ok,"layer=14,head=shared"
128,,0.7690114699988136,15,latest_attention_shared,15684,0.9014249295800676,temporal_volatility_shared,1,569e8468c3deeedbf7475f15ec5a2c38b764f8cb1b59b8877072b727e70ea0a8,0.9186863789429373,ok,"layer=15,head=shared"
