sample_id,task,split,anchor,layer,boundary_layer,candidate_id,candidate_source,mask_hash,candidate_seed,history_id,history_length,state_hash,state_norm,action_u_norm,action_r_norm,reference_action_logit_norm,state_action_logit_norm,nonlinear_action_logit_norm,reference_linear_gradient_norm,state_gradient_norm,state_fisher_energy,controlled_history_kl,physical_history_kl,controlled_exact_kl,state_operating_point_output_max_error,h0_full_action_score_absolute_error,adjacent_method,reference_jvp_method,state_jvp_method,probability_total_variation,reference_entropy,state_entropy,entropy_delta,probability_l2,gradient_reference_vs_state_cosine,gradient_reference_vs_state_relative_l2,gradient_reference_vs_state_symmetric_norm_ratio,gradient_reference_vs_state_maximum_absolute_error,gradient_reference_vs_state_predicted_norm,gradient_reference_vs_state_truth_norm,gradient_reference_vs_state_error_norm,gradient_reference_vs_state_finite,gradient_reference_vs_state_low_norm,state_local_readout_cosine,state_local_readout_relative_l2,state_local_readout_symmetric_norm_ratio,state_local_readout_maximum_absolute_error,state_local_readout_predicted_norm,state_local_readout_truth_norm,state_local_readout_error_norm,state_local_readout_finite,state_local_readout_low_norm,jacobian_reference_vs_state_cosine,jacobian_reference_vs_state_relative_l2,jacobian_reference_vs_state_symmetric_norm_ratio,jacobian_reference_vs_state_maximum_absolute_error,jacobian_reference_vs_state_predicted_norm,jacobian_reference_vs_state_truth_norm,jacobian_reference_vs_state_error_norm,jacobian_reference_vs_state_finite,jacobian_reference_vs_state_low_norm,reference_action_fisher_energy,state_action_fisher_energy,fisher_vector_drift_norm,jacobian_fisher_weighted_discrepancy_reference,jacobian_fisher_weighted_discrepancy_state,score_reference_action_fisher,score_p1_reference_state_fisher,score_gradient_updated_only,score_jacobian_updated_only,score_fisher_updated_only,score_gradient_jacobian_updated,score_gradient_fisher_updated,score_jacobian_fisher_updated,score_full_state_local,score_nonlinear_direction_quadratic
gov_report:84,gov_report,evaluation,48,14,15,selector_05_old_stale_core,old_stale_core,f81edc5f8438fadb0b5ce62b6fba6fc0aa342de4f80e925e4a448a87b8a4e9d7,3213596281055260906,H3,32,5e40bb1f1636119253da0778ca94480090a7935efa7c8a5e88416258296a0812,23.83177364490185,13.340689061607108,19.931326663769106,122.96406520047951,197.5347224240226,373.9480271268935,0.0014797202811948546,0.0017369952780859907,0.0014907122956753496,0.001252896291533044,0.0041436891629934355,0.0004978097019510578,0.0,0.0001259558531122586,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.0017398529942805364,0.009350206298894305,0.0217845583258403,0.012434352026945997,0.0017369952780859907,0.9861436666627263,0.21341520376326223,0.9200193513694899,0.0002184804018026277,0.0014797202811948546,0.0017369952780859907,0.00037070120120854605,True,False,0.4094868604320362,0.9200125454969037,0.6913059845787114,3.751664102077484,197.5347224240226,373.9480271268935,344.0368763205585,True,False,-0.11276910430774538,1.2360801393012373,0.7673293625344055,3.647668242454529,122.96406520047951,197.5347224240226,244.1687472107171,True,False,8.40900635039467e-05,0.001887459108094088,0.003670702546036165,0.05194531162308307,0.08157176257041773,8.40900635039467e-05,0.0005735782803772155,0.0008003632676715063,-0.0007535203793163258,0.0008658363800416859,-0.0007934815114649872,0.0010926213673359765,0.0002500070487648667,0.0002100459166162053,-6.2306106387321515e-06
gov_report:84,gov_report,evaluation,48,14,15,selector_03_v_ridge,v_ridge,8c2899cc6b7e6108e365c0dc80e87d6f5a900140bdeb65ad53c67d38d92ee66a,8477898595171751370,H3,32,5e40bb1f1636119253da0778ca94480090a7935efa7c8a5e88416258296a0812,23.83177364490185,13.118439939768113,19.36976853567317,122.48960954711163,195.9479241230019,382.3182769761757,0.0014797202811948546,0.0017369952780859907,0.0014907122956753496,0.001252896291533044,0.0041436891629934355,0.0004570070972322036,0.0,3.199244195808717e-05,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.0017398529942805364,0.009350206298894305,0.0217845583258403,0.012434352026945997,0.0017369952780859907,0.9861436666627263,0.21341520376326223,0.9200193513694899,0.0002184804018026277,0.0014797202811948546,0.0017369952780859907,0.00037070120120854605,True,False,0.48816232394226167,0.8730928457101196,0.6777083763517252,3.7259185910224915,195.9479241230019,382.3182769761757,333.79935241211894,True,False,-0.10532244973088734,1.2338732668125585,0.7693164064887222,3.5630900859832764,122.48960954711163,195.9479241230019,241.77490526278768,True,False,9.208838723921097e-05,0.001627768302918875,0.0034549094920360633,0.05006201273333924,0.07853228490654322,9.208838723921097e-05,0.0006090396845900549,0.0008228497491215023,-0.0007676040479157098,0.0008964803312565459,-0.0008103847780800078,0.0011102903957879934,0.00010287667544542183,6.00959452811238e-05,-0.00013319763081330355
gov_report:84,gov_report,evaluation,48,14,15,selector_06_fresh_core,fresh_core,6c1217eb5a590e96480e39223e14a9d3802df01e09356a2780fa3ce20ae3baa6,8564930942381446972,H3,32,5e40bb1f1636119253da0778ca94480090a7935efa7c8a5e88416258296a0812,23.83177364490185,13.098008318204343,19.591877245832755,122.55853471925155,201.39469151470738,379.86630291162277,0.0014797202811948546,0.0017369952780859907,0.0014907122956753496,0.001252896291533044,0.0041436891629934355,0.00048639574531916314,0.0,5.2867304632185966e-05,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.0017398529942805364,0.009350206298894305,0.0217845583258403,0.012434352026945997,0.0017369952780859907,0.9861436666627263,0.21341520376326223,0.9200193513694899,0.0002184804018026277,0.0014797202811948546,0.0017369952780859907,0.00037070120120854605,True,False,0.5050644716922316,0.8634467532493397,0.6929578741593417,3.739868253469467,201.39469151470738,379.86630291162277,327.99432591787087,True,False,-0.08705515533908996,1.2150253155043025,0.7566433966040506,3.701138973236084,122.55853471925155,201.39469151470738,244.699648598549,True,False,8.637065122546787e-05,0.0017480392342894952,0.003545504943777905,0.05118478039194243,0.07918169711884995,8.637065122546787e-05,0.0005637127878410291,0.0007751104054600143,-0.0007456443471769911,0.0008380844871603596,-0.0007767682475036874,0.0010494821047793447,0.00017036185618435015,0.00013923795585765383,-6.239818451075343e-05
gov_report:84,gov_report,evaluation,48,14,15,selector_07_random_reference,random_reference,6ed347c930c943268e891d3a8722b46a0957049fa8daf45acad2464fecfbab5e,1532748431032598259,H3,32,5e40bb1f1636119253da0778ca94480090a7935efa7c8a5e88416258296a0812,23.83177364490185,13.112304658197036,18.726212140155567,120.73057773442221,186.18144478475637,340.40867128672386,0.0014797202811948546,0.0017369952780859907,0.0014907122956753496,0.001252896291533044,0.0041436891629934355,0.0004219479008595845,0.0,0.00017333908401863369,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.0017398529942805364,0.009350206298894305,0.0217845583258403,0.012434352026945997,0.0017369952780859907,0.9861436666627263,0.21341520376326223,0.9200193513694899,0.0002184804018026277,0.0014797202811948546,0.0017369952780859907,0.00037070120120854605,True,False,0.5386757495568905,0.8425536501750335,0.7071209242350602,2.897578239440918,186.18144478475637,340.40867128672386,286.8125685438623,True,False,-0.08416245736479024,1.2367891063863439,0.7867438801741818,3.2228662967681885,120.73057773442221,186.18144478475637,230.26718272105725,True,False,9.294648969047289e-05,0.0013483457903845828,0.0031979671985268845,0.04670449440994105,0.07485743467478119,9.294648969047289e-05,0.0006609114327206795,0.0008895294977596287,-0.0007655205343246328,0.0009735476418417031,-0.0007982175514159234,0.0012021657068806524,-4.7695577236870224e-05,-8.039259432816078e-05,-0.0004035426316790064
gov_report:84,gov_report,evaluation,48,14,15,selector_05_old_stale_core,old_stale_core,f81edc5f8438fadb0b5ce62b6fba6fc0aa342de4f80e925e4a448a87b8a4e9d7,3213596281055260906,H2,32,c975e32bbbbe2bb89471a3b46b07a1a02b54f0890c3c3c52f91a73e72a212d3a,23.657065516340047,13.340689061607108,19.931326663769106,122.96406520047951,198.68068178192578,370.83777936144827,0.0014850649657803673,0.0017270290519955948,0.0016579026127365628,0.0012524720061175393,0.003739197489571057,0.000579048231029169,0.0,6.429976471426209e-05,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.0017296238482881238,0.009350206298894305,0.021700955429727244,0.01235074913083294,0.0017270290519955948,0.9834285106227076,0.21938255179157515,0.9246709203167215,0.00025637560103510025,0.0014850649657803673,0.0017270290519955948,0.00037888004044497853,True,False,0.6120546921165793,0.7944870504913069,0.6977146320526691,3.4872794449329376,198.68068178192578,370.83777936144827,294.6258135356231,True,False,-0.0694988028408115,1.212050710704935,0.7645955132430994,3.2298957109451294,122.96406520047951,198.68068178192578,240.81106155712416,True,False,8.40900635039467e-05,0.0014014712809597338,0.003151446667251846,0.046701333149073675,0.07248795129449478,8.40900635039467e-05,0.0005704186194947188,0.000815524251621792,-0.0007236290611271026,0.0008617459907644858,-0.0006915884948848937,0.001106851622891559,-1.2250267452524211e-05,1.9790298789684616e-05,6.223130244236222e-05
gov_report:84,gov_report,evaluation,48,14,15,selector_05_old_stale_core,old_stale_core,f81edc5f8438fadb0b5ce62b6fba6fc0aa342de4f80e925e4a448a87b8a4e9d7,3213596281055260906,H1,8,b6e2fca832304077e3d02a9086bd2abf696e308bf064f4a4b9f627ba043d7543,22.76792972229665,13.340689061607108,19.931326663769106,122.96406520047951,201.77370758517475,370.0251292417727,0.0014206475921841254,0.0020322694675679195,0.0015254426516175309,0.0014691694773833154,0.004706350363472418,0.0005744243403877759,0.0,0.00023546082709761663,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.0020150671349806588,0.009350206298894305,0.024103233675344067,0.014753027376449762,0.0020322694675679195,0.9788822356079446,0.3465523152670563,0.82286806639146,0.0005639642985447051,0.0014206475921841254,0.0020322694675679195,0.0007042876892322103,True,False,0.6149113254754687,0.7916629162471819,0.705750675202023,3.4950065910816193,201.77370758517475,370.0251292417727,292.9351729002821,True,False,-0.08481246160918296,1.2143967993983444,0.7573129799202196,3.358404040336609,122.96406520047951,201.77370758517475,245.03334469417368,True,False,8.40900635039467e-05,0.0014183024445480318,0.0032840421317001964,0.04554989829892151,0.07543434935107686,8.40900635039467e-05,0.0005624555209028744,0.0010110743928169088,-0.0006598018433186452,0.0009346073440250394,-0.0009205979368306352,0.0013832262159390737,0.00010942532991832011,-0.0001513707635936699,-8.205185469932789e-05
gov_report:84,gov_report,evaluation,48,14,15,selector_03_v_ridge,v_ridge,8c2899cc6b7e6108e365c0dc80e87d6f5a900140bdeb65ad53c67d38d92ee66a,8477898595171751370,H1,8,b6e2fca832304077e3d02a9086bd2abf696e308bf064f4a4b9f627ba043d7543,22.76792972229665,13.118439939768113,19.36976853567317,122.48960954711163,205.265453646614,373.59237137677945,0.0014206475921841254,0.0020322694675679195,0.0015254426516175309,0.0014691694773833154,0.004706350363472418,0.000559407623779962,0.0,0.00033750678080288877,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.0020150671349806588,0.009350206298894305,0.024103233675344067,0.014753027376449762,0.0020322694675679195,0.9788822356079446,0.3465523152670563,0.82286806639146,0.0005639642985447051,0.0014206475921841254,0.0020322694675679195,0.0007042876892322103,True,False,0.6697896409554338,0.7522410562572973,0.7092085302235263,3.4165270775556564,205.265453646614,373.59237137677945,281.03152005413705,True,False,-0.07477719571797924,1.202223133036754,0.7474460248061029,3.2897021770477295,122.48960954711163,205.265453646614,246.7748767872429,True,False,9.208838723921097e-05,0.0012180898073117937,0.003083047815128076,0.04396381596096251,0.0727297319522545,9.208838723921097e-05,0.0005948073996615219,0.0010306861418131956,-0.0006623999275336168,0.0009608996631469253,-0.0009111152344367294,0.001396778405298599,3.296913339434753e-06,-0.0002454183935636778,-0.00022702282709855578
gov_report:84,gov_report,evaluation,48,14,15,selector_03_v_ridge,v_ridge,8c2899cc6b7e6108e365c0dc80e87d6f5a900140bdeb65ad53c67d38d92ee66a,8477898595171751370,H2,32,c975e32bbbbe2bb89471a3b46b07a1a02b54f0890c3c3c52f91a73e72a212d3a,23.657065516340047,13.118439939768113,19.36976853567317,122.48960954711163,201.9015668290769,370.22791971245834,0.0014850649657803673,0.0017270290519955948,0.0016579026127365628,0.0012524720061175393,0.003739197489571057,0.0005458571016614379,0.0,0.00019486350176302006,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.0017296238482881238,0.009350206298894305,0.021700955429727244,0.01235074913083294,0.0017270290519955948,0.9834285106227076,0.21938255179157515,0.9246709203167215,0.00025637560103510025,0.0014850649657803673,0.0017270290519955948,0.00037888004044497853,True,False,0.67088021628771,0.7521164020919439,0.7057897611589691,3.3541591465473175,201.9015668290769,370.22791971245834,278.45449092811924,True,False,-0.058662914314779074,1.1996831408781559,0.7551969256097362,3.155867099761963,122.48960954711163,201.9015668290769,242.21790584172788,True,False,9.208838723921097e-05,0.0011789319032627895,0.002938353192629909,0.04460898969728977,0.06937454290301098,9.208838723921097e-05,0.000603930520633919,0.0008353093028764713,-0.0007341205075123932,0.0008898588168712509,-0.0007084109117200148,0.001121237599113803,-0.00012848471031618749,-0.0001027751145238091,-0.00010581767902378232
gov_report:84,gov_report,evaluation,48,14,15,selector_06_fresh_core,fresh_core,6c1217eb5a590e96480e39223e14a9d3802df01e09356a2780fa3ce20ae3baa6,8564930942381446972,H1,8,b6e2fca832304077e3d02a9086bd2abf696e308bf064f4a4b9f627ba043d7543,22.76792972229665,13.098008318204343,19.591877245832755,122.55853471925155,210.59711177354285,371.20872414507335,0.0014206475921841254,0.0020322694675679195,0.0015254426516175309,0.0014691694773833154,0.004706350363472418,0.0005920017355322714,0.0,0.00027995807537605974,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.0020150671349806588,0.009350206298894305,0.024103233675344067,0.014753027376449762,0.0020322694675679195,0.9788822356079446,0.3465523152670563,0.82286806639146,0.0005639642985447051,0.0014206475921841254,0.0020322694675679195,0.0007042876892322103,True,False,0.674235090404599,0.7462145561580205,0.7239429334394009,3.3920145630836487,210.59711177354285,371.20872414507335,277.00135332990095,True,False,-0.04274550964409956,1.178315098017175,0.7357434040782634,3.4145350456237793,122.55853471925155,210.59711177354285,248.14975640157613,True,False,8.637065122546787e-05,0.0012880788571073552,0.0031296687650489235,0.044568420924130436,0.07258029868437953,8.637065122546787e-05,0.0005500030741014593,0.0009786166545886908,-0.0006445182725146539,0.0008998696534179922,-0.0008826743974113992,0.0013284832339052238,4.4568700746153416e-05,-0.00019358742415059188,-0.00014579222524770943
gov_report:84,gov_report,evaluation,48,14,15,selector_06_fresh_core,fresh_core,6c1217eb5a590e96480e39223e14a9d3802df01e09356a2780fa3ce20ae3baa6,8564930942381446972,H2,32,c975e32bbbbe2bb89471a3b46b07a1a02b54f0890c3c3c52f91a73e72a212d3a,23.657065516340047,13.098008318204343,19.591877245832755,122.55853471925155,206.31524219587598,367.96222514039613,0.0014850649657803673,0.0017270290519955948,0.0016579026127365628,0.0012524720061175393,0.003739197489571057,0.0005803011887216845,0.0,0.00013320194841839742,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.0017296238482881238,0.009350206298894305,0.021700955429727244,0.01235074913083294,0.0017270290519955948,0.9834285106227076,0.21938255179157515,0.9246709203167215,0.00025637560103510025,0.0014850649657803673,0.0017270290519955948,0.00037888004044497853,True,False,0.6754100189338403,0.7463112145061466,0.7185211119386186,3.3393392264842987,206.31524219587598,367.96222514039613,274.61433513691316,True,False,-0.02516279328471508,1.1759137298788565,0.7453226333146058,3.2718727588653564,122.55853471925155,206.31524219587598,242.60892598141217,True,False,8.637065122546787e-05,0.0012529096229737698,0.0029888967735403,0.04527087234042994,0.06937049316662466,8.637065122546787e-05,0.0005571219715074305,0.0007882775727730957,-0.0007160403639691522,0.0008299193725893008,-0.0006770359480034282,0.0010610749738549658,-8.583571315865348e-05,-4.6831297192929553e-05,-2.599707249564256e-05
