epsilon_relative,row_count,finite_rate,nonzero_fd_norm_rate,median_cosine,median_relative_l2,median_symmetric_norm_ratio,passes
1e-06,192,1.0,1.0,0.8149727382568641,0.5914958205239682,0.903886003150945,False
3e-06,192,1.0,1.0,0.9676909813987515,0.25321262661781585,0.9812923955436517,False
1e-05,192,1.0,1.0,0.9970095545992883,0.08055642832547998,0.9957582698328405,False
3e-05,192,1.0,1.0,0.999675684315539,0.026617689073041753,0.9985268992645275,True
0.0001,192,1.0,1.0,0.9999669858948614,0.008492135115249187,0.9996583172252587,True
0.0003,192,1.0,1.0,0.9999961308927288,0.002811055668458029,0.9998854266967014,True
0.001,192,1.0,1.0,0.9999996917788986,0.000799878265996961,0.9999562261939576,True
0.003,192,1.0,1.0,0.9999999549937799,0.0003028887255327149,0.9999824251735049,True
0.01,192,1.0,1.0,0.9999999044047246,0.0004909491881855034,0.9999248029470846,True
