stratum_type,stratum_json,row_count,median_cosine,median_relative_l2,row_cosine_pass_fraction,median_state_norm,median_action_norm,median_state_fisher_energy,median_physical_history_kl,low_norm_truth_fraction,all_finite,sample_id,task,layer,history_id
overall,{},576,0.998170138128579,0.06499407286046646,0.8368055555555556,10.884035004024138,1.555505754372296,0.0018903177823744607,0.03805723878409026,0.0,True,,,,
sequence,"{""sample_id"": ""gov_report:84"", ""task"": ""gov_report""}",144,0.995570231936769,0.10102977117923811,0.6666666666666666,23.21249761931835,3.4142108160286497,6.668858473616241e-06,0.0019464803898090748,0.0,True,gov_report:84,gov_report,,
sequence,"{""sample_id"": ""gov_report:85"", ""task"": ""gov_report""}",144,0.9980996135177921,0.06898867930052385,0.875,18.878610557205043,2.209807616883548,0.0025087931920328437,0.3820064564648585,0.0,True,gov_report:85,gov_report,,
sequence,"{""sample_id"": ""synthetic_niah_84"", ""task"": ""niah_single_1""}",144,0.9992180279738044,0.04048040008289251,1.0,8.715565699565726,1.54851314085544,0.013142907591078518,0.1883778294962347,0.0,True,synthetic_niah_84,niah_single_1,,
sequence,"{""sample_id"": ""synthetic_niah_85"", ""task"": ""niah_single_1""}",144,0.9997582599881959,0.022038779351990074,0.8055555555555556,8.33563153745843,1.325313554141339,0.009319593329640476,0.0964204461871695,0.0,True,synthetic_niah_85,niah_single_1,,
task,"{""task"": ""gov_report""}",288,0.9973161668351564,0.07915443961202713,0.7708333333333334,21.68564931223633,2.45575380123321,0.000253705158951209,0.003941443326282246,0.0,True,,gov_report,,
task,"{""task"": ""niah_single_1""}",288,0.9995077389178004,0.0317937240799456,0.9027777777777778,8.33563153745843,1.4269349119777117,0.011156012330136052,0.0964204461871695,0.0,True,,niah_single_1,,
layer,"{""layer"": 0}",192,0.9964439953156331,0.08768701712857549,0.7447916666666666,1.4042537972884541,1.3382061611168128,4.589870288475602e-05,0.03805723878409026,0.0,True,,,0.0,
layer,"{""layer"": 14}",192,0.999017323791147,0.050515666152618224,0.765625,14.439282723549336,1.6232329758821797,0.007527122729045394,0.03805723878409026,0.0,True,,,14.0,
layer,"{""layer"": 26}",192,0.999661562605183,0.027013278707289666,1.0,45.246595009669264,4.24460227175995,0.0351449585096341,0.03805723878409026,0.0,True,,,26.0,
history,"{""history_id"": ""H1""}",192,0.9981831063409674,0.06708208200418328,0.8385416666666666,14.52341798168079,1.555505754372296,0.002174167626254664,0.08771737591191572,0.0,True,,,,H1
history,"{""history_id"": ""H2""}",192,0.9981848931912441,0.06356644614444598,0.8385416666666666,16.326082142822006,1.555505754372296,0.0020223456146243397,0.20087848109695136,0.0,True,,,,H2
history,"{""history_id"": ""H3""}",192,0.9981105016398955,0.07066128478413047,0.8333333333333334,8.045437347026452,1.555505754372296,0.001806722623843854,0.011003042980196462,0.0,True,,,,H3
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",96,0.9961264268934387,0.09050228969633445,0.78125,1.2297278337012811,1.095178753803753,3.7275250787442917e-06,0.003941443326282246,0.0,True,,gov_report,0.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",96,0.9921931728722386,0.15205991638292504,0.53125,21.68564931223633,2.6296817567936754,0.0014084574710074445,0.003941443326282246,0.0,True,,gov_report,14.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",96,0.9991906536677764,0.041486688146377966,1.0,82.58009468739311,5.769576220540749,0.00355318492866443,0.003941443326282246,0.0,True,,gov_report,26.0,
task_layer,"{""layer"": ""0"", ""task"": ""niah_single_1""}",96,0.996499985743542,0.08600946650670994,0.7083333333333334,1.7816426573962525,1.4552330055515204,7.923959701785049e-05,0.0964204461871695,0.0,True,,niah_single_1,0.0,
task_layer,"{""layer"": ""14"", ""task"": ""niah_single_1""}",96,0.9999425690103467,0.011383222160878295,1.0,8.33563153745843,0.31333761197573523,0.01567499205299969,0.0964204461871695,0.0,True,,niah_single_1,14.0,
task_layer,"{""layer"": ""26"", ""task"": ""niah_single_1""}",96,0.9998643364008762,0.017539448349954707,1.0,32.303271257136075,2.4925373979351804,0.09163619780087442,0.0964204461871695,0.0,True,,niah_single_1,26.0,
task_history,"{""history_id"": ""H1"", ""task"": ""gov_report""}",96,0.9973426115621685,0.0800070068056539,0.7708333333333334,21.488578666057457,2.45575380123321,0.000529704151464765,0.003592731093463516,0.0,True,,gov_report,,H1
task_history,"{""history_id"": ""H2"", ""task"": ""gov_report""}",96,0.997356514576119,0.0797233674923166,0.7708333333333334,22.317804255310133,2.45575380123321,0.000253705158951209,0.0033289471310856533,0.0,True,,gov_report,,H2
task_history,"{""history_id"": ""H3"", ""task"": ""gov_report""}",96,0.9972679009682885,0.07851868756272871,0.7708333333333334,21.68564931223633,2.45575380123321,0.0006696483337427267,0.007392173664484246,0.0,True,,gov_report,,H3
task_history,"{""history_id"": ""H1"", ""task"": ""niah_single_1""}",96,0.9995233952672011,0.031111454984498722,0.90625,8.33563153745843,1.4269349119777117,0.01672043135874762,0.0964204461871695,0.0,True,,niah_single_1,,H1
task_history,"{""history_id"": ""H2"", ""task"": ""niah_single_1""}",96,0.9994683551022993,0.03273921668941201,0.90625,11.258451389176464,1.4269349119777117,0.023900087865547627,0.44116757586642363,0.0,True,,niah_single_1,,H2
task_history,"{""history_id"": ""H3"", ""task"": ""niah_single_1""}",96,0.9995525360547663,0.030966332439810423,0.8958333333333334,3.4554386834909847,1.4269349119777117,0.003295231250888972,0.013228008927839166,0.0,True,,niah_single_1,,H3
