scope_type,scope_value,gradient_main,jacobian_main,fisher_main,gradient_jacobian_interaction,gradient_fisher_interaction,jacobian_fisher_interaction,three_way_interaction
overall,overall,0.03720238095238093,0.0401785714285714,0.004464285714285698,0.0014880952380951218,-0.004464285714285698,-0.0014880952380952328,0.0014880952380952328
task,gov_report,0.21875000000000006,0.11160714285714296,-0.07291666666666669,-0.08779761904761896,0.08482142857142852,-0.0401785714285714,0.02827380952380948
task,niah_single_1,0.03720238095238093,0.0401785714285714,0.004464285714285698,0.0014880952380951218,-0.004464285714285698,-0.0014880952380952328,0.0014880952380952328
sequence,gov_report:84,0.43452380952380953,0.21428571428571438,-0.15476190476190468,-0.1726190476190476,0.17261904761904762,-0.07142857142857142,0.05357142857142855
sequence,gov_report:85,0.0029761904761904656,0.008928571428571397,0.008928571428571397,-0.0029761904761904656,-0.0029761904761904656,-0.008928571428571397,0.0029761904761904656
sequence,synthetic_niah_84,0.029761904761904656,0.029761904761904656,0.005952380952380931,-0.005952380952380931,-0.005952380952380931,-0.005952380952380931,0.005952380952380931
sequence,synthetic_niah_85,0.04464285714285715,0.05059523809523811,0.002976190476190438,0.008928571428571341,-0.0029761904761904656,0.002976190476190438,-0.0029761904761904656
