sample_id,task,attention_mean_w1_shared,blend_attention_contribution_25_w4_shared,mean_exact_kl_reduction
gov_report:36,gov_report,0.9342757233245417,0.9422364749229928,-0.00796075159845111
gov_report:37,gov_report,0.4944327849468193,0.36520020259659525,0.12923258235022406
gov_report:38,gov_report,0.4123331929159786,0.4186729190687351,-0.00633972615275652
gov_report:39,gov_report,1.072927020632875,1.0506615000814463,0.022265520551428608
gov_report:40,gov_report,1.6090855810305797,1.6219594733778961,-0.012873892347316396
gov_report:41,gov_report,0.22465167712812453,0.2518199221547768,-0.027168245026652244
synthetic_niah_36,niah_single_1,0.24560938921336728,0.2447594968696786,0.0008498923436886796
synthetic_niah_37,niah_single_1,0.7148716625611536,0.7109030334794907,0.0039686290816629555
synthetic_niah_38,niah_single_1,0.047621545833305134,0.04784732480099999,-0.00022577896769485767
synthetic_niah_39,niah_single_1,0.011475413723900374,0.009859544164921482,0.0016158695589788916
synthetic_niah_40,niah_single_1,0.08977291638647007,0.07678226235456027,0.012990654031909799
synthetic_niah_41,niah_single_1,0.4711590087745954,0.4712112528578629,-5.22440832675386e-05
