sample_id,task,anchor,attention_mean_w1_shared,blend_attention_contribution_25_w4_shared,mean_exact_kl_reduction,primary_wins
gov_report:36,gov_report,16,0.4079832743118459,0.4056719980599155,0.002311276251930394,True
gov_report:36,gov_report,32,0.2052661210914266,0.2174459745688182,-0.012179853477391589,False
gov_report:36,gov_report,48,2.1895777745703526,2.2035914521402447,-0.014013677569892025,False
gov_report:37,gov_report,16,0.73168154268933,0.7760328441963793,-0.04435130150704936,False
gov_report:37,gov_report,32,0.5310039537460804,0.2263378031412433,0.30466615060483715,True
gov_report:37,gov_report,48,0.22061285840504752,0.09322996045216314,0.12738289795288438,True
gov_report:38,gov_report,16,0.11929161139237188,0.13301161597580613,-0.013720004583434253,False
gov_report:38,gov_report,32,0.44836983283068577,0.5335801891072229,-0.08521035627653717,False
gov_report:38,gov_report,48,0.6693381345248781,0.5894269521231763,0.07991118240170181,True
gov_report:39,gov_report,16,0.8951954948505261,0.9108220184292577,-0.01562652357873162,False
gov_report:39,gov_report,32,1.0771005717047046,1.0908232772098927,-0.01372270550518806,False
gov_report:39,gov_report,48,1.246484995343394,1.1503392046051886,0.0961457907382055,True
gov_report:40,gov_report,16,0.6278607346284844,0.35976741902777576,0.2680933156007086,True
gov_report:40,gov_report,32,0.47022570221995075,0.42607768243458644,0.04414801978536431,True
gov_report:40,gov_report,48,3.7291703062433044,4.080033318671326,-0.35086301242802165,False
gov_report:41,gov_report,16,0.0047426612904786225,0.005300111933024709,-0.0005574506425460868,False
gov_report:41,gov_report,32,0.06473511638029805,0.12700388940740126,-0.06226877302710321,False
gov_report:41,gov_report,48,0.604477253713597,0.6231557651239044,-0.018678511410307408,False
synthetic_niah_36,niah_single_1,16,0.035837731694776664,0.035959044189660005,-0.00012131249488334106,False
synthetic_niah_36,niah_single_1,32,0.037714148971538464,0.03475327769050551,0.0029608712810329507,True
synthetic_niah_36,niah_single_1,48,0.6632762869737867,0.6635661687288703,-0.0002898817550835986,False
synthetic_niah_37,niah_single_1,16,0.023009712993278697,0.0109774707970125,0.012032242196266196,True
synthetic_niah_37,niah_single_1,32,2.1035864873010155,2.1035864873010155,0.0,False
synthetic_niah_37,niah_single_1,48,0.018018787389166846,0.018145142340443954,-0.00012635495127710783,False
synthetic_niah_38,niah_single_1,16,0.008902927663402949,0.009851099577666389,-0.0009481719142634404,False
synthetic_niah_38,niah_single_1,32,0.0757523363299697,0.0753564829883544,0.0003958533416152932,True
synthetic_niah_38,niah_single_1,48,0.05820937350654276,0.058334391836979194,-0.00012501833043643273,False
synthetic_niah_39,niah_single_1,16,0.0023715164542466027,0.0023703549583902195,1.1614958563832545e-06,True
synthetic_niah_39,niah_single_1,32,0.022034983681805898,0.017736393946506723,0.004298589735299174,True
synthetic_niah_39,niah_single_1,48,0.010019741035648622,0.009471883589867502,0.0005478574457811192,True
synthetic_niah_40,niah_single_1,16,0.009504103487060434,0.009355434189828316,0.00014866929723211797,True
synthetic_niah_40,niah_single_1,32,0.22505489370814757,0.18700620825984515,0.03804868544830242,True
synthetic_niah_40,niah_single_1,48,0.03475975196420222,0.03398514461400737,0.0007746073501948558,True
synthetic_niah_41,niah_single_1,16,0.031808323041630615,0.03110829545710203,0.0007000275845285842,True
synthetic_niah_41,niah_single_1,32,1.2996614262556925,1.2996614262556925,0.0,False
synthetic_niah_41,niah_single_1,48,0.08200727702646304,0.08286403686079424,-0.0008567598343312,False
