task,sequences,mean_exact_kl_reduction,median_exact_kl_reduction,bootstrap_mean_ci_lower,bootstrap_mean_ci_upper,sequence_wins,sequence_win_rate,two_sided_sign_test_p
all,12,0.00969187581181286,0.0003988241302105705,-0.006415136894668896,0.03405877098251128,6,0.5,1.0
gov_report,6,0.016192581296079398,-0.007150238875603815,-0.015460621175575054,0.06403591381791134,2,0.3333333333333333,0.6875
niah_single_1,6,0.0031911703275463213,0.0012328809513337856,0.0003472084475283496,0.007388446961446064,4,0.6666666666666666,0.6875
