sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,blend_attention_contribution_25_w4_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
gov_report:40,gov_report,32,9,3.90882087231148e-06,3.881949851347599e-06,False,False,2.6871020963881165e-08,non_tail,unchanged
synthetic_niah_41,niah_single_1,16,2,5.914082521485398e-06,5.883404355699895e-06,False,False,3.067816578550264e-08,non_tail,unchanged
synthetic_niah_39,niah_single_1,16,7,4.328278180310008e-07,4.018733648081252e-07,False,False,3.09544532228756e-08,non_tail,unchanged
gov_report:41,gov_report,32,3,2.939404794233269e-06,2.899831088143401e-06,False,False,3.957370608986821e-08,non_tail,unchanged
synthetic_niah_39,niah_single_1,16,6,5.239039069238061e-07,4.812896463590732e-07,False,False,4.261426056473283e-08,non_tail,unchanged
synthetic_niah_39,niah_single_1,16,1,1.8872066220865236e-06,1.8371449641563231e-06,False,False,5.0061657930200454e-08,non_tail,unchanged
synthetic_niah_39,niah_single_1,16,9,3.5846795753968763e-07,3.021152963356144e-07,False,False,5.635266120407323e-08,non_tail,unchanged
synthetic_niah_41,niah_single_1,48,4,9.908367246680427e-07,9.303989259024092e-07,False,False,6.043779876563349e-08,non_tail,unchanged
gov_report:40,gov_report,32,7,9.696592542240978e-07,8.9394239921603e-07,False,False,7.57168550080678e-08,non_tail,unchanged
gov_report:38,gov_report,16,13,4.1055014321500494e-07,3.282671343640686e-07,False,False,8.228300885093631e-08,non_tail,unchanged
gov_report:38,gov_report,16,1,6.132161729510699e-07,4.6840062850606046e-07,False,False,1.4481554444500944e-07,non_tail,unchanged
gov_report:38,gov_report,32,3,1.116189309868787e-06,9.450749871575681e-07,False,False,1.7111432271121885e-07,non_tail,unchanged
gov_report:38,gov_report,16,4,3.380294515409332e-07,1.5811879450211563e-07,False,False,1.799106570388176e-07,non_tail,unchanged
synthetic_niah_38,niah_single_1,16,6,8.672496733197477e-06,8.453028385702055e-06,False,False,2.1946834749542177e-07,non_tail,unchanged
gov_report:41,gov_report,32,5,4.491411345952656e-06,4.2690749069151934e-06,False,False,2.223364390374627e-07,non_tail,unchanged
synthetic_niah_36,niah_single_1,32,6,1.6109826219690149e-06,1.3469549458022811e-06,False,False,2.6402767616673373e-07,non_tail,unchanged
synthetic_niah_36,niah_single_1,48,6,1.6349331417586654e-05,1.6078976841527037e-05,False,False,2.703545760596171e-07,non_tail,unchanged
gov_report:40,gov_report,32,8,2.1710268356400775e-06,1.8628639963935711e-06,False,False,3.0816283924650634e-07,non_tail,unchanged
gov_report:38,gov_report,16,14,3.004045083798701e-06,2.6393827283754945e-06,False,False,3.6466235542320646e-07,non_tail,unchanged
synthetic_niah_40,niah_single_1,48,10,4.632710260921158e-05,4.5912496716482565e-05,False,False,4.1460589272901416e-07,non_tail,unchanged
gov_report:41,gov_report,16,6,2.5320971417386318e-06,2.104937038893695e-06,False,False,4.2716010284493677e-07,non_tail,unchanged
gov_report:40,gov_report,32,1,3.455636488070013e-06,2.9936593364254804e-06,False,False,4.6197715164453257e-07,non_tail,unchanged
synthetic_niah_37,niah_single_1,16,5,5.225936092756456e-06,4.69205406261608e-06,False,False,5.338820301403757e-07,non_tail,unchanged
synthetic_niah_39,niah_single_1,16,12,9.746295108925551e-05,9.692461753729731e-05,False,False,5.383335519582033e-07,non_tail,unchanged
gov_report:41,gov_report,16,8,4.131504283577669e-06,3.533621338647208e-06,False,False,5.978829449304612e-07,non_tail,unchanged
gov_report:39,gov_report,48,5,2.4572020265622996e-05,2.394636976532638e-05,False,False,6.256505002966151e-07,non_tail,unchanged
synthetic_niah_36,niah_single_1,48,3,1.0270086022501346e-05,9.470302757108584e-06,False,False,7.997832653927617e-07,non_tail,unchanged
synthetic_niah_40,niah_single_1,16,1,5.056545887782704e-06,4.132858521188609e-06,False,False,9.236873665940948e-07,non_tail,unchanged
gov_report:41,gov_report,48,2,2.3276146748685278e-05,2.225443131464999e-05,False,False,1.0217154340352863e-06,non_tail,unchanged
synthetic_niah_36,niah_single_1,16,10,0.0008501005358994007,0.0008488179300911725,False,False,1.2826058082282543e-06,non_tail,unchanged
synthetic_niah_41,niah_single_1,48,9,0.0008623123285360634,0.0008608071366325021,False,False,1.5051919035613537e-06,non_tail,unchanged
gov_report:40,gov_report,32,4,4.0950224502012134e-05,3.9109883800847456e-05,False,False,1.8403407011646777e-06,non_tail,unchanged
gov_report:40,gov_report,32,3,1.1425396223785356e-05,9.566854714648798e-06,False,False,1.8585415091365576e-06,non_tail,unchanged
synthetic_niah_37,niah_single_1,48,5,0.001304608304053545,0.0013026964152231812,False,False,1.9118888303637505e-06,non_tail,unchanged
gov_report:40,gov_report,32,10,7.5157336141273845e-06,5.472353677760111e-06,False,False,2.0433799363672733e-06,non_tail,unchanged
synthetic_niah_37,niah_single_1,48,9,4.0297738451045007e-05,3.8160789699759334e-05,False,False,2.136948751285672e-06,non_tail,unchanged
gov_report:39,gov_report,32,2,9.171829879051074e-05,8.941821579355747e-05,False,False,2.3000829969532788e-06,non_tail,unchanged
synthetic_niah_39,niah_single_1,16,2,1.7862230379250832e-05,1.4895485946908593e-05,False,False,2.9667444323422387e-06,non_tail,unchanged
gov_report:38,gov_report,16,3,9.997317647503223e-06,6.8978692979726475e-06,False,False,3.099448349530576e-06,non_tail,unchanged
synthetic_niah_41,niah_single_1,48,3,1.033472017297754e-05,6.931595635251142e-06,False,False,3.4031245377263986e-06,non_tail,unchanged
synthetic_niah_41,niah_single_1,16,9,0.0044730063527822495,0.004469228442758322,False,False,3.7779100239276886e-06,non_tail,unchanged
gov_report:37,gov_report,16,4,0.00017354606825392693,0.00016910803969949484,False,False,4.438028554432094e-06,non_tail,unchanged
gov_report:40,gov_report,32,2,1.58829952852102e-05,1.07584291981766e-05,False,False,5.1245660870336e-06,non_tail,unchanged
gov_report:39,gov_report,16,15,6.758038125553867e-06,1.2499713193392381e-06,False,False,5.508066806214629e-06,non_tail,unchanged
gov_report:41,gov_report,48,10,0.009304779581725597,0.009298533201217651,False,False,6.246380507946014e-06,non_tail,unchanged
gov_report:41,gov_report,16,12,5.052582127973437e-05,4.29704123234842e-05,False,False,7.555408956250176e-06,non_tail,unchanged
gov_report:41,gov_report,32,11,0.00012450205394998193,0.00011618773714872077,False,False,8.314316801261157e-06,non_tail,unchanged
gov_report:36,gov_report,48,1,0.0005943398573435843,0.0005851028254255652,False,False,9.237031918019056e-06,non_tail,unchanged
synthetic_niah_36,niah_single_1,16,11,0.0001873798028100282,0.00017720066534820944,False,False,1.0179137461818755e-05,non_tail,unchanged
synthetic_niah_41,niah_single_1,16,5,0.0004927147529087961,0.00048140299622900784,False,False,1.1311756679788232e-05,non_tail,unchanged
gov_report:37,gov_report,48,12,0.0008137091062963009,0.0008021939429454505,False,False,1.1515163350850344e-05,non_tail,unchanged
synthetic_niah_36,niah_single_1,32,2,0.0003452565288171172,0.00033260599593631923,False,False,1.2650532880797982e-05,non_tail,unchanged
gov_report:37,gov_report,48,6,5.534797310247086e-05,4.0704420825932175e-05,False,False,1.4643552276538685e-05,non_tail,unchanged
gov_report:41,gov_report,48,13,0.2589680850505829,0.2589525580406189,False,False,1.5527009963989258e-05,non_tail,unchanged
synthetic_niah_40,niah_single_1,16,5,0.00021046398614998907,0.00018898496637120843,False,False,2.147901977878064e-05,non_tail,unchanged
synthetic_niah_41,niah_single_1,48,2,6.399959238478914e-05,3.833452865364961e-05,False,False,2.5665063731139526e-05,non_tail,unchanged
gov_report:36,gov_report,48,5,0.0014363196678459644,0.0014093214413151145,False,False,2.6998226530849934e-05,non_tail,unchanged
synthetic_niah_37,niah_single_1,16,6,0.0001379149325657636,0.00010830101382452995,False,False,2.9613918741233647e-05,non_tail,unchanged
synthetic_niah_39,niah_single_1,32,1,0.0013444175710901618,0.0013044998049736023,False,False,3.9917766116559505e-05,non_tail,unchanged
synthetic_niah_36,niah_single_1,32,14,0.03184542432427406,0.03180069848895073,False,False,4.472583532333374e-05,non_tail,unchanged
synthetic_niah_38,niah_single_1,48,15,0.0008258417365141213,0.0007732762605883181,False,False,5.2565475925803185e-05,non_tail,unchanged
gov_report:36,gov_report,16,16,0.0014493780909106135,0.0013945443788543344,False,False,5.483371205627918e-05,non_tail,unchanged
