arm,policy,samples,mean_exact_kl,p95_exact_kl,cvar95_exact_kl,mean_official_score,mean_govreport_rouge_l,mean_niah_retrieval,mean_decode_tokens_per_s,mean_end_to_end_tokens_per_s,mean_controller_decode_tokens_per_s,mean_controller_overhead_fraction,peak_accelerator_bytes,peak_cpu_rss_bytes,maximum_layer_capacity,maximum_actual_global_kv
every,attention,1,0.0024121895849020802,0.007371981863980179,0.008501479402184486,0.6803,0.0068027210884353,,7.279135664949127,1.2947308606497103,3.3462740023266893,0.540292397840606,5517052664,1139113984,256,9216
every,b2_uniform,1,0.0006033870542978548,0.0015027163404738527,0.0016427300870418549,0.6803,0.0068027210884353,,6.9631124764614345,1.2966269061428513,3.321296633275685,0.5230155128897865,5517007576,1176190976,256,9216
fixed_k2,attention,1,0.0026716404701119245,0.008258581956033592,0.009544538334012032,0.6803,0.0068027210884353,,7.359423516338302,1.427112354506696,4.144291988213939,0.4368727415926811,5517007576,1173831680,256,9216
fixed_k2,b2_uniform,1,0.0006800277839715818,0.0017655609030043703,0.0019519589841365814,0.6803,0.0068027210884353,,7.584120346824005,1.4145806990319,4.0835872912867615,0.4615608528684752,5517007576,1177812992,256,9216
never,attention,1,0.002692425516329422,0.008325699021224861,0.00962349958717823,0.6803,0.0068027210884353,,7.439855136943984,1.4662936885714464,4.494055269307379,0.3959485518755181,5517007576,1148092416,256,9216
never,b2_uniform,1,0.0006818878052285982,0.0017707112099742512,0.0019580181688070297,0.6803,0.0068027210884353,,7.161273970158042,1.419349962555775,4.291375831946114,0.4007524569191411,5517007576,1177714688,256,9216
trigger,attention,1,0.002692425516329422,0.008325699021224861,0.00962349958717823,0.6803,0.0068027210884353,,6.863362055411146,1.3081573369466444,3.0161520605669017,0.5605430638488704,5517007576,1175453696,256,9216
trigger,b2_uniform,1,0.0006818878052285982,0.0017707112099742512,0.0019580181688070297,0.6803,0.0068027210884353,,7.444708485092921,1.2199337480636996,2.982123566344626,0.599430444816483,5517007576,1179123712,256,9216
