sample_id,task,anchor,attention_head_peak_w4_shared,attention_mean_w1_shared,attention_temporal_volatility_w4_shared,key_diagonal_leverage_shared,uniform_position_coverage_shared,value_adjacent_change_shared,value_diagonal_leverage_shared,mean_exact_kl_reduction,primary_wins,primary_nonworse
gov_report:42,gov_report,16,0.04439325279668083,0.03289312841764058,0.037833151454290004,1.3561284187028377,0.6923036605919606,1.016150741711641,1.2301540241810471,-0.011500124379040244,False,False
gov_report:42,gov_report,32,0.17022844134407933,0.17053217701345602,0.16606424543670073,0.6573498380923866,0.6054590841843037,1.1981812781377812,1.0076877375947788,0.0003037356693766924,True,True
gov_report:42,gov_report,48,1.5247498577903116,1.2724226728603298,1.186020496992569,1.5313513359574245,0.9506673305204458,0.45535462337966237,1.0411888252328936,-0.25232718492998174,False,False
gov_report:43,gov_report,16,0.07761918375565813,0.11016207699023539,0.09897677863828847,1.4539504804517946,1.500811736797914,1.3324922951869667,1.886560500599444,0.032542893234577264,True,True
gov_report:43,gov_report,32,0.07854136841979198,0.6178451102168765,0.07504160692042205,1.933306290055043,2.155115910965833,2.504197366266453,2.0768662313275854,0.5393037417970845,True,True
gov_report:43,gov_report,48,0.9875260169355897,0.7701920996323679,0.9999838832591195,1.1708866890403442,0.8992070368258283,0.7288952516246354,1.5694314514403231,-0.21733391730322182,False,False
gov_report:44,gov_report,16,0.07408273061719228,0.10141145509805938,0.06475262811090943,0.451168147737917,0.13973393307242077,0.1504006225914054,0.15819574867964548,0.027328724480867095,True,True
gov_report:44,gov_report,32,0.763636211224366,0.652441847109003,0.7465171530493535,0.917814522748813,1.5199619999621063,1.6632817148929462,1.4039557282812893,-0.11119436411536299,False,False
gov_report:44,gov_report,48,0.5347564482726739,0.49063699763428303,0.6186457268377126,1.23883613711223,0.8092767375856056,1.228884601732716,1.1962310352246277,-0.044119450638390845,False,False
synthetic_niah_42,niah_single_1,16,0.006438950399399346,0.008019572333708425,0.006405593625238737,0.017812705440690024,1.9079093065811321,1.6416576403498766,0.018349503873650974,0.0015806219343090788,True,True
synthetic_niah_42,niah_single_1,32,0.576031321346818,0.7339006323090871,0.5641380342713092,0.168064614150353,0.5216003488749266,0.17303390268352814,0.296462396861898,0.15786931096226908,True,True
synthetic_niah_42,niah_single_1,48,0.7680230029582162,0.6647361738541804,0.8243218754432746,0.3970833829807816,0.5312505196343409,0.14542017999337986,0.4891566914047871,-0.10328682910403586,False,False
synthetic_niah_43,niah_single_1,16,0.0394423291427497,0.04047191170926112,0.040502802861379195,0.12378122321956653,1.7333625641358594,1.1236017792281245,0.06794018165327032,0.0010295825665114222,True,True
synthetic_niah_43,niah_single_1,32,0.05256298558379058,0.8118493895090069,0.05774123201626935,0.16531979301362298,0.7166164322989061,0.2858509010184207,0.2373995555244619,0.7592864039252163,True,True
synthetic_niah_43,niah_single_1,48,0.0026114790320619363,0.0026000635021290464,0.0031817157240681126,0.026761430667164632,3.5035622751747724,3.132607922249008,0.05976425964001919,-1.1415529932889967e-05,False,False
synthetic_niah_44,niah_single_1,16,0.010501721826869925,0.010639390720598385,0.010491484687065622,0.019600272206929503,1.6119553160388023,0.9439645609818399,0.021111938158782095,0.0001376688937284598,True,True
synthetic_niah_44,niah_single_1,32,0.0227408262710469,0.0237040599540137,0.019509484343302574,0.03734276663271885,0.2494136449386133,0.22373273673474614,0.041479247719962586,0.000963233682966802,True,True
synthetic_niah_44,niah_single_1,48,0.011493558252823277,0.012738977854951372,0.011322361148131677,0.05688557763278368,0.098384168541088,0.02440220177231822,0.06028590265123057,0.001245419602128095,True,True
