task,sequences,mean_exact_kl_reduction,median_exact_kl_reduction,bootstrap_mean_ci_lower,bootstrap_mean_ci_upper,sequence_wins,sequence_win_rate,two_sided_sign_test_p
all,6,0.055319304549987985,0.016286826594170023,-0.014533958891450724,0.14423344761554546,5,0.8333333333333334,0.21875
gov_report,3,0.02496687714143181,0.02864336146928892,-0.06180840271887672,0.10806567267388323,2,0.6666666666666666,1.0
niah_single_1,3,0.08567173195854416,0.003930291719051127,0.0019196994503545284,0.25116520470622683,3,1.0,0.25
