sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,attention_temporal_volatility_w4_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
gov_report:43,gov_report,48,10,1.9076136350631714,5.458404541015625,True,True,-3.5507909059524536,shared_tail,unchanged
synthetic_niah_42,niah_single_1,48,4,8.792215347290039,11.083415031433105,True,True,-2.2911996841430664,shared_tail,unchanged
gov_report:44,gov_report,48,4,0.1997045874595642,2.046531915664673,False,True,-1.8468273282051086,new_primary_tail,created_large_loss
gov_report:44,gov_report,48,3,0.8038551211357117,1.5807870626449585,False,True,-0.7769319415092468,new_primary_tail,created_large_loss
gov_report:43,gov_report,48,9,0.20184846222400665,0.7901531457901001,False,False,-0.5883046835660934,non_tail,unchanged
gov_report:44,gov_report,48,13,0.731677234172821,1.3177547454833984,False,True,-0.5860775113105774,new_primary_tail,created_large_loss
gov_report:43,gov_report,48,12,1.0125904083251953,1.5963438749313354,False,True,-0.5837534666061401,new_primary_tail,unchanged
gov_report:44,gov_report,48,9,0.1443673074245453,0.7101707458496094,False,False,-0.5658034384250641,non_tail,unchanged
gov_report:44,gov_report,32,14,6.136811256408691,6.635811805725098,True,True,-0.49900054931640625,shared_tail,unchanged
gov_report:44,gov_report,48,11,0.33824044466018677,0.6505686044692993,False,False,-0.31232815980911255,non_tail,unchanged
gov_report:44,gov_report,32,13,1.9799575805664062,2.282334804534912,True,True,-0.30237722396850586,shared_tail,unchanged
gov_report:44,gov_report,32,16,0.2174726128578186,0.48798057436943054,False,False,-0.27050796151161194,non_tail,unchanged
gov_report:44,gov_report,32,4,0.04672783240675926,0.22176344692707062,False,False,-0.17503561452031136,non_tail,unchanged
gov_report:42,gov_report,48,14,1.0864561796188354,1.256534218788147,False,False,-0.17007803916931152,non_tail,unchanged
gov_report:42,gov_report,16,8,0.10608822852373123,0.26854753494262695,False,False,-0.16245930641889572,non_tail,unchanged
gov_report:42,gov_report,48,16,0.881193995475769,1.0433403253555298,False,False,-0.16214632987976074,non_tail,created_large_loss
gov_report:42,gov_report,48,2,0.12290673702955246,0.28369569778442383,False,False,-0.16078896075487137,non_tail,unchanged
gov_report:42,gov_report,32,4,0.09856218844652176,0.24789686501026154,False,False,-0.14933467656373978,non_tail,unchanged
gov_report:42,gov_report,32,8,0.3374231159687042,0.43320220708847046,False,False,-0.09577909111976624,non_tail,unchanged
synthetic_niah_42,niah_single_1,48,12,0.24126385152339935,0.334540456533432,False,False,-0.09327660501003265,non_tail,unchanged
gov_report:42,gov_report,32,11,0.15361396968364716,0.23401784896850586,False,False,-0.0804038792848587,non_tail,unchanged
gov_report:42,gov_report,48,3,2.9809319972991943,3.052577257156372,True,True,-0.07164525985717773,shared_tail,unchanged
gov_report:44,gov_report,32,11,0.13263659179210663,0.19831033051013947,False,False,-0.06567373871803284,non_tail,unchanged
gov_report:43,gov_report,48,14,9.159311593975872e-05,0.06360434740781784,False,False,-0.06351275429187808,non_tail,unchanged
gov_report:44,gov_report,32,10,0.058024708181619644,0.10589092969894409,False,False,-0.04786622151732445,non_tail,unchanged
gov_report:44,gov_report,48,10,0.30639955401420593,0.34917765855789185,False,False,-0.04277810454368591,non_tail,unchanged
gov_report:44,gov_report,32,3,0.040012601763010025,0.07983816415071487,False,False,-0.03982556238770485,non_tail,unchanged
gov_report:44,gov_report,48,5,0.00049750623293221,0.037844251841306686,False,False,-0.037346745608374476,non_tail,unchanged
synthetic_niah_42,niah_single_1,48,8,0.20276109874248505,0.23952116072177887,False,False,-0.03676006197929382,non_tail,unchanged
gov_report:44,gov_report,32,5,0.030032800510525703,0.06633719056844711,False,False,-0.03630439005792141,non_tail,unchanged
gov_report:44,gov_report,16,13,0.1098380908370018,0.1446102410554886,False,False,-0.034772150218486786,non_tail,unchanged
gov_report:42,gov_report,16,13,0.018217075616121292,0.051967669278383255,False,False,-0.03375059366226196,non_tail,unchanged
gov_report:43,gov_report,48,16,0.0163886696100235,0.048074495047330856,False,False,-0.03168582543730736,non_tail,unchanged
gov_report:43,gov_report,16,11,0.062290675938129425,0.09124859422445297,False,False,-0.028957918286323547,non_tail,unchanged
synthetic_niah_42,niah_single_1,48,3,0.051980577409267426,0.07871275395154953,False,False,-0.026732176542282104,non_tail,unchanged
synthetic_niah_42,niah_single_1,48,7,0.674315869808197,0.700824499130249,False,False,-0.026508629322052002,non_tail,unchanged
synthetic_niah_43,niah_single_1,32,5,0.062930628657341,0.08786345273256302,False,False,-0.024932824075222015,non_tail,unchanged
synthetic_niah_43,niah_single_1,32,6,0.03052016720175743,0.052107732743024826,False,False,-0.021587565541267395,non_tail,unchanged
gov_report:44,gov_report,32,12,1.5429576635360718,1.5642513036727905,False,True,-0.02129364013671875,new_primary_tail,unchanged
synthetic_niah_42,niah_single_1,48,9,0.16636842489242554,0.1865929365158081,False,False,-0.02022451162338257,non_tail,unchanged
synthetic_niah_42,niah_single_1,48,5,0.08179166913032532,0.10147949308156967,False,False,-0.019687823951244354,non_tail,unchanged
synthetic_niah_42,niah_single_1,48,14,0.06462451070547104,0.08352080732584,False,False,-0.018896296620368958,non_tail,unchanged
gov_report:44,gov_report,32,7,0.004383280873298645,0.021512681618332863,False,False,-0.017129400745034218,non_tail,unchanged
gov_report:44,gov_report,48,8,0.006346953101456165,0.021341778337955475,False,False,-0.01499482523649931,non_tail,unchanged
gov_report:44,gov_report,32,15,0.022951025515794754,0.03782951831817627,False,False,-0.014878492802381516,non_tail,unchanged
gov_report:44,gov_report,32,6,0.001748241949826479,0.014883937314152718,False,False,-0.013135695364326239,non_tail,unchanged
synthetic_niah_42,niah_single_1,32,14,0.11907573789358139,0.13202153146266937,False,False,-0.012945793569087982,non_tail,unchanged
gov_report:42,gov_report,16,5,0.0032786892261356115,0.016058163717389107,False,False,-0.012779474491253495,non_tail,unchanged
gov_report:43,gov_report,48,3,0.033818528056144714,0.046546485275030136,False,False,-0.012727957218885422,non_tail,unchanged
gov_report:44,gov_report,16,16,0.1236862912774086,0.13523907959461212,False,False,-0.011552788317203522,non_tail,unchanged
gov_report:43,gov_report,16,8,0.05211151763796806,0.0636179968714714,False,False,-0.011506479233503342,non_tail,unchanged
gov_report:42,gov_report,16,14,0.0021300138905644417,0.013296697288751602,False,False,-0.01116668339818716,non_tail,unchanged
gov_report:43,gov_report,16,5,0.0020105517469346523,0.012688184157013893,False,False,-0.01067763241007924,non_tail,unchanged
synthetic_niah_42,niah_single_1,48,16,0.17040181159973145,0.1806735098361969,False,False,-0.010271698236465454,non_tail,unchanged
synthetic_niah_42,niah_single_1,32,10,0.02234063111245632,0.03234495222568512,False,False,-0.010004321113228798,non_tail,unchanged
synthetic_niah_43,niah_single_1,16,7,0.005889876279979944,0.014966556802392006,False,False,-0.009076680522412062,non_tail,unchanged
