sample_id,task,attention_mean_w1_shared,attention_temporal_volatility_w4_shared,mean_exact_kl_reduction
gov_report:42,gov_report,0.49194932609714215,0.46330596462785323,0.02864336146928892
gov_report:43,gov_report,0.4993997622798266,0.39133408960594335,0.10806567267388323
gov_report:44,gov_report,0.4148300999471151,0.47663850266599184,-0.06180840271887672
synthetic_niah_42,niah_single_1,0.46888545949899196,0.46495516777994084,0.003930291719051127
synthetic_niah_43,niah_single_1,0.28497378824013236,0.033808583533905555,0.25116520470622683
synthetic_niah_44,niah_single_1,0.01569414284318782,0.013774443392833291,0.0019196994503545284
