policy,mean_exact_kl,mean_exact_kl_reduction,p95_exact_kl,cvar95_exact_kl,maximum_exact_kl,large_loss_rate,mean_exact_kl_improves,p95_exact_kl_nonworse,cvar95_exact_kl_nonworse,maximum_exact_kl_nonworse,large_loss_rate_nonworse,all_task_means_improve,eligible
attention_head_peak_w4_shared,0.3191877603316733,0.043434336152726016,1.3608944118022857,4.4498068730036415,10.212372779846191,0.0625,True,True,True,True,True,False,False
attention_temporal_volatility_w4_shared,0.3073027919344113,0.05531930454998801,1.296327561140059,4.11604692141215,11.083415031433104,0.0694444444444444,True,True,True,True,True,True,True
key_diagonal_leverage_shared,0.6513024236579668,-0.28868032717356745,3.1046962022781366,4.916213909784953,8.94644832611084,0.1840277777777778,False,False,True,True,False,False,False
value_diagonal_leverage_shared,0.7145678311138721,-0.3519457346294728,3.412527978420249,5.597091468175252,9.50425624847412,0.2118055555555555,False,False,False,True,False,False,False
value_adjacent_change_shared,0.9984505733630804,-0.635828476878681,4.95700941085815,6.788833141326904,12.939034461975098,0.2638888888888889,False,False,False,False,False,False,False
uniform_position_coverage_shared,1.1192551114847145,-0.7566330150003151,4.160062766075133,6.913836860656739,12.490073204040527,0.3055555555555556,False,False,False,False,False,False,False
