sample_id,task,anchor,attention_mean_w1_shared,contribution_mean_w4_shared,mean_exact_kl_reduction,primary_wins
gov_report:24,gov_report,16,0.9958969292011375,0.9114439985903005,0.08445293061083703,True
gov_report:24,gov_report,32,0.5194745811306092,0.46302594277870845,0.056448638351900726,True
gov_report:24,gov_report,48,1.6026665494377426,0.3496088585125108,1.2530576909252318,True
gov_report:25,gov_report,16,0.04276058324798271,0.048275283958922444,-0.005514700710939735,False
gov_report:25,gov_report,32,0.8895437637276018,0.4045316637699585,0.4850120999576433,True
gov_report:25,gov_report,48,0.5580573016533776,0.5228833957953327,0.03517390585804492,True
gov_report:26,gov_report,16,0.011362139688017692,0.010663719715864772,0.0006984199721529194,True
gov_report:26,gov_report,32,0.25587289788381895,0.5045441676629707,-0.24867126977915177,False
gov_report:26,gov_report,48,0.23180395280848387,0.2284939992452406,0.003309953563243262,True
gov_report:27,gov_report,16,0.07616092452235534,0.14480661569973563,-0.06864569117738029,False
gov_report:27,gov_report,32,0.006793462549339324,0.0032243829019904524,0.0035690796473488717,True
gov_report:27,gov_report,48,1.2871133377047954,0.659021496635205,0.6280918410695904,True
gov_report:28,gov_report,16,0.047279873337743084,0.04356554051807393,0.0037143328196691527,True
gov_report:28,gov_report,32,0.9024547805611292,0.9100787190545816,-0.007623938493452442,False
gov_report:28,gov_report,48,0.8067743736237389,0.7696608597166232,0.0371135139071157,True
gov_report:29,gov_report,16,0.43092893153323075,0.1100527215228908,0.32087621001033995,True
gov_report:29,gov_report,32,0.1791509186700182,0.1809279226813203,-0.0017770040113020968,False
gov_report:29,gov_report,48,0.13154526117341447,0.09228694738737886,0.039258313786035615,True
synthetic_niah_24,niah_single_1,16,0.02808097870452997,0.02434087825064779,0.003740100453882178,True
synthetic_niah_24,niah_single_1,32,0.07464162755059078,0.05841442645760253,0.016227201092988253,True
synthetic_niah_24,niah_single_1,48,0.11756390387107452,0.11563643785006761,0.0019274660210069072,True
synthetic_niah_25,niah_single_1,16,0.05200814287075772,0.05201406627030991,-5.923399552187902e-06,False
synthetic_niah_25,niah_single_1,32,0.2701128414628329,0.07620002949261107,0.1939128119702218,True
synthetic_niah_25,niah_single_1,48,0.011388988092221553,0.0088662361522438,0.002522751939977752,True
synthetic_niah_26,niah_single_1,16,0.06734021088244635,0.022763321216209054,0.044576889666237296,True
synthetic_niah_26,niah_single_1,32,0.038863250616486766,0.039463920942580444,-0.0006006703260936774,False
synthetic_niah_26,niah_single_1,48,0.005400216665293556,0.005632565553241875,-0.00023234888794831932,False
synthetic_niah_27,niah_single_1,16,0.061988832589733533,0.025298305636518137,0.0366905269532154,True
synthetic_niah_27,niah_single_1,32,0.24639196704811184,0.5127281497443619,-0.26633618269625003,False
synthetic_niah_27,niah_single_1,48,0.022525491597143343,0.03081648192671338,-0.008290990329570036,False
synthetic_niah_28,niah_single_1,16,0.007903641772728065,0.006681672747390621,0.0012219690253374438,True
synthetic_niah_28,niah_single_1,32,1.5889667057790575,1.5790015157617745,0.009965190017283021,True
synthetic_niah_28,niah_single_1,48,0.009315712113036057,0.0094136452356679,-9.793312263184362e-05,False
synthetic_niah_29,niah_single_1,16,0.008360450854823398,0.008148397494466053,0.0002120533603573449,True
synthetic_niah_29,niah_single_1,32,0.2162163175889873,0.26356154783024976,-0.04734523024126247,False
synthetic_niah_29,niah_single_1,48,0.05166925151388568,0.05207408908972866,-0.00040483757584297564,False
