task,sequences,mean_exact_kl_reduction,median_exact_kl_reduction,bootstrap_mean_ci_lower,bootstrap_mean_ci_upper,sequence_wins,sequence_win_rate,two_sided_sign_test_p
all,12,0.07239519917300784,0.012824629780921266,0.0012372053385960287,0.16226945510283008,9,0.75,0.14599609375
gov_report,6,0.14547468479482925,0.14550480414830366,0.01894910392355298,0.28535857984565965,5,0.8333333333333334,0.21875
niah_single_1,6,-0.0006842864488135642,0.00549733224797766,-0.03720759548944219,0.03192971669794778,4,0.6666666666666666,0.6875
